Frequency,Z,?°
0.02 kHz,16.6035 m?,0.1699 °
0.04 kHz,16.6329 m?,0.3421 °
0.06 kHz,16.9169 m?,0.3475 °
0.08 kHz,16.5793 m?,0.8413 °
0.1 kHz,16.6356 m?,0.5521 °
0.12 kHz,16.5346 m?,0.6326 °
0.14 kHz,16.164 m?,2.4488 °
0.16 kHz,16.124 m?,2.9024 °
0.18 kHz,16.3206 m?,1.9635 °
0.2 kHz,16.558 m?,1.0902 °
0.22 kHz,16.5317 m?,1.5158 °
0.24 kHz,16.5514 m?,1.9631 °
0.26 kHz,16.564 m?,2.0478 °
0.28 kHz,16.5372 m?,1.7824 °
0.3 kHz,16.5095 m?,1.565 °
0.32 kHz,16.5241 m?,1.5745 °
0.34 kHz,16.5073 m?,1.6074 °
0.36 kHz,16.5012 m?,1.7174 °
0.38 kHz,16.5059 m?,1.7848 °
0.4 kHz,16.4872 m?,1.8344 °
0.42 kHz,16.4832 m?,1.8983 °
0.44 kHz,16.4784 m?,1.9581 °
0.46 kHz,16.4615 m?,2.1162 °
0.48 kHz,16.4588 m?,2.1993 °
0.5 kHz,16.4545 m?,2.3309 °
0.52 kHz,16.4602 m?,2.3716 °
0.54 kHz,16.4591 m?,2.4322 °
0.56 kHz,16.4513 m?,2.5254 °
0.58 kHz,16.4841 m?,2.6128 °
0.6 kHz,16.4379 m?,2.7745 °
0.62 kHz,16.4166 m?,2.7997 °
0.64 kHz,16.402 m?,2.853 °
0.66 kHz,16.3789 m?,2.9387 °
0.68 kHz,16.3702 m?,3.0309 °
0.7 kHz,16.3604 m?,3.1141 °
0.72 kHz,16.363 m?,3.1798 °
0.74 kHz,16.3672 m?,3.2678 °
0.76 kHz,16.3853 m?,3.3744 °
0.78 kHz,16.4057 m?,3.4837 °
0.8 kHz,16.4239 m?,3.5851 °
0.82 kHz,16.4089 m?,3.6461 °
0.84 kHz,16.4105 m?,3.7255 °
0.86 kHz,16.4098 m?,3.8043 °
0.88 kHz,16.4101 m?,3.8862 °
0.9 kHz,16.409 m?,3.946 °
0.92 kHz,16.4112 m?,4.0424 °
0.94 kHz,16.4119 m?,4.1128 °
0.96 kHz,16.4185 m?,4.1851 °
0.98 kHz,16.4144 m?,4.2583 °
