Frequency,Z,?°
1 kHz,12.5928 m?,11.2539 °
2 kHz,13.2724 m?,21.7863 °
3 kHz,14.3259 m?,31.1407 °
4 kHz,15.5911 m?,38.8973 °
5 kHz,17.5661 m?,46.1181 °
6 kHz,19.358 m?,51.3253 °
7 kHz,21.3575 m?,55.4028 °
8 kHz,23.3822 m?,59.2372 °
9 kHz,25.5875 m?,61.8571 °
10 kHz,27.8109 m?,64.5219 °
11 kHz,29.1278 m?,66.6774 °
12 kHz,31.9668 m?,67.9786 °
13 kHz,35.4508 m?,68.6936 °
14 kHz,37.0042 m?,71.4919 °
15 kHz,39.9831 m?,72.6113 °
16 kHz,42.0424 m?,72.91 °
17 kHz,44.3577 m?,74.8556 °
18 kHz,46.8255 m?,75.0472 °
19 kHz,48.5708 m?,75.9012 °
20 kHz,51.1824 m?,76.8103 °
21 kHz,53.2541 m?,78.1369 °
22 kHz,55.603 m?,78.5424 °
23 kHz,58.4387 m?,79.306 °
24 kHz,61.0156 m?,79.8806 °
25 kHz,63.7112 m?,80.5367 °
26 kHz,66.0738 m?,80.8961 °
27 kHz,68.3921 m?,81.1463 °
28 kHz,70.8594 m?,81.4083 °
29 kHz,73.7437 m?,81.8613 °
30 kHz,76.2675 m?,82.2372 °
31 kHz,79.0107 m?,82.2646 °
32 kHz,81.0542 m?,82.5499 °
33 kHz,83.4329 m?,82.9443 °
34 kHz,85.7146 m?,83.446 °
35 kHz,88.6255 m?,83.7644 °
36 kHz,91.5002 m?,83.6202 °
37 kHz,93.748 m?,84.0193 °
38 kHz,96.2181 m?,84.1648 °
39 kHz,99.2646 m?,84.385 °
40 kHz,101.334 m?,84.5616 °
41 kHz,105.155 m?,85.3384 °
42 kHz,108.46 m?,86.0453 °
43 kHz,111.654 m?,86.4754 °
44 kHz,108.704 m?,83.1305 °
45 kHz,111.674 m?,83.4945 °
46 kHz,114.288 m?,84.1697 °
47 kHz,117.658 m?,84.4845 °
48 kHz,120.514 m?,84.9327 °
49 kHz,123.693 m?,85.2425 °
50 kHz,126.744 m?,85.7348 °
51 kHz,129.374 m?,85.8964 °
52 kHz,131.806 m?,85.936 °
53 kHz,134.527 m?,86.21 °
54 kHz,137.133 m?,86.3211 °
55 kHz,139.677 m?,86.4488 °
56 kHz,142.014 m?,86.4819 °
57 kHz,144.634 m?,86.5499 °
58 kHz,147.296 m?,86.6727 °
59 kHz,149.651 m?,86.6841 °
60 kHz,152.352 m?,86.7809 °
61 kHz,154.951 m?,86.7955 °
62 kHz,157.719 m?,87.0296 °
63 kHz,160.272 m?,87.2169 °
64 kHz,162.869 m?,87.302 °
65 kHz,165.5 m?,87.5161 °
66 kHz,168.101 m?,87.5977 °
67 kHz,170.653 m?,87.7504 °
68 kHz,173.128 m?,87.8708 °
69 kHz,175.703 m?,87.8095 °
70 kHz,178.489 m?,87.9158 °
71 kHz,181.101 m?,88.013 °
72 kHz,183.7 m?,88.0933 °
73 kHz,186.154 m?,88.1558 °
74 kHz,188.907 m?,88.17 °
75 kHz,191.298 m?,88.2347 °
76 kHz,193.713 m?,88.2281 °
77 kHz,196.451 m?,88.3042 °
78 kHz,198.885 m?,88.33 °
79 kHz,201.419 m?,88.3533 °
80 kHz,204.047 m?,88.4092 °
81 kHz,206.662 m?,88.4781 °
82 kHz,209.348 m?,88.5318 °
83 kHz,212.044 m?,88.5214 °
84 kHz,214.623 m?,88.6965 °
85 kHz,217.47 m?,88.6757 °
86 kHz,220.178 m?,88.6857 °
87 kHz,222.868 m?,88.7752 °
88 kHz,225.216 m?,88.841 °
89 kHz,227.911 m?,88.8869 °
90 kHz,230.712 m?,88.8772 °
91 kHz,233.381 m?,88.9209 °
92 kHz,235.914 m?,88.9377 °
93 kHz,238.515 m?,88.971 °
94 kHz,241.258 m?,88.9537 °
95 kHz,243.8 m?,89.0272 °
96 kHz,246.406 m?,89.0267 °
97 kHz,248.868 m?,89.0667 °
98 kHz,251.617 m?,89.1018 °
99 kHz,254.113 m?,89.1107 °
100 kHz,256.703 m?,89.0704 °
