Frequency,Z,?°
0.02 kHz,16.7453 m?,0.1373 °
0.04 kHz,16.7778 m?,0.4181 °
0.06 kHz,16.9886 m?,0.4462 °
0.08 kHz,16.6937 m?,0.8356 °
0.1 kHz,16.7376 m?,0.4856 °
0.12 kHz,16.647 m?,0.5438 °
0.14 kHz,16.2723 m?,2.3945 °
0.16 kHz,16.1653 m?,2.9209 °
0.18 kHz,16.4002 m?,1.8847 °
0.2 kHz,16.6179 m?,1.009 °
0.22 kHz,16.5952 m?,1.382 °
0.24 kHz,16.6172 m?,1.789 °
0.26 kHz,16.6122 m?,1.9025 °
0.28 kHz,16.5885 m?,1.6035 °
0.3 kHz,16.5391 m?,1.3349 °
0.32 kHz,16.5541 m?,1.3503 °
0.34 kHz,16.5412 m?,1.3953 °
0.36 kHz,16.5247 m?,1.4606 °
0.38 kHz,16.5162 m?,1.508 °
0.4 kHz,16.4924 m?,1.5894 °
0.42 kHz,16.4818 m?,1.6159 °
0.44 kHz,16.4749 m?,1.7101 °
0.46 kHz,16.4663 m?,1.7896 °
0.48 kHz,16.4614 m?,1.8711 °
0.5 kHz,16.4426 m?,1.9727 °
0.52 kHz,16.4445 m?,2.0042 °
0.54 kHz,16.4456 m?,2.0845 °
0.56 kHz,16.4318 m?,2.1452 °
0.58 kHz,16.4173 m?,2.2542 °
0.6 kHz,16.4122 m?,2.3966 °
0.62 kHz,16.3875 m?,2.3986 °
0.64 kHz,16.3624 m?,2.4778 °
0.66 kHz,16.3424 m?,2.4955 °
0.68 kHz,16.3365 m?,2.5699 °
0.7 kHz,16.3293 m?,2.6678 °
0.72 kHz,16.3248 m?,2.7285 °
0.74 kHz,16.3331 m?,2.8217 °
0.76 kHz,16.3346 m?,2.8869 °
0.78 kHz,16.3492 m?,2.9826 °
0.8 kHz,16.3636 m?,3.0217 °
0.82 kHz,16.3499 m?,3.1017 °
0.84 kHz,16.3443 m?,3.1923 °
0.86 kHz,16.3445 m?,3.2494 °
0.88 kHz,16.3352 m?,3.3545 °
0.9 kHz,16.3335 m?,3.3636 °
0.92 kHz,16.3318 m?,3.4777 °
0.94 kHz,16.342 m?,3.5537 °
0.96 kHz,16.3252 m?,3.5446 °
0.98 kHz,16.3261 m?,3.6205 °
