Frequency,Z,?°
1 kHz,16.3902 m?,4.3868 °
2 kHz,16.6762 m?,7.7978 °
3 kHz,16.9728 m?,11.0327 °
4 kHz,17.1083 m?,13.8524 °
5 kHz,17.6176 m?,17.7067 °
6 kHz,18.0341 m?,20.114 °
7 kHz,18.3988 m?,22.5909 °
8 kHz,18.782 m?,25.3095 °
9 kHz,19.3344 m?,27.3304 °
10 kHz,19.8945 m?,29.8251 °
11 kHz,19.5655 m?,32.0505 °
12 kHz,20.0911 m?,32.1616 °
13 kHz,21.0166 m?,33.8375 °
14 kHz,22.0597 m?,36.8784 °
15 kHz,22.7351 m?,40.3039 °
16 kHz,23.1741 m?,40.5115 °
17 kHz,23.9067 m?,41.1448 °
18 kHz,24.2552 m?,43.3742 °
19 kHz,25.1747 m?,45.2242 °
20 kHz,25.5632 m?,46.6767 °
21 kHz,26.0848 m?,47.4861 °
22 kHz,26.5432 m?,49.5464 °
23 kHz,27.1579 m?,51.0756 °
24 kHz,28.0964 m?,51.9382 °
25 kHz,28.7364 m?,53.5156 °
26 kHz,29.4168 m?,53.9219 °
27 kHz,30.0215 m?,54.7091 °
28 kHz,30.9494 m?,55.9796 °
29 kHz,31.6859 m?,56.6848 °
30 kHz,32.7329 m?,57.6997 °
31 kHz,34.1232 m?,57.5256 °
32 kHz,34.2525 m?,58.4441 °
33 kHz,34.7217 m?,58.5597 °
34 kHz,35.5639 m?,59.9689 °
35 kHz,36.2415 m?,61.1206 °
36 kHz,37.0648 m?,61.568 °
37 kHz,37.8807 m?,62.2651 °
38 kHz,38.8148 m?,62.9878 °
39 kHz,39.864 m?,63.6892 °
40 kHz,40.8471 m?,63.7612 °
41 kHz,41.927 m?,66.0619 °
42 kHz,43.1818 m?,67.5242 °
43 kHz,44.7609 m?,69.3338 °
44 kHz,46.1114 m?,70.8659 °
45 kHz,47.5859 m?,72.5951 °
46 kHz,49.1591 m?,73.4227 °
47 kHz,45.4363 m?,64.0658 °
48 kHz,46.543 m?,65.4907 °
49 kHz,47.757 m?,66.6308 °
50 kHz,48.7941 m?,67.7955 °
51 kHz,49.4785 m?,68.3887 °
52 kHz,50.5168 m?,68.8417 °
53 kHz,51.2412 m?,69.0995 °
54 kHz,52.001 m?,69.4249 °
55 kHz,52.8189 m?,69.7403 °
56 kHz,53.4678 m?,70.0581 °
57 kHz,54.4366 m?,70.6446 °
58 kHz,55.1329 m?,70.7326 °
59 kHz,56.0604 m?,70.9309 °
60 kHz,56.8465 m?,70.9348 °
61 kHz,57.7966 m?,71.4445 °
62 kHz,58.5883 m?,71.8385 °
63 kHz,59.4382 m?,72.3999 °
64 kHz,60.2128 m?,72.9075 °
65 kHz,61.0728 m?,73.2213 °
66 kHz,61.8679 m?,73.4287 °
67 kHz,62.686 m?,73.8863 °
68 kHz,63.5247 m?,74.1787 °
69 kHz,64.3614 m?,74.3836 °
70 kHz,65.2588 m?,74.6193 °
71 kHz,65.9744 m?,74.8698 °
72 kHz,66.7063 m?,75.071 °
73 kHz,67.6726 m?,75.1415 °
74 kHz,68.4396 m?,75.4411 °
75 kHz,69.2106 m?,75.5589 °
76 kHz,70.0931 m?,75.6893 °
77 kHz,70.853 m?,75.9203 °
78 kHz,71.6763 m?,75.9257 °
79 kHz,72.4207 m?,76.1081 °
80 kHz,73.3032 m?,76.2556 °
81 kHz,74.1602 m?,76.4104 °
82 kHz,75.1019 m?,76.6931 °
83 kHz,75.8758 m?,76.8318 °
84 kHz,76.8131 m?,77.2597 °
85 kHz,77.6797 m?,77.2702 °
86 kHz,78.7106 m?,77.5008 °
87 kHz,79.636 m?,77.6307 °
88 kHz,80.6059 m?,77.9019 °
89 kHz,81.5212 m?,77.9311 °
90 kHz,82.1679 m?,78.0859 °
91 kHz,82.924 m?,78.2086 °
92 kHz,83.8881 m?,78.2075 °
93 kHz,84.8595 m?,78.3808 °
94 kHz,85.6348 m?,78.5539 °
95 kHz,86.5413 m?,78.5932 °
96 kHz,87.48 m?,78.6484 °
97 kHz,88.2253 m?,78.6887 °
98 kHz,88.9525 m?,78.754 °
99 kHz,90.1248 m?,78.888 °
100 kHz,90.6582 m?,78.9726 °
