Ladekurvenmessung

Zeit: 2018_05_03 11.58.09

Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
0	0.006884	0.002282	0.003761	0.005076	0.004583	0.001296	0.001132	0.002118	0.005076	-0.011852	-1.9e-05	0.00935	0.022498	0.004583	0.006391
1	0.009678	0.003104	0.005898	0.003104	0.002775	0.001625	0.001954	0.00294	0.006062	-0.010866	0.00672	0.013294	0.03088	0.002447	0.005076
2	0.018225	0.001954	0.005734	-0.001991	0.004255	0.002611	0.001954	0.003268	0.008199	-0.019577	0.013623	0.016088	0.023649	0.005076	0.006391
3	0.017239	0.003104	0.007049	0.000967	0.004255	0.002775	0.002447	0.001132	0.003597	-0.014647	0.013787	0.016088	0.022991	0.001789	0.001132
4	0.014445	0.001789	0.000146	0.001132	0.002611	0.002611	0.006884	0.003926	0.002775	-0.012346	0.011158	0.015266	0.028908	0.004419	0.004748
5	0.013623	0.001954	0.005734	0.001789	0.007706	0.004912	0.00146	0.002611	0.003926	-0.01251	0.014609	0.014938	0.024799	0.002611	0.006062
6	0.017239	0.00031	0.004255	-0.00232	0.003268	0.005241	0.001296	0.000474	0.003433	-0.01366	0.013787	0.01313	0.026443	0.004912	0.007213
7	0.015431	0.005241	0.005405	0.000803	0.003268	0.004583	0.002282	0.001625	0.006227	-0.015633	0.012637	0.015102	0.028579	0.000639	0.007706
8	0.013294	0.004748	0.003268	-0.001991	0.000474	0.003433	0.004748	0.001296	0.004912	-0.016619	0.014938	0.010336	0.026771	0.003104	0.006884
9	0.015924	0.00409	0.004419	-0.000347	0.006227	0.005076	0.00146	0.004748	0.006062	-0.01251	0.013294	0.013294	0.028744	-1.9e-05	0.006556
