Ladekurvenmessung

Zeit: 2018_05_02 15.05.44

Info: FVA3, v = 0.0404, T = 40, F = 20, h = 58.8

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1
0	-9e-05
1	8e-06
2	-0.000123
3	-9e-05
4	8e-06
5	8e-06
6	0.00014
7	7.4e-05
8	0.000107
9	0.000107
10	4.1e-05
11	8e-06
12	-2.5e-05
13	-9e-05
14	-5.8e-05
15	-0.000123
16	4.1e-05
17	4.1e-05
18	7.4e-05
19	0.000107
20	4.1e-05
21	0.000107
22	-5.8e-05
23	-9e-05
24	-5.8e-05
25	-5.8e-05
26	-2.5e-05
27	8e-06
28	4.1e-05
29	0.000107
30	0.000107
31	0.00014
32	0.000107
33	-2.5e-05
34	8e-06
35	-0.000123
36	-9e-05
37	-2.5e-05
38	-2.5e-05
39	0.00014
40	0.000107
41	0.00014
42	0.000107
43	4.1e-05
44	0.00014
45	0.000107
46	-5.8e-05
47	0.000535
48	-0.00065
49	0.000666
50	0.000173
51	-2.5e-05
52	4.1e-05
53	-0.000518
54	0.000206
55	-0.000321
56	-0.000419
57	0.000897
58	-0.001077
59	-2.5e-05
60	-2.5e-05
61	8e-06
62	0.000107
63	0.00014
64	0.000107
65	7.4e-05
66	4.1e-05
67	-9e-05
68	-5.8e-05
69	-9e-05
70	-0.000156
71	8e-06
72	7.4e-05
73	7.4e-05
74	0.00014
75	0.000107
76	0.000107
77	-2.5e-05
78	8e-06
79	-9e-05
80	-9e-05
81	0.000107
82	-2.5e-05
83	7.4e-05
84	0.00014
85	0.000107
86	0.000107
87	0.000107
88	8e-06
89	-2.5e-05
90	-5.8e-05
91	-9e-05
92	-0.000189
93	-9e-05
94	7.4e-05
95	7.4e-05
96	0.000107
97	0.000107
98	7.4e-05
99	4.1e-05
100	-5.8e-05
101	-5.8e-05
102	-9e-05
103	-0.000123
104	8e-06
105	4.1e-05
106	0.000107
107	7.4e-05
108	0.00014
109	0.00014
110	-9e-05
111	-2.5e-05
112	-5.8e-05
113	-5.8e-05
114	-5.8e-05
115	-5.8e-05
116	4.1e-05
117	4.1e-05
118	7.4e-05
119	0.00014
120	7.4e-05
121	4.1e-05
122	8e-06
123	-5.8e-05
124	-9e-05
125	-5.8e-05
126	-2.5e-05
127	4.1e-05
128	4.1e-05
129	0.00014
130	7.4e-05
131	0.000173
132	-2.5e-05
133	-2.5e-05
134	-9e-05
135	-5.8e-05
136	-5.8e-05
137	-0.000123
138	7.4e-05
139	7.4e-05
140	7.4e-05
141	0.00014
142	0.000107
143	4.1e-05
144	8e-06
145	-0.000123
146	-2.5e-05
147	-0.000123
148	-2.5e-05
149	4.1e-05
150	0.000107
151	0.00014
152	0.000107
153	0.00014
154	0.000107
155	8e-06
156	-5.8e-05
157	-9e-05
158	-0.000123
159	-2.5e-05
160	-2.5e-05
161	0.000107
162	0.000107
163	7.4e-05
164	0.000107
165	0.000107
166	-2.5e-05
167	-9e-05
168	-9e-05
169	-0.000123
170	-5.8e-05
171	0.000107
172	7.4e-05
173	0.00014
174	0.000173
175	7.4e-05
176	-9e-05
177	8e-06
178	-0.000123
179	-0.000288
180	-5.8e-05
181	-0.000288
182	0.000107
183	-0.000814
184	-0.000222
185	0.000239
186	-2.5e-05
187	0.00037
188	0.000206
189	-0.000123
190	0.000798
191	-9e-05
192	8e-06
193	4.1e-05
194	-5.8e-05
195	-0.000518
196	8e-06
197	-0.001374
198	0.000633
199	-0.000255
200	-9e-05
201	-0.000222
202	-5.8e-05
203	-0.000814
204	0.001423
205	-9e-05
206	8e-06
207	0.001258
208	-0.000255
209	0.000271
210	0.000173
211	-0.000189
212	7.4e-05
213	-0.000189
214	-5.8e-05
215	0.000732
216	8e-06
217	0.000107
218	4.1e-05
219	0.000239
220	4.1e-05
221	8e-06
222	8e-06
223	-0.000222
224	-9e-05
225	-0.000222
226	8e-06
227	7.4e-05
228	4.1e-05
229	0.000107
230	4.1e-05
231	0.000107
232	8e-06
233	-2.5e-05
234	8e-06
235	-0.000123
236	4.1e-05
237	-2.5e-05
238	0.000107
239	7.4e-05
240	4.1e-05
241	0.000107
242	8e-06
243	8e-06
244	-2.5e-05
245	-5.8e-05
246	-2.5e-05
247	-0.000156
