Ladekurvenmessung

Zeit: 2018_05_03 13.53.22

Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
0	-0.007579	-0.000512	-0.003799	-0.00347	0.003104	-0.009387	-0.007086	0.012801	-0.000183	-0.019413	-0.02911	-0.006429	0.003104	-0.004456	-0.00988
1	0.000967	0.000967	-0.002813	-0.002155	0.00294	-0.007086	-0.005771	0.015431	-0.000347	-0.018427	-0.025987	-0.007579	0.001296	0.000967	-0.00873
2	-0.000183	0.00146	-0.003306	-0.005443	0.007213	-0.009716	-0.005278	0.013459	0.000474	-0.016783	-0.028288	-0.006429	0.002282	-0.002648	-0.0061
3	-0.001334	0.001132	-0.003963	-0.009387	0.004255	-0.00873	-0.004785	0.012472	-0.001991	-0.018427	-0.025823	-0.004456	-0.000841	-0.001169	-0.008565
4	0.007213	-0.000183	-0.001991	-0.005771	0.003104	-0.008072	-0.007579	0.009185	-0.002155	-0.01629	-0.026316	-0.004456	-0.002813	0.002775	-0.006264
5	-1.9e-05	0.00031	-0.002155	-0.007744	0.000146	-0.010045	-0.003306	0.011322	0.008199	-0.018591	-0.025494	-0.003142	-0.007086	-0.002155	-0.00725
6	-1.9e-05	-0.003142	0.000639	-0.008401	0.002282	-0.006593	-0.0061	0.008857	0.004748	-0.016454	-0.014975	-0.0061	-0.005607	-0.001498	-0.004621
7	0.003433	-0.001169	-0.001005	-0.01366	0.001789	-0.006757	-0.003306	0.008857	0.007542	-0.017605	-0.006757	-0.004621	0.003761	0.003104	-0.008237
8	0.003926	0.000146	-0.000183	-0.010538	0.004419	-0.007579	-0.004128	0.009514	0.005241	-0.016948	-0.006757	-0.005114	0.001954	-0.001334	-0.008237
9	0.000474	-0.002155	-0.000676	-0.013989	0.001132	-0.006429	-0.004128	0.008363	0.004419	-0.020892	-0.00725	-0.001991	-1.9e-05	-0.002813	-0.007908
10	0.002611	0.002775	-0.002648	-0.014153	0.003926	-0.006757	-0.008237	0.009843	0.003268	-0.014811	-0.007579	-0.001827	-0.002648	-0.003306	-0.00725
11	0.003597	-0.002977	-0.001334	-0.015797	0.004912	-0.006757	-0.004128	0.008035	0.003761	-0.015468	-0.009387	0.002775	-0.010866	-0.002648	-0.007415
12	0.002447	-0.002155	-0.000183	-0.014153	0.008692	-0.006264	-0.003963	0.010993	0.005734	-0.015961	-0.007908	-0.001498	-0.010373	-0.001827	-0.005936
13	0.001954	-0.001662	-0.003799	-0.019413	0.010336	-0.006922	-0.000512	0.010336	0.004255	-0.015797	-0.007908	-0.000347	-0.014318	-0.002648	-0.00232
14	0.003597	-0.001662	-0.003142	-0.015468	0.009514	-0.006593	-0.003142	0.008528	0.00787	-0.013989	-0.006593	-0.001005	-0.015961	-0.001005	-0.007415
15	0.005076	-0.001334	-0.001169	-0.018591	0.008857	-0.005936	-0.002977	0.009021	0.004419	-0.016619	-0.007908	0.001625	-0.017112	-0.002813	-0.007579
16	-0.000841	-0.004785	-0.002155	-0.015797	0.009185	-0.005278	-0.001662	0.008035	0.006227	-0.014975	-0.005771	0.004912	-0.018098	-0.000183	-0.005278
17	0.004583	-0.005936	0.00031	-0.020563	0.012801	-0.00347	-0.002484	0.006391	-0.000841	-0.013825	-0.006593	0.003104	-0.019906	-0.003963	-0.001827
18	0.001296	-0.00347	-0.001169	-0.028124	0.0105	-0.0061	0.000474	0.003926	0.001789	-0.016126	-0.002155	0.007049	-0.023522	-1.9e-05	-0.005443
19	0.00146	-0.003963	-0.000512	-0.023357	0.012144	-0.005936	-0.00347	0.000803	0.002611	-0.014647	-0.002813	0.003597	-0.022043	-0.000841	-0.004785
20	0.000803	-0.005607	-0.001991	-0.022864	0.010664	-0.006429	-0.00347	0.003268	-0.007086	-0.017112	-0.003635	0.005569	-0.026316	-0.002977	-0.003635
21	0.000639	-0.005114	-0.000676	-0.022536	0.012637	-0.005114	-0.002155	0.001789	-0.001169	-0.014975	-0.002813	0.009185	-0.025001	-0.004292	-0.002648
22	0.00294	-0.006429	-0.001334	-0.022207	0.012308	-0.006429	-0.003306	0.000639	0.000967	-0.014811	-0.004456	0.011322	-0.02648	-0.001662	-0.00232
23	0.002611	-0.004785	0.00031	-0.022207	0.011979	-0.002977	-0.001827	0.002447	-0.000183	-0.013989	-0.004785	0.007049	-0.025494	-0.001662	-0.00232
