Ladekurvenmessung

Zeit: 2018_05_03 11.58.49

Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[pF]: 0.000000

Entladezeit[ms]: 200

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500.000000

Verzögerung[ms]: 3

Ladespannung[V]: 0.200000


	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
33	0.010171	-0.001991	-0.005607	-0.001827	-0.002813	-0.002648	-0.009551	0.020855	-0.000676	-0.001662	-0.001662	0.005076	-0.062967	0.016088	-0.014153
34	0.008035	0.00031	-0.005278	-0.003306	-0.000183	-0.001662	-0.007908	0.022005	0.004583	-0.00232	-0.001662	0.002447	-0.062146	0.014773	-0.017934
35	0.000967	-0.003963	-0.005278	-0.004621	-0.002484	-0.001005	-0.012017	0.01691	0.00031	-0.000841	-0.005278	0.004748	-0.061488	0.014938	-0.016948
36	0.00672	-0.002484	-0.000676	-0.004292	0.000474	-0.001662	-0.010373	0.020033	0.001296	-0.000676	0.001132	0.004255	-0.059516	0.016253	-0.016948
37	0.009185	-0.003635	-0.001334	-0.006429	-0.001169	-0.002977	-0.009716	0.016253	0.001132	0.000639	-0.003635	0.004912	-0.057872	0.019704	-0.013496
38	0.00672	-0.001169	0.000639	-0.009551	-0.003306	-0.001334	-0.007086	0.017896	0.004583	-0.001991	-0.000347	0.001296	-0.062474	0.01576	-0.016783
39	0.007377	-0.004949	-0.001827	-0.013167	-0.002648	-0.003142	-0.008894	0.014445	-0.000841	0.00031	-0.002155	0.005405	-0.05853	0.01691	-0.013989
40	0.007049	-0.005114	0.004255	-0.011688	-0.00232	-0.001169	-0.007744	0.014609	0.002775	-0.00232	-0.000183	0.002775	-0.050312	0.016417	-0.013167
41	0.005405	-0.004785	0.003926	-0.016783	-0.00232	-0.000512	-0.008894	0.014773	0.001625	-0.00347	-0.002648	0.003104	-0.055243	0.015431	-0.015304
42	0.007049	-0.004456	0.004748	-0.019249	-0.001827	-0.001005	-0.009387	0.01576	0.00146	-0.003799	-0.002813	0.006062	-0.053599	0.018554	-0.015633
43	0.00935	-0.0061	0.004255	-0.001827	0.000146	0.001296	-0.006922	0.011979	0.004419	-0.001498	-0.00232	0.002611	-0.052284	0.014773	-0.013825
44	0.006062	0.000474	0.005405	-0.000347	-0.00232	-0.000512	-0.007579	0.0105	0.001954	-0.00232	-0.000347	0.002447	-0.04949	0.013294	-0.014153
45	0.009185	-0.000183	0.004748	-0.003142	0.00031	-0.001169	-0.005771	0.009843	0.004912	-0.002484	-0.000676	0.004583	-0.046696	0.013294	-0.015797
46	0.007213	0.001132	0.006062	0.006556	-0.005114	-0.002813	-0.004621	0.009514	0.005898	-0.003306	-0.001169	0.005076	-0.047025	0.011322	-0.012674
47	0.008035	0.000967	0.003433	-0.002484	0.003104	0.000639	-0.007086	0.009021	0.008363	-0.002155	-0.00232	0.003104	-0.048504	0.012472	-0.015961
48	0.008692	0.001625	0.005569	0.000803	-0.001827	-0.005607	-0.004785	0.010336	0.00672	0.004419	-0.004949	0.002611	-0.050476	0.014938	-0.014975
49	0.006391	0.003104	0.006227	-0.002648	-0.001005	-0.002648	-0.002484	0.009185	0.010993	-0.000512	-0.002155	0.002611	-0.042752	0.010993	-0.016126
50	0.004912	-0.000347	0.00672	-0.005443	-0.004621	-0.00347	-0.004621	0.005241	0.008363	-0.002648	-0.008237	0.005734	-0.045874	0.00935	-0.014811
51	0.009185	0.00409	0.007377	-0.003142	0.000639	-0.002484	-0.000841	0.005569	0.013787	-0.000512	-0.002648	0.000146	-0.044724	0.010171	-0.015797
52	0.010007	0.001625	0.007542	-0.003142	-0.001498	-0.001005	-0.001169	0.001296	0.010993	-0.000841	0.001132	0.003433	-0.038971	0.008363	-0.013825
53	0.006556	0.000474	0.008528	-0.005936	-0.001334	-0.001169	0.004255	0.002282	0.011979	-0.002155	-0.001827	-0.000183	-0.036177	0.010171	-0.015468
54	0.010664	-1.9e-05	0.011651	-0.005771	-0.000841	-0.00232	-0.001334	-0.000512	0.010336	-0.000676	-0.001827	0.002775	-0.034862	0.010171	-0.014153
55	0.003268	0.002118	0.011815	-0.009387	-0.003635	-0.001827	-0.001005	-0.001498	0.010007	-0.001169	-0.000512	0.002118	-0.032068	0.009678	-0.012017
56	0.005241	-0.001827	0.010993	-0.009387	-0.004456	-0.001827	0.000803	-0.002977	0.010007	0.00031	-0.002977	0.003597	-0.03026	0.010993	-0.013825
57	0.006062	0.004419	0.012637	-0.017769	-0.002484	-0.003142	-0.000347	-0.002484	0.014773	-0.002977	-0.001334	-0.001662	-0.027138	0.013459	-0.011524
58	0.007213	0.004255	0.010171	-0.013496	-0.000347	-0.000512	-0.001005	-0.005771	0.011158	-0.004292	-0.002648	0.006391	-0.025165	0.012637	-0.007908
59	0.008857	-0.000676	0.01313	-0.009058	-0.002484	-0.002155	0.00294	-0.004292	0.014609	-0.000183	-0.002484	0.004583	-0.021878	0.01313	-0.013989
60	0.013459	-0.001827	0.012144	-0.017276	-0.002813	0.001954	0.003926	-0.006757	0.016253	-0.001827	-0.001662	0.003433	-0.022371	0.009843	-0.016783
