Ladekurvenmessung

Zeit: 2018_05_02 15.03.35

Info: FVA3, v = 0.0215, T = 40, F = 20, h = 45.9

Ladewiderstand[Ohm]: 1012700

Störkapazität[nF]: 0.000000

Entladezeit[ms]: 100

Abtastrate[Hz]: 250000

Anzahl der Messwerte: 2500

Verzögerung [ms]: 1


	Kurve_1
421	0.063109
422	0.064161
423	0.063141
424	0.066958
425	0.064622
426	0.064753
427	0.062681
428	0.059128
429	0.057845
430	0.05847
431	0.059194
432	0.055575
433	0.055443
434	0.053041
435	0.054884
436	0.051364
437	0.054226
438	0.051561
439	0.056364
440	0.055114
441	0.056693
442	0.057976
443	0.06199
444	0.065247
445	0.066135
446	0.066662
447	0.06505
448	0.063503
449	0.058503
450	0.057252
451	0.053206
452	0.05314
453	0.048534
454	0.047646
455	0.044455
456	0.046692
457	0.041494
458	0.03748
459	0.034388
460	0.0309
461	0.030111
462	0.029223
463	0.022215
464	0.027314
465	0.031164
466	0.02692
467	0.031427
468	0.030736
469	0.034388
470	0.030999
471	0.0309
472	0.029979
473	0.033039
474	0.027676
475	0.027841
476	0.03021
477	0.02965
478	0.033335
479	0.034585
480	0.035276
481	0.039257
482	0.038697
483	0.034026
484	0.036526
485	0.030736
486	0.034684
487	0.0309
488	0.031032
489	0.034881
490	0.038829
491	0.037579
492	0.03498
493	0.036724
494	0.036296
495	0.040606
496	0.040639
497	0.039915
498	0.038632
499	0.043599
500	0.037842
501	0.035868
502	0.035309
503	0.037842
504	0.039191
505	0.040737
506	0.042053
507	0.044257
508	0.043928
509	0.04939
510	0.05268
511	0.050212
512	0.040046
513	0.038533
514	0.033072
515	0.034618
516	0.036329
517	0.039323
518	0.044718
519	0.046133
520	0.053338
521	0.051166
522	0.057581
523	0.054785
524	0.059786
525	0.057746
526	0.057943
527	0.060542
528	0.05972
529	0.060312
530	0.052318
531	0.045113
532	0.047021
533	0.047087
534	0.035671
535	0.032183
536	0.026196
537	0.024485
538	0.021162
539	0.020833
540	0.01932
541	0.022807
542	0.022314
543	0.025044
544	0.03248
545	0.034486
546	0.04054
547	0.041954
548	0.046297
549	0.04781
550	0.048699
551	0.050673
552	0.055279
553	0.054818
554	0.061003
555	0.056101
556	0.050771
557	0.044685
558	0.040935
559	0.04327
560	0.043073
561	0.050311
562	0.051232
563	0.054292
564	0.055904
565	0.057614
566	0.060049
567	0.061398
568	0.061233
569	0.068274
570	0.063701
571	0.068932
572	0.071531
573	0.07107
574	0.070017
575	0.070642
576	0.072287
577	0.070708
578	0.073373
579	0.074031
580	0.075906
581	0.073537
582	0.065642
583	0.057713
584	0.051298
585	0.042941
586	0.043468
587	0.044257
588	0.047646
589	0.043928
590	0.047514
591	0.046659
592	0.051495
593	0.049126
594	0.053798
595	0.050278
596	0.052811
597	0.056825
598	0.061595
599	0.059259
600	0.060838
601	0.066727
602	0.063503
603	0.065938
604	0.065543
605	0.065379
606	0.06903
607	0.068833
608	0.070675
609	0.073834
610	0.074195
611	0.072748
612	0.07686
613	0.077716
614	0.075544
615	0.073537
616	0.071531
617	0.073735
618	0.075479
619	0.075742
620	0.079624
621	0.079459
622	0.07686
623	0.078604
624	0.065313
625	0.064753
626	0.065313
627	0.053403
628	0.045409
629	0.039224
630	0.043172
631	0.046725
632	0.046856
633	0.046988
634	0.048765
635	0.048337
636	0.045277
637	0.046889
638	0.044915
639	0.043369
640	0.043205
641	0.04304
642	0.046363
643	0.046527
644	0.043797
645	0.050903
646	0.05337
647	0.056035
648	0.059687
649	0.062615
650	0.064161
651	0.064819
652	0.066826
653	0.067978
654	0.068372
655	0.06801
656	0.069623
657	0.065115
658	0.060773
659	0.053831
660	0.051857
661	0.05518
662	0.049883
663	0.056331
664	0.055904
665	0.05995
666	0.062385
667	0.064424
668	0.063766
669	0.066069
670	0.069261
671	0.072222
672	0.068932
673	0.060411
674	0.05416
675	0.049291
676	0.048666
677	0.052943
678	0.05666
679	0.055443
680	0.059621
681	0.059884
682	0.057088
683	0.049587
684	0.047218
685	0.05189
686	0.054653
687	0.057713
688	0.059819
689	0.065576
690	0.067879
691	0.066695
692	0.064918
693	0.068208
694	0.068866
695	0.069984
696	0.068471
697	0.069261
698	0.066727
699	0.072353
700	0.062154
701	0.065938
702	0.06755
703	0.065543
704	0.066892
705	0.066662
706	0.067418
707	0.06755
708	0.068866
709	0.070313
710	0.070708
711	0.069359
712	0.071169
713	0.070675
714	0.070675
715	0.067451
716	0.067649
717	0.065247
718	0.06528
719	0.064885
720	0.064095
721	0.061891
722	0.059687
723	0.061891
724	0.063339
725	0.063701
726	0.061332
727	0.063503
728	0.060246
729	0.06222
730	0.058897
731	0.061431
732	0.058996
733	0.060477
734	0.059095
735	0.060937
736	0.0587
737	0.057878
738	0.057614
739	0.057779
740	0.05666
741	0.056529
742	0.056792
743	0.05791
744	0.058996
745	0.057187
746	0.056068
747	0.054324
748	0.053634
749	0.053831
750	0.050607
751	0.047909
752	0.044422
753	0.044389
754	0.04383
755	0.043369
756	0.043172
757	0.048962
758	0.046692
759	0.049949
760	0.052186
761	0.052976
762	0.053239
763	0.056035
764	0.055081
765	0.056101
766	0.055246
767	0.058503
768	0.058108
769	0.0612
770	0.05949
771	0.062648
772	0.060213
773	0.061365
774	0.064786
775	0.06551
776	0.068043
777	0.070412
778	0.070445
779	0.070313
780	0.071333
781	0.072024
782	0.075084
783	0.069886
784	0.072649
785	0.067418
786	0.067616
787	0.067616
788	0.0612
789	0.066234
790	0.064786
791	0.066464
792	0.066168
793	0.061727
794	0.06278
795	0.064786
796	0.059161
797	0.059786
798	0.056627
799	0.056759
800	0.060148
801	0.062714
802	0.061825
803	0.06074
804	0.060542
805	0.057943
806	0.061365
807	0.054719
808	0.057713
809	0.061858
810	0.063438
811	0.062385
812	0.067023
813	0.063503
814	0.063668
815	0.06301
816	0.060246
817	0.067352
818	0.069162
819	0.072945
820	0.073669
821	0.075215
822	0.070248
823	0.072748
824	0.074656
825	0.077485
826	0.07686
827	0.079097
828	0.078078
829	0.081993
830	0.082486
831	0.085414
832	0.081466
833	0.080677
834	0.080117
835	0.077781
836	0.077387
837	0.076235
838	0.075018
839	0.072912
840	0.072057
841	0.072847
842	0.075347
843	0.077979
844	0.079229
845	0.068767
846	0.056529
847	0.047021
848	0.052449
849	0.051989
850	0.041856
851	0.04554
852	0.048238
853	0.048699
854	0.053798
855	0.058799
856	0.05949
857	0.063405
858	0.064194
859	0.068175
860	0.068965
861	0.071103
862	0.072518
863	0.076564
864	0.075643
865	0.078867
866	0.077946
867	0.075347
868	0.072287
869	0.07209
870	0.067221
871	0.069524
872	0.070511
873	0.070346
874	0.073866
875	0.066793
876	0.068767
877	0.068767
878	0.066859
879	0.071103
880	0.072287
881	0.076498
882	0.076926
883	0.076433
884	0.077255
885	0.080611
886	0.080677
887	0.084493
888	0.078637
889	0.077716
890	0.07436
891	0.076762
892	0.06982
893	0.07209
894	0.069326
895	0.071432
896	0.074623
897	0.079394
898	0.078078
899	0.076992
900	0.079492
901	0.081927
902	0.083703
903	0.083736
904	0.090086
905	0.086697
906	0.089954
907	0.091895
908	0.094461
909	0.093112
910	0.092454
911	0.092257
912	0.083144
913	0.079821
914	0.08298
915	0.081367
916	0.078703
917	0.078966
918	0.074656
919	0.077354
920	0.077551
921	0.076597
922	0.081203
923	0.081137
924	0.080348
925	0.081269
926	0.079821
927	0.077058
928	0.075248
929	0.073866
930	0.076433
931	0.07867
932	0.076104
933	0.0663
934	0.066695
935	0.065905
936	0.068932
937	0.072518
938	0.070873
939	0.070609
940	0.073669
941	0.073406
942	0.074985
943	0.07515
944	0.076597
945	0.075446
946	0.076597
947	0.072222
948	0.069491
949	0.065543
950	0.069557
951	0.074064
952	0.073077
953	0.075248
954	0.073998
955	0.07765
956	0.076367
957	0.078703
958	0.071432
959	0.074426
960	0.066135
961	0.063734
962	0.064326
963	0.061924
964	0.061825
965	0.065872
966	0.068241
967	0.068109
968	0.069721
969	0.063701
970	0.062122
971	0.058634
972	0.05768
973	0.04939
974	0.045837
975	0.03873
976	0.030111
977	0.029683
978	0.03192
979	0.035144
980	0.038105
981	0.03294
982	0.043336
983	0.045837
984	0.044882
985	0.046527
986	0.046527
987	0.047054
988	0.046791
989	0.048797
990	0.046462
991	0.046856
992	0.043007
993	0.043863
994	0.043665
995	0.043238
996	0.048304
997	0.050179
998	0.052482
999	0.053798
1000	0.053502
1001	0.057483
1002	0.062023
1003	0.062385
1004	0.065148
1005	0.064721
1006	0.06732
1007	0.067813
1008	0.069392
1009	0.069919
1010	0.072222
1011	0.073044
1012	0.076926
1013	0.078834
1014	0.081598
1015	0.081137
1016	0.081762
1017	0.084394
1018	0.085315
1019	0.089329
1020	0.089888
1021	0.095843
1022	0.093376
1023	0.095711
1024	0.097356
1025	0.097784
1026	0.098541
1027	0.10262
1028	0.100515
1029	0.097685
1030	0.100844
1031	0.101896
1032	0.102554
1033	0.105482
1034	0.104495
1035	0.100679
1036	0.10216
1037	0.103179
1038	0.102489
1039	0.103574
1040	0.107292
1041	0.104857
1042	0.108772
1043	0.112589
1044	0.110088
1045	0.111273
1046	0.109134
1047	0.10999
1048	0.11124
1049	0.113214
1050	0.111766
1051	0.114694
1052	0.113674
1053	0.115977
1054	0.115221
1055	0.11726
1056	0.117984
1057	0.119234
1058	0.119892
1059	0.121537
1060	0.122623
1061	0.124136
1062	0.122524
1063	0.108279
1064	0.116043
1065	0.113411
1066	0.117491
1067	0.114727
1068	0.118741
1069	0.116405
1070	0.118346
1071	0.117063
1072	0.116898
1073	0.117951
1074	0.118247
1075	0.120813
1076	0.115056
1077	0.126801
1078	0.124564
1079	0.123412
1080	0.125617
1081	0.128018
1082	0.126275
1083	0.130815
1084	0.127722
1085	0.128281
1086	0.128643
1087	0.130288
1088	0.128643
1089	0.132624
1090	0.132163
1091	0.133052
1092	0.133776
1093	0.128808
1094	0.130255
1095	0.129828
1096	0.132986
1097	0.131473
1098	0.134302
1099	0.13269
1100	0.136375
1101	0.135322
1102	0.13496
1103	0.136671
1104	0.138349
1105	0.136802
1106	0.138184
1107	0.140651
1108	0.138941
1109	0.134598
1110	0.124037
