Frequency,Z,?°
1 kHz,10.6394 m?,7.1147 °
2 kHz,10.9052 m?,13.7201 °
3 kHz,11.2721 m?,20.0754 °
4 kHz,11.5886 m?,25.951 °
5 kHz,12.436 m?,32.3495 °
6 kHz,13.114 m?,36.6988 °
7 kHz,13.905 m?,40.7532 °
8 kHz,14.7506 m?,44.8889 °
9 kHz,15.6719 m?,48.0273 °
10 kHz,16.6984 m?,51.2671 °
11 kHz,17.547 m?,53.892 °
12 kHz,18.0373 m?,55.3405 °
13 kHz,19.7452 m?,56.8984 °
14 kHz,20.5752 m?,59.7395 °
15 kHz,22.3681 m?,62.2764 °
16 kHz,23.0665 m?,62.9561 °
17 kHz,24.5013 m?,64.738 °
18 kHz,25.2351 m?,65.5232 °
19 kHz,26.3293 m?,66.7378 °
20 kHz,27.6598 m?,68.6302 °
21 kHz,29.0533 m?,69.782 °
22 kHz,29.9659 m?,71.0805 °
23 kHz,31.3517 m?,72.0075 °
24 kHz,32.2182 m?,72.5463 °
25 kHz,33.7041 m?,73.4777 °
26 kHz,35.0999 m?,73.9941 °
27 kHz,36.1648 m?,74.9016 °
28 kHz,37.3511 m?,75.2109 °
29 kHz,38.8217 m?,75.8195 °
30 kHz,40.1218 m?,76.4248 °
31 kHz,41.7371 m?,76.0231 °
32 kHz,42.7014 m?,76.3712 °
33 kHz,43.9309 m?,77.5533 °
34 kHz,44.7817 m?,77.6911 °
35 kHz,46.2268 m?,78.4147 °
36 kHz,47.5727 m?,78.6303 °
37 kHz,48.7219 m?,78.9022 °
38 kHz,50.2538 m?,79.4309 °
39 kHz,51.6594 m?,79.6898 °
40 kHz,53.187 m?,79.989 °
41 kHz,55.0245 m?,81.2374 °
42 kHz,57.2353 m?,82.1888 °
43 kHz,59.22 m?,83.196 °
44 kHz,61.6107 m?,83.8886 °
45 kHz,63.8165 m?,84.8247 °
46 kHz,59.3371 m?,78.5957 °
47 kHz,60.9609 m?,79.62 °
48 kHz,62.8737 m?,80.3717 °
49 kHz,64.4974 m?,81.0367 °
50 kHz,66.0261 m?,81.4621 °
51 kHz,67.6136 m?,81.9312 °
52 kHz,68.7044 m?,82.1707 °
53 kHz,70.1594 m?,82.2573 °
54 kHz,71.4745 m?,82.5293 °
55 kHz,72.5799 m?,82.7483 °
56 kHz,74.1882 m?,82.8198 °
57 kHz,75.1441 m?,82.9631 °
58 kHz,76.6316 m?,82.9682 °
59 kHz,77.9698 m?,83.2117 °
60 kHz,79.2673 m?,83.1618 °
61 kHz,80.7073 m?,83.2559 °
62 kHz,81.8465 m?,83.709 °
63 kHz,83.2193 m?,83.8934 °
64 kHz,84.7336 m?,83.9178 °
65 kHz,85.8856 m?,84.391 °
66 kHz,87.3767 m?,84.5403 °
67 kHz,88.8839 m?,84.6578 °
68 kHz,89.8958 m?,84.7956 °
69 kHz,91.3277 m?,84.8657 °
70 kHz,92.5435 m?,85.0345 °
71 kHz,93.9617 m?,85.1522 °
72 kHz,95.2588 m?,85.3053 °
73 kHz,96.5466 m?,85.318 °
74 kHz,97.9456 m?,85.3969 °
75 kHz,99.1985 m?,85.4171 °
76 kHz,100.478 m?,85.4676 °
77 kHz,101.765 m?,85.5952 °
78 kHz,102.99 m?,85.5497 °
79 kHz,104.25 m?,85.615 °
80 kHz,105.402 m?,85.5935 °
81 kHz,106.582 m?,85.6555 °
82 kHz,108.199 m?,85.8087 °
83 kHz,109.649 m?,85.9838 °
84 kHz,111.2 m?,86.0496 °
85 kHz,112.582 m?,86.1942 °
86 kHz,113.844 m?,86.2475 °
87 kHz,115.382 m?,86.2615 °
88 kHz,116.592 m?,86.3616 °
89 kHz,118.144 m?,86.4113 °
90 kHz,119.425 m?,86.3698 °
91 kHz,120.77 m?,86.5001 °
92 kHz,121.92 m?,86.5986 °
93 kHz,123.289 m?,86.5744 °
94 kHz,124.651 m?,86.6296 °
95 kHz,126.035 m?,86.5964 °
96 kHz,127.304 m?,86.5649 °
97 kHz,128.652 m?,86.6404 °
98 kHz,129.843 m?,86.6165 °
99 kHz,131.267 m?,86.6347 °
100 kHz,132.491 m?,86.6605 °
