Frequency,Z,?°
0.02 kHz,19.1327 m?,-0.5974 °
0.04 kHz,19.1083 m?,-0.0519 °
0.06 kHz,19.1188 m?,0.3161 °
0.08 kHz,18.9856 m?,0.638 °
0.1 kHz,19.025 m?,0.5326 °
0.12 kHz,19.0212 m?,0.9389 °
0.14 kHz,19.2325 m?,0.8806 °
0.16 kHz,19.3803 m?,1.2179 °
0.18 kHz,19.2412 m?,1.3869 °
0.2 kHz,19.0825 m?,1.783 °
0.22 kHz,19.1302 m?,1.763 °
0.24 kHz,19.1525 m?,1.9234 °
0.26 kHz,19.0933 m?,2.2009 °
0.28 kHz,19.1443 m?,2.4192 °
0.3 kHz,19.0831 m?,2.6869 °
0.32 kHz,19.1354 m?,2.6414 °
0.34 kHz,19.1517 m?,2.7215 °
0.36 kHz,19.1149 m?,2.8924 °
0.38 kHz,19.1079 m?,3.1138 °
0.4 kHz,19.1354 m?,3.1878 °
0.42 kHz,19.1246 m?,3.3439 °
0.44 kHz,19.0992 m?,3.4722 °
0.46 kHz,19.1299 m?,3.5466 °
0.48 kHz,19.0351 m?,3.7922 °
0.5 kHz,19.0276 m?,3.8975 °
0.52 kHz,19.0295 m?,4.0187 °
0.54 kHz,19.0135 m?,4.1852 °
0.56 kHz,18.997 m?,4.3714 °
0.58 kHz,19.0032 m?,4.5311 °
0.6 kHz,18.9893 m?,4.7389 °
0.62 kHz,18.9721 m?,4.9216 °
0.64 kHz,18.926 m?,5.1037 °
0.66 kHz,18.892 m?,5.2448 °
0.68 kHz,18.8745 m?,5.4861 °
0.7 kHz,18.8874 m?,5.6614 °
0.72 kHz,18.9052 m?,5.8858 °
0.74 kHz,18.9064 m?,6.1348 °
0.76 kHz,18.9035 m?,6.2277 °
0.78 kHz,18.9012 m?,6.513 °
0.8 kHz,18.912 m?,6.6725 °
0.82 kHz,18.9066 m?,6.9156 °
0.84 kHz,18.9379 m?,7.142 °
0.86 kHz,18.9218 m?,7.2499 °
0.88 kHz,18.9045 m?,7.4752 °
0.9 kHz,18.9116 m?,7.6202 °
0.92 kHz,18.9129 m?,7.8009 °
0.94 kHz,18.9084 m?,8 °
0.96 kHz,18.9096 m?,8.1237 °
0.98 kHz,18.9061 m?,8.323 °
