Frequency,Z,?°
1 kHz,18.9102 m?,8.435 °
2 kHz,18.563 m?,17.2025 °
3 kHz,18.0341 m?,28.1646 °
4 kHz,18.0303 m?,42.1097 °
5 kHz,19.3112 m?,57.106 °
6 kHz,22.1615 m?,70.885 °
7 kHz,26.762 m?,81.5479 °
8 kHz,32.1111 m?,89.1599 °
9 kHz,38.7286 m?,94.0837 °
10 kHz,45.7049 m?,97.6715 °
11 kHz,53.3976 m?,99.8207 °
12 kHz,61.2393 m?,101.577 °
13 kHz,69.3269 m?,102.006 °
14 kHz,77.6568 m?,102.703 °
15 kHz,86.1384 m?,103.112 °
16 kHz,94.4604 m?,103.043 °
17 kHz,102.876 m?,102.947 °
18 kHz,111.424 m?,102.847 °
19 kHz,120.195 m?,102.769 °
20 kHz,128.804 m?,102.724 °
21 kHz,137.111 m?,102.355 °
22 kHz,145.748 m?,102.032 °
23 kHz,154.24 m?,101.757 °
24 kHz,162.859 m?,101.509 °
25 kHz,171.629 m?,101.265 °
26 kHz,179.97 m?,100.952 °
27 kHz,188.436 m?,100.679 °
28 kHz,196.866 m?,100.372 °
29 kHz,205.418 m?,100.108 °
30 kHz,213.957 m?,99.8376 °
31 kHz,221.988 m?,99.6009 °
32 kHz,230.294 m?,99.3161 °
33 kHz,238.55 m?,99.1001 °
34 kHz,246.907 m?,98.8545 °
35 kHz,255.264 m?,98.602 °
36 kHz,263.516 m?,98.3715 °
37 kHz,271.802 m?,98.1421 °
38 kHz,280.286 m?,97.9318 °
39 kHz,288.612 m?,97.7202 °
40 kHz,297.014 m?,97.5013 °
41 kHz,305.159 m?,97.3197 °
42 kHz,313.171 m?,97.112 °
43 kHz,321.448 m?,96.953 °
44 kHz,329.552 m?,96.7578 °
45 kHz,337.689 m?,96.5777 °
46 kHz,345.753 m?,96.3971 °
47 kHz,354.027 m?,96.2196 °
48 kHz,362.025 m?,96.0733 °
49 kHz,370.391 m?,95.8984 °
50 kHz,378.603 m?,95.7275 °
51 kHz,386.587 m?,95.5861 °
52 kHz,394.488 m?,95.4468 °
53 kHz,402.617 m?,95.2989 °
54 kHz,410.602 m?,95.181 °
55 kHz,418.612 m?,95.0468 °
56 kHz,426.559 m?,94.9011 °
57 kHz,434.614 m?,94.7704 °
58 kHz,442.653 m?,94.6442 °
59 kHz,450.635 m?,94.5123 °
60 kHz,458.567 m?,94.3916 °
61 kHz,466.481 m?,94.2765 °
62 kHz,474.417 m?,94.1748 °
63 kHz,482.232 m?,94.0646 °
64 kHz,490.198 m?,93.9626 °
65 kHz,497.983 m?,93.8539 °
66 kHz,505.789 m?,93.7507 °
67 kHz,513.658 m?,93.649 °
68 kHz,521.565 m?,93.5485 °
69 kHz,529.401 m?,93.4481 °
70 kHz,537.195 m?,93.3546 °
71 kHz,545.042 m?,93.2563 °
72 kHz,552.864 m?,93.1629 °
73 kHz,560.709 m?,93.0727 °
74 kHz,568.581 m?,92.9843 °
75 kHz,576.337 m?,92.8911 °
76 kHz,584.158 m?,92.7996 °
77 kHz,591.941 m?,92.7092 °
78 kHz,599.745 m?,92.6231 °
79 kHz,607.479 m?,92.5291 °
80 kHz,615.328 m?,92.4531 °
81 kHz,623.044 m?,92.372 °
82 kHz,630.756 m?,92.3089 °
83 kHz,638.395 m?,92.2367 °
84 kHz,646.091 m?,92.165 °
85 kHz,653.81 m?,92.0909 °
86 kHz,661.484 m?,92.0231 °
87 kHz,669.126 m?,91.9625 °
88 kHz,676.786 m?,91.894 °
89 kHz,684.464 m?,91.8296 °
90 kHz,692.178 m?,91.7654 °
91 kHz,699.664 m?,91.6981 °
92 kHz,707.389 m?,91.6374 °
93 kHz,714.995 m?,91.5749 °
94 kHz,722.647 m?,91.5176 °
95 kHz,730.26 m?,91.453 °
96 kHz,737.891 m?,91.3854 °
97 kHz,745.468 m?,91.3278 °
98 kHz,753.064 m?,91.2686 °
99 kHz,760.689 m?,91.2136 °
100 kHz,768.297 m?,91.1542 °
