Oil	Temp	Load	Pressung	Speed	Film	Cap
FVA3	80	20	508934359.4004964	0.1	3.048039498474498e-08	3.54284790297776e-14
FVA3	80	20	508934359.4004964	0.12	3.444070441003875e-08	3.135458618034581e-14
FVA3	80	20	508934359.4004964	0.144	3.891557576118423e-08	2.7749147055238496e-14
FVA3	80	20	508934359.4004964	0.17279999999999998	4.397186592917205e-08	2.455829453032058e-14
FVA3	80	20	508934359.4004964	0.20735999999999996	4.968511850264462e-08	2.1734355619558337e-14
FVA3	80	20	508934359.4004964	0.24883199999999994	5.614069242815777e-08	1.9235139215966586e-14
FVA3	80	20	508934359.4004964	0.29859839999999993	6.343503731696342e-08	1.702330573466223e-14
FVA3	80	20	508934359.4004964	0.3583180799999999	7.167713445205522e-08	1.5065809240165742e-14
FVA3	80	20	508934359.4004964	0.4299816959999999	8.099012502486743e-08	1.3333403723044117e-14
FVA3	80	20	508934359.4004964	0.5159780352	9.151314992832531e-08	1.1800206149412975e-14
FVA3	80	20	508934359.4004964	0.6191736422399999	1.0340342859370532e-07	1.044330975503179e-14
FVA3	80	20	508934359.4004964	0.743008370688	1.1683860793020332e-07	9.242441806405873e-15
FVA3	80	20	508934359.4004964	0.8916100448256	1.3201941646158135e-07	8.179660715669255e-15
FVA3	80	20	508934359.4004964	1.06993205379072	1.4917266331406659e-07	7.239087983988195e-15
FVA3	80	20	508934359.4004964	1.2839184645488642	1.6855462686193224e-07	6.4066709685811866e-15
FVA3	80	20	508934359.4004964	1.5407021574586368	1.9045488365887574e-07	5.669972928972204e-15
FVA3	80	20	508934359.4004964	1.8488425889503644	2.1520063486141016e-07	5.017987215659554e-15
FVA3	80	20	508934359.4004964	2.218611106740437	2.431615947832678e-07	4.440972825083162e-15
