Oil	Temp	Load	Pressung	Speed	Film	Cap
FVA3	40	20	828131220.0443854	0.001	4.069673798800479e-09	1.6307076672387435e-13
FVA3	60	20	828131220.0443854	0.001	2.084828991704526e-09	3.1832098907252347e-13
FVA3	80	20	828131220.0443854	0.001	1.3208946977549888e-09	5.024206909259281e-13
FVA3	40	30	947973602.2878757	0.001	3.9606045837782855e-09	2.1956767351546696e-13
FVA3	60	30	947973602.2878757	0.001	2.0289545720771473e-09	4.2860532519691463e-13
FVA3	80	30	947973602.2878757	0.001	1.2854940846017725e-09	6.764875424878276e-13
FVA3	40	40	1043379956.2090447	0.001	3.884996129028748e-09	2.7116384702259734e-13
FVA3	60	40	1043379956.2090447	0.001	1.990221566368858e-09	5.293232240153954e-13
FVA3	80	40	1043379956.2090447	0.001	1.260953835942642e-09	8.35455245058832e-13
FVA3	40	20	828131220.0443854	0.0012	4.598445407938978e-09	1.4431938792634313e-13
FVA3	60	20	828131220.0443854	0.0012	2.355710255221795e-09	2.817175097045086e-13
FVA3	80	20	828131220.0443854	0.0012	1.492518186359968e-09	4.4464773210233943e-13
FVA3	40	30	947973602.2878757	0.0012	4.475204859491545e-09	1.943197599838358e-13
FVA3	60	30	947973602.2878757	0.0012	2.2925760874581514e-09	3.7932033703582216e-13
FVA3	80	30	947973602.2878757	0.0012	1.4525179811738394e-09	5.986987737474454e-13
FVA3	40	40	1043379956.2090447	0.0012	4.3897726187928316e-09	2.3998293021041126e-13
FVA3	60	40	1043379956.2090447	0.0012	2.2488105128591616e-09	4.684567641388072e-13
FVA3	80	40	1043379956.2090447	0.0012	1.4247892246849236e-09	7.393869056304084e-13
FVA3	40	20	828131220.0443854	0.0014399999999999999	5.195920168350519e-09	1.2772421538130276e-13
FVA3	60	20	828131220.0443854	0.0014399999999999999	2.661787047588996e-09	2.493230355477067e-13
FVA3	80	20	828131220.0443854	0.0014399999999999999	1.686440668132991e-09	3.93518040229164e-13
FVA3	40	30	947973602.2878757	0.0014399999999999999	5.056667008982558e-09	1.7197508410779598e-13
FVA3	60	30	947973602.2878757	0.0014399999999999999	2.5904498745894432e-09	3.3570259077594295e-13
FVA3	80	30	947973602.2878757	0.0014399999999999999	1.6412432471728673e-09	5.298548741466949e-13
FVA3	40	40	1043379956.2090447	0.0014399999999999999	4.9601345804997805e-09	2.1238748241971838e-13
FVA3	60	40	1043379956.2090447	0.0014399999999999999	2.5409978507933704e-09	4.145892904578457e-13
FVA3	80	40	1043379956.2090447	0.0014399999999999999	1.6099117008995775e-09	6.543653887518687e-13
FVA3	40	20	828131220.0443854	0.0017279999999999997	5.871024661782815e-09	1.1303730863309505e-13
FVA3	60	20	828131220.0443854	0.0017279999999999997	3.00763231429133e-09	2.2065357641391985e-13
FVA3	80	20	828131220.0443854	0.0017279999999999997	1.9055594451878317e-09	3.4826771128152386e-13
FVA3	40	30	947973602.2878757	0.0017279999999999997	5.7136783773151656e-09	1.5219980488007863e-13
FVA3	60	30	947973602.2878757	0.0017279999999999997	2.9270263218179694e-09	2.9710041474269117e-13
FVA3	80	30	947973602.2878757	0.0017279999999999997	1.8544895356225923e-09	4.689272802409974e-13
FVA3	40	40	1043379956.2090447	0.0017279999999999997	5.604603516670398e-09	1.8796521339678702e-13
FVA3	60	40	1043379956.2090447	0.0017279999999999997	2.8711490100281732e-09	3.6691599507229933e-13
FVA3	80	40	1043379956.2090447	0.0017279999999999997	1.8190870900687243e-09	5.79120429014498e-13
FVA3	40	20	828131220.0443854	0.0020735999999999997	6.6338452983207435e-09	1.0003923770342491e-13
FVA3	60	20	828131220.0443854	0.0020735999999999997	3.3984131623763837e-09	1.952807957648076e-13
FVA3	80	20	828131220.0443854	0.0020735999999999997	2.153148265313421e-09	3.082206819556171e-13
FVA3	40	30	947973602.2878757	0.0020735999999999997	6.4560550539331506e-09	1.346984694074291e-13
FVA3	60	30	947973602.2878757	0.0020735999999999997	3.3073340552374434e-09	2.6293707247315237e-13
FVA3	80	30	947973602.2878757	0.0020735999999999997	2.095442856296769e-09	4.1500570228469724e-13
FVA3	40	40	1043379956.2090447	0.0020735999999999997	6.332808126328941e-09	1.6635124181885162e-13
FVA3	60	40	1043379956.2090447	0.0020735999999999997	3.244196619533506e-09	3.2472461430738327e-13
FVA3	80	40	1043379956.2090447	0.0020735999999999997	2.0554405806266706e-09	5.125278278266493e-13
FVA3	40	20	828131220.0443854	0.0024883199999999996	7.49577901256655e-09	8.853580469406408e-14
FVA3	60	20	828131220.0443854	0.0024883199999999996	3.839968059704241e-09	1.7282561114260186e-13
FVA3	80	20	828131220.0443854	0.0024883199999999996	2.432906233457974e-09	2.7277862893351017e-13
FVA3	40	30	947973602.2878757	0.0024883199999999996	7.2948885301103265e-09	1.1920959869166644e-13
FVA3	60	30	947973602.2878757	0.0024883199999999996	3.737055068961424e-09	2.3270214597521877e-13
FVA3	80	30	947973602.2878757	0.0024883199999999996	2.367703176352002e-09	3.672845240317436e-13
FVA3	40	40	1043379956.2090447	0.0024883199999999996	7.155628162743484e-09	1.4722264377854863e-13
FVA3	60	40	1043379956.2090447	0.0024883199999999996	3.665714203418984e-09	2.873847871262769e-13
FVA3	80	40	1043379956.2090447	0.0024883199999999996	2.3225034158904903e-09	4.535926573057006e-13
FVA3	40	20	828131220.0443854	0.0029859839999999993	8.469703539733724e-09	7.835514236987339e-14
FVA3	60	20	828131220.0443854	0.0029859839999999993	4.338894064675138e-09	1.5295253048224514e-13
FVA3	80	20	828131220.0443854	0.0029859839999999993	2.7490130782689363e-09	2.414120296235026e-13
FVA3	40	30	947973602.2878757	0.0029859839999999993	8.24271141156322e-09	1.0550178099829533e-13
FVA3	60	30	947973602.2878757	0.0029859839999999993	4.222609617052317e-09	2.0594390981895927e-13
FVA3	80	30	947973602.2878757	0.0029859839999999993	2.6753382056978436e-09	3.25050766412562e-13
FVA3	40	40	1043379956.2090447	0.0029859839999999993	8.085356982563358e-09	1.3029362813382486e-13
FVA3	60	40	1043379956.2090447	0.0029859839999999993	4.141999452264978e-09	2.543386372104088e-13
FVA3	80	40	1043379956.2090447	0.0029859839999999993	2.6242656526604365e-09	4.0143439554122256e-13
FVA3	40	20	828131220.0443854	0.0035831807999999995	9.570169815667458e-09	6.934514637347338e-14
FVA3	60	20	828131220.0443854	0.0035831807999999995	4.9026453896918965e-09	1.3536463968652704e-13
FVA3	80	20	828131220.0443854	0.0035831807999999995	3.106191599399423e-09	2.136522508189035e-13
FVA3	40	30	947973602.2878757	0.0035831807999999995	9.313684662058437e-09	9.33702144455786e-14
FVA3	60	30	947973602.2878757	0.0035831807999999995	4.771252135435625e-09	1.822625821252044e-13
FVA3	80	30	947973602.2878757	0.0035831807999999995	3.0229441706853854e-09	2.8767343525822557e-13
FVA3	40	40	1043379956.2090447	0.0035831807999999995	9.135885214921777e-09	1.1531126664055337e-13
FVA3	60	40	1043379956.2090447	0.0035831807999999995	4.6801683138750865e-09	2.2509243799889787e-13
FVA3	80	40	1043379956.2090447	0.0035831807999999995	2.965235774730946e-09	3.5527377114250624e-13
FVA3	40	20	828131220.0443854	0.004299816959999999	1.0813619375347334e-08	6.137120270752458e-14
FVA3	60	20	828131220.0443854	0.004299816959999999	5.5396447709462186e-09	1.1979916657600058e-13
FVA3	80	20	828131220.0443854	0.004299816959999999	3.5097782285761964e-09	1.8908454707569254e-13
FVA3	40	30	947973602.2878757	0.004299816959999999	1.0523809175530936e-08	8.263364715856503e-14
FVA3	60	30	947973602.2878757	0.004299816959999999	5.3911796269223924e-09	1.6130435161762993e-13
FVA3	80	30	947973602.2878757	0.004299816959999999	3.4157144841046796e-09	2.545940939214174e-13
FVA3	40	40	1043379956.2090447	0.004299816959999999	1.0322908294614965e-08	1.0205171507383113e-13
FVA3	60	40	1043379956.2090447	0.004299816959999999	5.28826130921446e-09	1.9920923615853262e-13
FVA3	80	40	1043379956.2090447	0.004299816959999999	3.350508051968908e-09	3.144211205211902e-13
FVA3	40	20	828131220.0443854	0.0051597803519999996	1.221862999791836e-08	5.4314176532026844e-14
FVA3	60	20	828131220.0443854	0.0051597803519999996	6.259409308450989e-09	1.0602355493679774e-13
FVA3	80	20	828131220.0443854	0.0051597803519999996	3.965802758647998e-09	1.6734186420120983e-13
FVA3	40	30	947973602.2878757	0.0051597803519999996	1.1891164837710089e-08	7.313166927239044e-14
FVA3	60	30	947973602.2878757	0.0051597803519999996	6.091654128668129e-09	1.4275609149940776e-13
FVA3	80	30	947973602.2878757	0.0051597803519999996	3.859517337456235e-09	2.2531851994427104e-13
FVA3	40	40	1043379956.2090447	0.0051597803519999996	1.1664160960010793e-08	9.031686887955629e-14
FVA3	60	40	1043379956.2090447	0.0051597803519999996	5.975363661949067e-09	1.7630232327511748e-13
FVA3	80	40	1043379956.2090447	0.0051597803519999996	3.785838651338639e-09	2.7826608396077224e-13
FVA3	40	20	828131220.0443854	0.006191736422399999	1.3806193268314028e-08	4.806863222823035e-14
FVA3	60	20	828131220.0443854	0.006191736422399999	7.072692656433738e-09	9.383199001058897e-14
FVA3	80	20	828131220.0443854	0.006191736422399999	4.481078431807425e-09	1.4809935527479223e-13
FVA3	40	30	947973602.2878757	0.006191736422399999	1.3436180648957765e-08	6.472231632598275e-14
FVA3	60	30	947973602.2878757	0.006191736422399999	6.883141091795353e-09	1.263406811770099e-13
FVA3	80	30	947973602.2878757	0.006191736422399999	4.360983374765217e-09	1.9940932111939325e-13
FVA3	40	40	1043379956.2090447	0.006191736422399999	1.317968221920687e-08	7.993140338999238e-14
FVA3	60	40	1043379956.2090447	0.006191736422399999	6.7517410363833035e-09	1.5602945822987985e-13
FVA3	80	40	1043379956.2090447	0.006191736422399999	4.277731637011617e-09	2.462684865269573e-13
FVA3	40	20	828131220.0443854	0.0074300837068799995	1.5600028202385466e-08	4.2541258135993355e-14
FVA3	60	20	828131220.0443854	0.0074300837068799995	7.991645688489237e-09	8.304232351571054e-14
FVA3	80	20	828131220.0443854	0.0074300837068799995	5.0633037329509775e-09	1.3106952726686877e-13
FVA3	40	30	947973602.2878757	0.0074300837068799995	1.518193994409317e-08	5.727994823963425e-14
FVA3	60	30	947973602.2878757	0.0074300837068799995	7.777465740642818e-09	1.1181286593530108e-13
FVA3	80	30	947973602.2878757	0.0074300837068799995	4.927604757830495e-09	1.7647940062420216e-13
FVA3	40	40	1043379956.2090447	0.0074300837068799995	1.4892114743169399e-08	7.074015438260923e-14
FVA3	60	40	1043379956.2090447	0.0074300837068799995	7.628992911790893e-09	1.3808775394025552e-13
FVA3	80	40	1043379956.2090447	0.0074300837068799995	4.833536144447077e-09	2.1795026757492966e-13
FVA3	40	20	828131220.0443854	0.008916100448256	1.7626935621258365e-08	3.764947242934786e-14
FVA3	60	20	828131220.0443854	0.008916100448256	9.029998037911626e-09	7.349335225768644e-14
FVA3	80	20	828131220.0443854	0.008916100448256	5.721177409022655e-09	1.159979457444978e-13
FVA3	40	30	947973602.2878757	0.008916100448256	1.7154525269346602e-08	5.0693372187268664e-14
FVA3	60	30	947973602.2878757	0.008916100448256	8.78798974772943e-09	9.895559270532582e-14
FVA3	80	30	947973602.2878757	0.008916100448256	5.567847102994507e-09	1.5618617359431295e-13
FVA3	40	40	1043379956.2090447	0.008916100448256	1.6827043158941163e-08	6.26057998463958e-14
FVA3	60	40	1043379956.2090447	0.008916100448256	8.62022588463085e-09	1.2220915207031698e-13
FVA3	80	40	1043379956.2090447	0.008916100448256	5.461556180274445e-09	1.928883382762158e-13
FVA3	40	20	828131220.0443854	0.0106993205379072	1.991719856945356e-08	3.3320189301334264e-14
FVA3	60	20	828131220.0443854	0.0106993205379072	1.0203263225512503e-08	6.504240967017904e-14
FVA3	80	20	828131220.0443854	0.0106993205379072	6.464528432789575e-09	1.0265943348942475e-13
FVA3	40	30	947973602.2878757	0.0106993205379072	1.9383408069081817e-08	4.486418131814557e-14
FVA3	60	30	947973602.2878757	0.0106993205379072	9.929810864048179e-09	8.75767671792659e-14
FVA3	80	30	947973602.2878757	0.0106993205379072	6.291275961827201e-09	1.3822644872858592e-13
FVA3	40	40	1043379956.2090447	0.0106993205379072	1.9013376297193878e-08	5.5406808320035853e-14
FVA3	60	40	1043379956.2090447	0.0106993205379072	9.740249487873223e-09	1.0815641810067833e-13
FVA3	80	40	1043379956.2090447	0.0106993205379072	6.171174688444618e-09	1.707082604528978e-13
FVA3	40	20	828131220.0443854	0.01283918464548864	2.2505034759225118e-08	2.9488727024268187e-14
FVA3	60	20	828131220.0443854	0.01283918464548864	1.1528970439640607e-08	5.756323430274528e-14
FVA3	80	20	828131220.0443854	0.01283918464548864	7.304462852775582e-09	9.085470623405003e-14
FVA3	40	30	947973602.2878757	0.01283918464548864	2.1901889004408265e-08	3.970528450764503e-14
FVA3	60	30	947973602.2878757	0.01283918464548864	1.12199884872698e-08	7.750638382219057e-14
FVA3	80	30	947973602.2878757	0.01283918464548864	7.108699735410786e-09	1.2233189845437188e-13
FVA3	40	40	1043379956.2090447	0.01283918464548864	2.148377910510106e-08	4.903562314905763e-14
FVA3	60	40	1043379956.2090447	0.01283918464548864	1.1005797453076535e-08	9.571959692215211e-14
FVA3	80	40	1043379956.2090447	0.01283918464548864	6.9729937362625156e-09	1.5107865227769276e-13
FVA3	40	20	828131220.0443854	0.015407021574586368	2.5429107800868116e-08	2.6097841571295735e-14
FVA3	60	20	828131220.0443854	0.015407021574586368	1.3026926431316351e-08	5.0944083409504315e-14
FVA3	80	20	828131220.0443854	0.015407021574586368	8.253529723366773e-09	8.040739525146377e-14
FVA3	40	30	947973602.2878757	0.015407021574586368	2.474759548227075e-08	3.5139605170849486e-14
FVA3	60	30	947973602.2878757	0.015407021574586368	1.267779853796177e-08	6.859398590149098e-14
FVA3	80	30	947973602.2878757	0.015407021574586368	8.03233115743864e-09	1.0826504997488156e-13
FVA3	40	40	1043379956.2090447	0.015407021574586368	2.4275160677532905e-08	4.339705553382145e-14
FVA3	60	40	1043379956.2090447	0.015407021574586368	1.2435777720986699e-08	8.471287599789523e-14
FVA3	80	40	1043379956.2090447	0.015407021574586368	7.878992914752687e-09	1.3370623725816634e-13
FVA3	40	20	828131220.0443854	0.01848842588950364	2.8733104857041174e-08	2.3096871361043583e-14
FVA3	60	20	828131220.0443854	0.01848842588950364	1.4719511437329923e-08	4.508606345475552e-14
FVA3	80	20	828131220.0443854	0.01848842588950364	9.325908594170479e-09	7.11614123155028e-14
FVA3	40	30	947973602.2878757	0.01848842588950364	2.796304382835834e-08	3.1098929698525116e-14
FVA3	60	30	947973602.2878757	0.01848842588950364	1.432502145180504e-08	6.070641758552584e-14
FVA3	80	30	947973602.2878757	0.01848842588950364	9.075969758769293e-09	9.581573730285474e-14
FVA3	40	40	1043379956.2090447	0.01848842588950364	2.7429225698011472e-08	3.8406862359651204e-14
FVA3	60	40	1043379956.2090447	0.01848842588950364	1.4051554935945054e-08	7.497180922806405e-14
FVA3	80	40	1043379956.2090447	0.01848842588950364	8.902708319941324e-09	1.1833146253434455e-13
FVA3	40	20	828131220.0443854	0.02218611106740437	3.246638935155793e-08	2.0440980347406908e-14
FVA3	60	20	828131220.0443854	0.02218611106740437	1.663201355254702e-08	3.9901652592438287e-14
FVA3	80	20	828131220.0443854	0.02218611106740437	1.0537621359815619e-08	6.297861766197192e-14
FVA3	40	30	947973602.2878757	0.02218611106740437	3.159627450298626e-08	2.7522888310541236e-14
FVA3	60	30	947973602.2878757	0.02218611106740437	1.61862675905612e-08	5.3725834526669996e-14
FVA3	80	30	947973602.2878757	0.02218611106740437	1.0255208039550256e-08	8.479796127207868e-14
FVA3	40	40	1043379956.2090447	0.02218611106740437	3.0993097528239133e-08	3.3990487561156877e-14
FVA3	60	40	1043379956.2090447	0.02218611106740437	1.5877269644717953e-08	6.635086004008269e-14
