Ladekurvenmessung
Zeit: 2018_05_23 14.54.13
Info: T40, F27N, 0.857
Ladewiderstand[Ohm]: 10000000
Strkapazitt[pF]: 100.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 3000.000000
Verzgerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18	Kurve_19	Kurve_20	Kurve_21	Kurve_22	Kurve_23	Kurve_24	Kurve_25	Kurve_26	Kurve_27	Kurve_28	Kurve_29	Kurve_30	Kurve_31	Kurve_32	Kurve_33	Kurve_34	Kurve_35	Kurve_36	Kurve_37	Kurve_38	Kurve_39	Kurve_40	Kurve_41	Kurve_42	Kurve_43	Kurve_44	Kurve_45	Kurve_46	Kurve_47	Kurve_48	Kurve_49	Kurve_50	Kurve_51	Kurve_52	Kurve_53	Kurve_54	Kurve_55	Kurve_56	Kurve_57	Kurve_58	Kurve_59	Kurve_60	Kurve_61	Kurve_62	Kurve_63	Kurve_64	Kurve_65	Kurve_66	Kurve_67	Kurve_68	Kurve_69	Kurve_70	Kurve_71	Kurve_72	Kurve_73	Kurve_74	Kurve_75	Kurve_76	Kurve_77	Kurve_78	Kurve_79	Kurve_80	Kurve_81	Kurve_82	Kurve_83	Kurve_84	Kurve_85	Kurve_86	Kurve_87	Kurve_88	Kurve_89	Kurve_90	Kurve_91	Kurve_92	Kurve_93	Kurve_94	Kurve_95	Kurve_96	Kurve_97	Kurve_98	Kurve_99	Kurve_100
10	0.010993	0.015266	0.017896	0.011322	0.015102	0.001789	0.00672	0.00294	0.010664	0.013952	0.017074	0.017403	0.002118	0.004912	0.016088	0.0105	0.007049	0.014938	0.012472	0.018554	-0.002648	0.009678	0.010336	0.018389	0.010993	0.017732	0.012965	-0.002648	0.009678	0.01691	0.01313	0.018225	0.007049	0.010993	0.00935	0.004912	0.01691	0.017567	0.011322	-0.001334	0.013952	0.011486	0.012308	0.005076	0.009021	0.010336	0.018554	0.00787	0.01313	-0.012181	0.007542	0.011486	0.012472	0.011979	0.005076	0.012308	0.008692	0.008857	0.004255	0.005734	0.010007	0.003761	0.008692	0.000474	0.006556	-0.003142	0.003926	0.002611	0.001296	0.00146	-1.9e-05	-0.020399	0.00146	-0.008894	-1.9e-05	-0.000841	-1.9e-05	-0.001662	0.000146	-0.001662	-0.011688	0.00146	-0.001334	-1.9e-05	0.000803	-0.000183	-0.001498	-0.005771	-0.005936	-0.006593	-0.005114	-0.00988	-0.008894	-0.00873	-0.010045	-0.009716	-0.011359	-0.010209	-0.011524	-0.0061
11	0.011322	0.01428	0.01428	0.010993	0.014609	0.003761	0.00672	0.004419	0.012144	0.012637	0.015266	0.014116	0.003268	0.006227	0.01313	0.012144	0.008692	0.016581	0.012308	0.018061	-0.001498	0.00787	0.00935	0.017732	0.010336	0.01691	0.011651	-0.003306	0.008528	0.015595	0.013294	0.015266	0.005076	0.010993	0.012637	0.003597	0.018718	0.017403	0.011486	-0.001662	0.01313	0.009185	0.014116	0.005076	0.00935	0.010007	0.016088	0.00672	0.011651	-0.013989	0.005241	0.008199	0.011815	0.012801	0.008857	0.011158	0.009843	0.007049	0.003433	0.005241	0.010829	0.004419	0.006556	0.00031	0.004255	-0.002155	0.003761	0.001789	0.001132	0.001296	0.002118	-0.022536	0.001954	-0.010538	0.000803	0.002447	0.003104	-0.000841	-0.001498	-0.000347	-0.015961	-0.001005	0.00146	-0.000183	0.000803	-0.001991	-1.9e-05	-0.005936	-0.007086	-0.005278	-0.007579	-0.008237	-0.006429	-0.006922	-0.009223	-0.011852	-0.011852	-0.011359	-0.010209	-0.007086
12	0.010171	0.013294	0.01428	0.011815	0.01428	-0.000347	0.005898	0.004583	0.010993	0.015595	0.017074	0.015102	0.002118	0.006227	0.013294	0.010336	0.007542	0.017239	0.01313	0.017896	-0.000841	0.008857	0.008363	0.016253	0.010007	0.017732	0.015431	-0.001991	0.00935	0.017239	0.015431	0.016746	0.005076	0.011815	0.010336	0.001625	0.018882	0.018882	0.011486	-0.002484	0.017732	0.010007	0.008035	0.005076	0.008692	0.010171	0.016253	0.009021	0.014609	-0.013825	0.008199	0.0105	0.011651	0.011486	0.007213	0.011158	0.01313	0.007377	0.00409	0.003268	0.012801	0.00409	0.009021	0.00031	0.004583	-0.000347	0.003597	0.003761	-0.001169	0.000639	0.000803	-0.017441	0.00146	-0.009058	-0.000676	0.000803	0.000967	-0.001991	-0.000183	-0.001169	-0.015797	-0.000676	-0.002155	0.000639	-0.000676	-0.001827	-0.000676	-0.005607	-0.006922	-0.006757	-0.005936	-0.007744	-0.007744	-0.009223	-0.008072	-0.011031	-0.011359	-0.011359	-0.011359	-0.007415
13	0.010007	0.012472	0.017074	0.010993	0.013952	0.003597	0.005569	0.005734	0.011486	0.012472	0.016253	0.014938	0.00294	0.004748	0.014116	0.011486	0.008035	0.014445	0.014445	0.016746	-0.00347	0.008692	0.008363	0.017239	0.010993	0.01576	0.014445	-0.002648	0.010829	0.01428	0.01428	0.01691	0.009021	0.013459	0.00935	0.002447	0.017074	0.017403	0.011651	-0.00347	0.015595	0.011322	0.013459	0.005241	0.009185	0.008692	0.013952	0.009021	0.013623	-0.014975	0.00672	0.011158	0.011158	0.012144	0.00787	0.012308	0.00935	0.00787	0.004255	0.004255	0.0105	0.003433	0.008199	-1.9e-05	0.00409	-0.004785	0.001132	0.00409	0.000474	0.000803	0.003597	-0.018591	0.001625	-0.00988	0.000967	-0.001498	0.000639	-0.000512	-0.000676	-0.001169	-0.015468	0.000803	0.000639	0.000146	-0.000183	-0.002648	-0.001827	-0.006757	-0.003799	-0.006593	-0.008072	-0.008237	-0.007579	-0.00873	-0.009223	-0.008894	-0.010373	-0.010866	-0.010538	-0.006922
14	0.00935	0.01428	0.01691	0.011158	0.013623	0.003104	0.006227	0.00409	0.010664	0.013459	0.014938	0.014445	0.002118	0.005076	0.014609	0.011486	0.010171	0.015924	0.013294	0.018389	-0.001662	0.009843	0.007706	0.018225	0.011486	0.017732	0.014938	-0.002484	0.008363	0.01576	0.013952	0.017896	0.006556	0.013952	0.010336	0.003926	0.017567	0.017403	0.011158	-0.007086	0.014773	0.012308	0.013952	0.003926	0.008363	0.012472	0.01691	0.009185	0.014773	-0.012017	0.010171	0.010993	0.014609	0.014773	0.008363	0.010829	0.00935	0.007706	0.00409	0.005569	0.009843	0.003433	0.00787	-0.001334	0.003597	-0.000183	0.003268	0.003926	-0.002977	0.001296	0.000803	-0.01892	0.001954	-0.009716	-0.000183	-0.000841	0.000639	-0.001005	-0.001334	-0.002155	-0.014153	-0.000183	-0.000676	0.001132	-0.001662	-0.001991	-0.003142	-0.005607	-0.007086	-0.006922	-0.00725	-0.007415	-0.009058	-0.007086	-0.010373	-0.010702	-0.010045	-0.011688	-0.010538	-0.007086
15	0.010993	0.012637	0.017239	0.012144	0.01313	0.003597	0.006062	0.005405	0.011979	0.012144	0.014445	0.016088	0.003926	0.004255	0.016417	0.012965	0.008363	0.014609	0.015431	0.016088	-0.001169	0.008857	0.008692	0.01691	0.011322	0.016746	0.010664	-0.001827	0.010993	0.015924	0.015266	0.01691	0.009514	0.011322	0.009514	0.002447	0.018225	0.017732	0.010829	-0.00988	0.014609	0.009021	0.013294	0.004583	0.009021	0.011158	0.015595	0.008199	0.014445	-0.016454	0.007706	0.011979	0.010007	0.008363	0.008528	0.013623	0.009678	0.006227	0.003926	0.004419	0.009185	0.004748	0.006062	-0.004621	0.005405	-0.001662	0.003433	0.002447	-0.003142	0.001296	0.000967	-0.017934	0.002775	-0.010866	0.000474	-0.001334	0.000967	-0.001827	0.00031	-0.000512	-0.015468	0.000639	0.00031	-0.001334	-1.9e-05	-0.004128	-0.001334	-0.006757	-0.007086	-0.006757	-0.006593	-0.007415	-0.008565	-0.009551	-0.009387	-0.009716	-0.012346	-0.011359	-0.011195	-0.006922
16	0.012637	0.014609	0.017567	0.011651	0.014116	0.002611	0.008363	0.005076	0.009843	0.013459	0.01313	0.016253	0.003926	0.006227	0.013623	0.012965	0.006884	0.014773	0.013623	0.015595	-0.001991	0.006884	0.009021	0.014773	0.011322	0.016581	0.012144	-0.002813	0.008363	0.016253	0.015595	0.018718	0.007049	0.011486	0.010007	0.00409	0.017732	0.018061	0.011158	-0.019249	0.014609	0.008528	0.013952	0.005405	0.009021	0.00935	0.014116	0.006884	0.012801	-0.013332	0.008528	0.011979	0.010171	0.011815	0.00672	0.0105	0.009678	0.008692	0.003761	0.004748	0.010336	0.003104	0.00935	-0.004128	0.004255	-0.001498	0.00409	0.004748	0.000474	0.000803	0.001954	-0.017605	0.001132	-0.008072	-1.9e-05	-0.000841	0.00146	-1.9e-05	0.001132	-0.000183	-0.01366	0.002775	-0.001334	-0.001005	-0.001005	-0.001498	-0.003306	-0.0061	-0.007086	-0.006593	-0.006593	-0.007086	-0.006264	-0.007908	-0.009058	-0.00988	-0.010866	-0.010209	-0.009223	-0.007579
17	0.009021	0.014609	0.01691	0.012801	0.015102	-0.000512	0.006227	0.003926	0.011486	0.012308	0.015266	0.015595	0.003597	0.005076	0.015924	0.009021	0.007049	0.014773	0.016088	0.016417	0.00031	0.007377	0.005898	0.017567	0.010171	0.017567	0.014938	-0.001334	0.010993	0.01691	0.014609	0.017896	0.007706	0.011158	0.0105	0.003104	0.016253	0.015266	0.009843	-0.020399	0.015595	0.011158	0.014116	0.006062	0.010664	0.009678	0.012965	0.010829	0.015431	-0.014647	0.006227	0.013952	0.010336	0.012308	0.009021	0.011979	0.010171	0.006884	0.003597	0.003761	0.009514	0.004912	0.006556	-0.007579	0.003433	-0.001662	0.003597	0.004255	-0.001498	0.00031	0.00294	-0.017605	0.001625	-0.010373	-0.000183	-0.001005	0.000803	-0.000676	-0.000676	-0.002484	-0.013989	-0.000841	-0.000512	-0.000512	0.001132	-0.003635	-0.003635	-0.004949	-0.007086	-0.007415	-0.007908	-0.007415	-0.009058	-0.00873	-0.010045	-0.011195	-0.011688	-0.010538	-0.011852	-0.009716
18	0.010664	0.013623	0.016581	0.009021	0.012472	0.001625	0.00672	0.004748	0.010993	0.011979	0.015595	0.013787	0.003761	0.00672	0.013623	0.0105	0.008035	0.014938	0.013952	0.015924	-0.002155	0.009514	0.00935	0.015595	0.013952	0.015924	0.01313	-0.001498	0.010336	0.016417	0.014773	0.01954	0.007213	0.01428	0.008692	0.002611	0.016746	0.017074	0.009678	-0.029439	0.016253	0.009514	0.014445	0.005076	0.0105	0.011651	0.012965	0.007706	0.013294	-0.013825	0.006062	0.009843	0.011322	0.01313	0.007542	0.009843	0.010664	0.006884	0.004255	0.004583	0.010993	0.00409	0.008857	-0.005771	0.005241	-0.003963	0.00409	0.005569	0.001954	0.003104	0.000967	-0.018591	0.001132	-0.009716	0.001132	-0.000347	0.001132	-0.001005	0.001132	-0.001334	-0.014811	0.00146	-0.000841	-0.001169	-0.003306	-0.005278	-0.004128	-0.005936	-0.013167	-0.006593	-0.006757	-0.007744	-0.00873	-0.008565	-0.010045	-0.009058	-0.00988	-0.013003	-0.011524	-0.008401
19	0.010829	0.014938	0.017896	0.011651	0.012637	0.000474	0.005734	0.003926	0.010664	0.013294	0.017239	0.01691	0.003268	0.005405	0.015266	0.010664	0.00787	0.015431	0.014773	0.015431	-0.000183	0.008363	0.007213	0.016088	0.0105	0.017403	0.013623	-0.002813	0.012308	0.016253	0.014609	0.016581	0.008857	0.007049	0.009021	-0.000183	0.016253	0.01576	0.011322	-0.03552	0.014773	0.010993	0.011651	0.004583	0.009021	0.00935	0.013294	0.007049	0.013623	-0.014647	0.008363	0.011979	0.010171	0.012472	0.00787	0.011979	0.010664	0.009514	0.00409	0.006556	0.007213	0.003926	0.007706	-0.006264	0.003761	-0.001991	0.003104	0.003268	-0.000512	0.002775	0.003104	-0.01629	0.002282	-0.010373	0.002282	-0.000183	-0.000183	-0.001334	-0.000841	-1.9e-05	-0.014811	0.00031	-0.001005	0.000146	-0.005278	-0.003635	-0.002484	-0.004949	-0.006593	-0.00725	-0.005771	-0.005771	-0.008565	-0.011195	-0.010209	-0.009387	-0.011031	-0.011688	-0.009551	-0.008565
