Frequency,Z,?°
0.02 kHz,8.0756 m?,0.6293 °
0.04 kHz,8.1258 m?,1.1349 °
0.06 kHz,8.3709 m?,1.3746 °
0.08 kHz,8.1008 m?,2.2386 °
0.1 kHz,8.1288 m?,1.5854 °
0.12 kHz,8.0502 m?,1.8953 °
0.14 kHz,7.7068 m?,5.8145 °
0.16 kHz,7.6701 m?,7.323 °
0.18 kHz,7.8586 m?,5.2689 °
0.2 kHz,8.0753 m?,3.5558 °
0.22 kHz,8.0681 m?,4.3291 °
0.24 kHz,8.1014 m?,5.3651 °
0.26 kHz,8.114 m?,5.7228 °
0.28 kHz,8.0845 m?,5.3612 °
0.3 kHz,8.0552 m?,5.1066 °
0.32 kHz,8.085 m?,5.2144 °
0.34 kHz,8.0824 m?,5.5165 °
0.36 kHz,8.0793 m?,5.8323 °
0.38 kHz,8.0763 m?,6.1258 °
0.4 kHz,8.064 m?,6.494 °
0.42 kHz,8.0641 m?,6.7429 °
0.44 kHz,8.0748 m?,7.0198 °
0.46 kHz,8.0722 m?,7.362 °
0.48 kHz,8.0755 m?,7.7877 °
0.5 kHz,8.0734 m?,8.1877 °
0.52 kHz,8.0824 m?,8.4281 °
0.54 kHz,8.0878 m?,8.7171 °
0.56 kHz,8.09 m?,9.0647 °
0.58 kHz,8.0896 m?,9.431 °
0.6 kHz,8.0952 m?,10.0327 °
0.62 kHz,8.0695 m?,10.1802 °
0.64 kHz,8.0607 m?,10.4629 °
0.66 kHz,8.0551 m?,10.7656 °
0.68 kHz,8.0569 m?,11.1085 °
0.7 kHz,8.0641 m?,11.4798 °
0.72 kHz,8.0641 m?,11.8366 °
0.74 kHz,8.0859 m?,12.1494 °
0.76 kHz,8.0945 m?,12.5443 °
0.78 kHz,8.1228 m?,12.7948 °
0.8 kHz,8.1508 m?,13.1877 °
0.82 kHz,8.1508 m?,13.5311 °
0.84 kHz,8.157 m?,13.8929 °
0.86 kHz,8.1554 m?,14.1957 °
0.88 kHz,8.1685 m?,14.5448 °
0.9 kHz,8.1767 m?,14.8496 °
0.92 kHz,8.1904 m?,15.0951 °
0.94 kHz,8.1983 m?,15.4327 °
0.96 kHz,8.2026 m?,15.717 °
0.98 kHz,8.2238 m?,16.0301 °
