Frequency,Z,?°
1 kHz,8.2246 m?,16.4327 °
2 kHz,9.1142 m?,30.6932 °
3 kHz,10.4917 m?,42.14 °
4 kHz,11.9905 m?,50.8538 °
5 kHz,14.1974 m?,57.71 °
6 kHz,16.2594 m?,62.1954 °
7 kHz,18.3205 m?,65.6781 °
8 kHz,20.4679 m?,68.8555 °
9 kHz,22.717 m?,70.9967 °
10 kHz,25.0615 m?,72.8372 °
11 kHz,26.8305 m?,74.9125 °
12 kHz,28.9353 m?,76.0533 °
13 kHz,31.4816 m?,77.6067 °
14 kHz,34.3963 m?,78.1163 °
15 kHz,36.777 m?,79.5867 °
16 kHz,38.8135 m?,80.099 °
17 kHz,41.3666 m?,79.2796 °
18 kHz,43.5303 m?,80.6281 °
19 kHz,46.1373 m?,81.0755 °
20 kHz,48.4468 m?,82.0083 °
21 kHz,50.6606 m?,82.7553 °
22 kHz,53.1674 m?,83.4549 °
23 kHz,55.0453 m?,84.2052 °
24 kHz,58.2776 m?,84.158 °
25 kHz,60.1881 m?,84.8181 °
26 kHz,63.2608 m?,84.7951 °
27 kHz,65.1476 m?,85.2051 °
28 kHz,68.0009 m?,85.4825 °
29 kHz,69.9139 m?,85.4059 °
30 kHz,72.8212 m?,85.7109 °
31 kHz,75.4509 m?,85.4035 °
32 kHz,77.8423 m?,85.6975 °
33 kHz,79.9423 m?,86.2881 °
34 kHz,82.4291 m?,86.4823 °
35 kHz,84.7391 m?,86.7155 °
36 kHz,87.1638 m?,86.9725 °
37 kHz,89.9693 m?,86.9489 °
38 kHz,92.4923 m?,87.1727 °
39 kHz,94.8794 m?,87.4663 °
40 kHz,97.8224 m?,87.2268 °
41 kHz,100.449 m?,87.7519 °
42 kHz,104.557 m?,88.5192 °
43 kHz,107.471 m?,88.6084 °
44 kHz,104.61 m?,85.5619 °
45 kHz,107.179 m?,86.1253 °
46 kHz,109.919 m?,86.6005 °
47 kHz,113.373 m?,86.9422 °
48 kHz,115.964 m?,87.2467 °
49 kHz,119.317 m?,87.6852 °
50 kHz,122.206 m?,87.7816 °
51 kHz,124.468 m?,88.0772 °
52 kHz,127.187 m?,88.1837 °
53 kHz,129.962 m?,88.1131 °
54 kHz,131.938 m?,88.2714 °
55 kHz,134.56 m?,88.3501 °
56 kHz,137.07 m?,88.367 °
57 kHz,139.537 m?,88.4745 °
58 kHz,142.009 m?,88.5303 °
59 kHz,144.358 m?,88.5501 °
60 kHz,147.045 m?,88.585 °
61 kHz,149.343 m?,88.7448 °
62 kHz,152.288 m?,88.8574 °
63 kHz,154.738 m?,88.9409 °
64 kHz,157.243 m?,89.0409 °
65 kHz,159.673 m?,89.1023 °
66 kHz,162.129 m?,89.253 °
67 kHz,164.749 m?,89.2182 °
68 kHz,167.377 m?,89.377 °
69 kHz,169.734 m?,89.4136 °
70 kHz,172.216 m?,89.5124 °
71 kHz,174.983 m?,89.4836 °
72 kHz,177.124 m?,89.5909 °
73 kHz,179.829 m?,89.6089 °
74 kHz,182.285 m?,89.5831 °
75 kHz,184.689 m?,89.5791 °
76 kHz,187.233 m?,89.643 °
77 kHz,189.697 m?,89.684 °
78 kHz,192.151 m?,89.6393 °
79 kHz,194.682 m?,89.6685 °
80 kHz,197.049 m?,89.7273 °
81 kHz,199.525 m?,89.6855 °
82 kHz,202.298 m?,89.7569 °
83 kHz,205.079 m?,89.8328 °
84 kHz,207.569 m?,89.8034 °
85 kHz,209.98 m?,89.8981 °
86 kHz,212.686 m?,89.9287 °
87 kHz,215.194 m?,89.9086 °
88 kHz,217.653 m?,89.9868 °
89 kHz,220.46 m?,90.0378 °
90 kHz,222.879 m?,89.961 °
91 kHz,225.347 m?,90.1394 °
92 kHz,228.119 m?,90.0165 °
93 kHz,230.517 m?,90.0581 °
94 kHz,232.909 m?,90.0528 °
95 kHz,235.462 m?,90.0879 °
96 kHz,238.029 m?,90.1004 °
97 kHz,240.505 m?,90.0718 °
98 kHz,242.864 m?,90.1024 °
99 kHz,245.562 m?,90.0592 °
100 kHz,247.886 m?,90.0899 °
