Frequency,Z,?°
0.02 kHz,17.0694 m?,0.1506 °
0.04 kHz,17.0983 m?,0.3442 °
0.06 kHz,17.3229 m?,0.5872 °
0.08 kHz,16.9954 m?,0.9135 °
0.1 kHz,17.0168 m?,0.5954 °
0.12 kHz,16.9595 m?,0.7371 °
0.14 kHz,16.5583 m?,2.5334 °
0.16 kHz,16.5282 m?,3.0417 °
0.18 kHz,16.7248 m?,2.0934 °
0.2 kHz,16.9479 m?,1.2798 °
0.22 kHz,16.932 m?,1.6761 °
0.24 kHz,16.9661 m?,2.0987 °
0.26 kHz,16.9602 m?,2.2157 °
0.28 kHz,16.9309 m?,1.9843 °
0.3 kHz,16.9037 m?,1.7717 °
0.32 kHz,16.9139 m?,1.7588 °
0.34 kHz,16.9071 m?,1.881 °
0.36 kHz,16.9007 m?,1.9568 °
0.38 kHz,16.8901 m?,2.0425 °
0.4 kHz,16.8805 m?,2.1219 °
0.42 kHz,16.8776 m?,2.2232 °
0.44 kHz,16.8714 m?,2.3601 °
0.46 kHz,16.8699 m?,2.4197 °
0.48 kHz,16.8541 m?,2.5389 °
0.5 kHz,16.8508 m?,2.7002 °
0.52 kHz,16.847 m?,2.7553 °
0.54 kHz,16.8509 m?,2.8243 °
0.56 kHz,16.8511 m?,2.9052 °
0.58 kHz,16.8419 m?,3.0697 °
0.6 kHz,16.8422 m?,3.1985 °
0.62 kHz,16.8161 m?,3.2799 °
0.64 kHz,16.792 m?,3.3385 °
0.66 kHz,16.7824 m?,3.4499 °
0.68 kHz,16.7764 m?,3.5529 °
0.7 kHz,16.7816 m?,3.6822 °
0.72 kHz,16.7731 m?,3.7698 °
0.74 kHz,16.7876 m?,3.8637 °
0.76 kHz,16.7952 m?,3.971 °
0.78 kHz,16.8052 m?,4.1057 °
0.8 kHz,16.8351 m?,4.1886 °
0.82 kHz,16.8201 m?,4.2708 °
0.84 kHz,16.8164 m?,4.3956 °
0.86 kHz,16.8112 m?,4.47 °
0.88 kHz,16.8133 m?,4.5989 °
0.9 kHz,16.8173 m?,4.6757 °
0.92 kHz,16.821 m?,4.7856 °
0.94 kHz,16.8261 m?,4.8494 °
0.96 kHz,16.811 m?,4.961 °
0.98 kHz,16.8189 m?,5.044 °
