Frequency,Z,?°
1 kHz,8.7928 m?,15.6905 °
2 kHz,9.6874 m?,29.4454 °
3 kHz,11.0333 m?,40.5802 °
4 kHz,12.6011 m?,48.9394 °
5 kHz,14.7221 m?,56.1734 °
6 kHz,16.6983 m?,60.8826 °
7 kHz,18.8741 m?,64.2253 °
8 kHz,21.0752 m?,67.615 °
9 kHz,23.3293 m?,69.7143 °
10 kHz,25.6264 m?,71.8434 °
11 kHz,27.4998 m?,73.6499 °
12 kHz,30.0709 m?,75.2188 °
13 kHz,32.737 m?,75.2892 °
14 kHz,34.9045 m?,76.9481 °
15 kHz,37.8186 m?,78.3052 °
16 kHz,39.6518 m?,78.5496 °
17 kHz,42.1988 m?,80.147 °
18 kHz,44.6703 m?,79.4706 °
19 kHz,47.741 m?,80.7166 °
20 kHz,49.064 m?,81.8882 °
21 kHz,51.4927 m?,82.2462 °
22 kHz,54.2805 m?,82.8777 °
23 kHz,56.3803 m?,83.3631 °
24 kHz,58.7421 m?,83.4792 °
25 kHz,61.6381 m?,84.1804 °
26 kHz,63.6276 m?,84.1463 °
27 kHz,66.277 m?,84.4074 °
28 kHz,68.6967 m?,84.744 °
29 kHz,71.1292 m?,85.09 °
30 kHz,73.5831 m?,84.9752 °
31 kHz,76.2035 m?,85.218 °
32 kHz,78.9094 m?,85.1208 °
33 kHz,80.9539 m?,85.7077 °
34 kHz,83.2689 m?,85.9774 °
35 kHz,85.916 m?,86.1715 °
36 kHz,88.5332 m?,86.4189 °
37 kHz,91.0553 m?,86.2231 °
38 kHz,93.7614 m?,86.6631 °
39 kHz,96.2001 m?,86.8974 °
40 kHz,99.1749 m?,86.7188 °
41 kHz,102.281 m?,87.1703 °
42 kHz,105.702 m?,88.0185 °
43 kHz,108.868 m?,88.4759 °
44 kHz,105.621 m?,84.9648 °
45 kHz,108.875 m?,85.8678 °
46 kHz,111.764 m?,86.1083 °
47 kHz,114.733 m?,86.5016 °
48 kHz,117.952 m?,86.8985 °
49 kHz,120.375 m?,87.1571 °
50 kHz,123.85 m?,87.5499 °
51 kHz,126.167 m?,87.7711 °
52 kHz,128.631 m?,87.6713 °
53 kHz,130.985 m?,87.8907 °
54 kHz,133.497 m?,87.958 °
55 kHz,136.025 m?,87.9188 °
56 kHz,139.173 m?,88.2516 °
57 kHz,140.973 m?,88.0014 °
58 kHz,143.814 m?,88.1484 °
59 kHz,146.291 m?,88.2397 °
60 kHz,148.57 m?,88.2748 °
61 kHz,151.63 m?,88.4539 °
62 kHz,153.902 m?,88.484 °
63 kHz,156.544 m?,88.5546 °
64 kHz,158.807 m?,88.754 °
65 kHz,161.63 m?,88.8689 °
66 kHz,164.098 m?,88.7899 °
67 kHz,166.508 m?,88.9258 °
68 kHz,169.423 m?,88.9347 °
69 kHz,171.674 m?,89.1683 °
70 kHz,174.557 m?,89.0976 °
71 kHz,176.621 m?,89.1722 °
72 kHz,179.272 m?,89.2364 °
73 kHz,181.916 m?,89.3169 °
74 kHz,184.293 m?,89.2966 °
75 kHz,187.025 m?,89.3396 °
76 kHz,189.567 m?,89.4092 °
77 kHz,191.803 m?,89.4288 °
78 kHz,194.399 m?,89.3977 °
79 kHz,196.93 m?,89.4364 °
80 kHz,199.346 m?,89.4463 °
81 kHz,201.719 m?,89.4873 °
82 kHz,204.659 m?,89.5615 °
83 kHz,207.349 m?,89.5993 °
84 kHz,209.861 m?,89.6194 °
85 kHz,212.448 m?,89.669 °
86 kHz,214.979 m?,89.7559 °
87 kHz,217.559 m?,89.7119 °
88 kHz,220.282 m?,89.7269 °
89 kHz,222.815 m?,89.79 °
90 kHz,225.258 m?,89.7983 °
91 kHz,228.109 m?,89.8063 °
92 kHz,230.627 m?,89.8571 °
93 kHz,233.124 m?,89.796 °
94 kHz,235.67 m?,89.8195 °
95 kHz,238.152 m?,89.8342 °
96 kHz,240.802 m?,89.8575 °
97 kHz,243.213 m?,89.8515 °
98 kHz,245.819 m?,89.8388 °
99 kHz,248.24 m?,89.8356 °
100 kHz,250.787 m?,89.8664 °
