Frequency,Z,?°
1 kHz,8.1564 m?,13.2914 °
2 kHz,8.7338 m?,25.6067 °
3 kHz,9.6833 m?,36.4719 °
4 kHz,10.5532 m?,44.6592 °
5 kHz,12.3758 m?,52.1481 °
6 kHz,13.7441 m?,58.4549 °
7 kHz,15.6756 m?,61.4618 °
8 kHz,17.4132 m?,65.0462 °
9 kHz,19.1941 m?,67.2455 °
10 kHz,21.0853 m?,69.7337 °
11 kHz,22.321 m?,71.7261 °
12 kHz,24.4385 m?,73.3009 °
13 kHz,26.8366 m?,73.4866 °
14 kHz,29.2147 m?,75.9451 °
15 kHz,30.7988 m?,77.3818 °
16 kHz,32.7445 m?,78.1243 °
17 kHz,34.5864 m?,77.4746 °
18 kHz,36.5312 m?,78.7794 °
19 kHz,38.4307 m?,79.9155 °
20 kHz,40.3045 m?,80.4098 °
21 kHz,42.3129 m?,81.0158 °
22 kHz,43.94 m?,81.4739 °
23 kHz,45.8787 m?,82.3117 °
24 kHz,48.145 m?,83.2865 °
25 kHz,50.1495 m?,83.3142 °
26 kHz,52.2251 m?,84.1381 °
27 kHz,54.0098 m?,83.7614 °
28 kHz,55.9646 m?,84.4155 °
29 kHz,58.2105 m?,84.2971 °
30 kHz,60.6858 m?,84.6186 °
31 kHz,62.1197 m?,84.5921 °
32 kHz,64.4235 m?,85.0338 °
33 kHz,66.8418 m?,85.506 °
34 kHz,68.3518 m?,85.3845 °
35 kHz,70.3477 m?,86.1202 °
36 kHz,72.4248 m?,86.0386 °
37 kHz,74.7462 m?,86.1804 °
38 kHz,76.9096 m?,86.3463 °
39 kHz,79.1031 m?,86.5167 °
40 kHz,81.1441 m?,86.8369 °
41 kHz,83.5247 m?,87.1302 °
42 kHz,86.8621 m?,87.9006 °
43 kHz,89.4187 m?,88.6764 °
44 kHz,93.2202 m?,89.0371 °
45 kHz,88.4073 m?,85.1343 °
46 kHz,91.3516 m?,85.5586 °
47 kHz,93.8461 m?,86.1928 °
48 kHz,96.4117 m?,86.5431 °
49 kHz,98.8482 m?,86.9238 °
50 kHz,101.526 m?,87.1995 °
51 kHz,103.748 m?,87.515 °
52 kHz,105.404 m?,87.6376 °
53 kHz,107.693 m?,87.8131 °
54 kHz,109.801 m?,87.7294 °
55 kHz,112.024 m?,87.7893 °
56 kHz,113.72 m?,88.0726 °
57 kHz,115.504 m?,88.3618 °
58 kHz,118.253 m?,88.1885 °
59 kHz,120.312 m?,88.2673 °
60 kHz,122.106 m?,88.2111 °
61 kHz,124.293 m?,88.3395 °
62 kHz,126.524 m?,88.5064 °
63 kHz,128.61 m?,88.548 °
64 kHz,130.585 m?,88.7886 °
65 kHz,132.391 m?,88.9696 °
66 kHz,134.966 m?,88.8704 °
67 kHz,137.092 m?,88.9008 °
68 kHz,139.108 m?,89.2122 °
69 kHz,141.315 m?,89.1842 °
70 kHz,143.257 m?,89.2513 °
71 kHz,145.152 m?,89.2088 °
72 kHz,147.597 m?,89.3185 °
73 kHz,149.59 m?,89.4474 °
74 kHz,151.737 m?,89.416 °
75 kHz,153.612 m?,89.3842 °
76 kHz,155.794 m?,89.4887 °
77 kHz,158.083 m?,89.5469 °
78 kHz,159.767 m?,89.5732 °
79 kHz,161.645 m?,89.5029 °
80 kHz,163.669 m?,89.5528 °
81 kHz,166.008 m?,89.5062 °
82 kHz,168.104 m?,89.6622 °
83 kHz,170.311 m?,89.7261 °
84 kHz,172.313 m?,89.7377 °
85 kHz,174.927 m?,89.7742 °
86 kHz,176.863 m?,89.7942 °
87 kHz,178.894 m?,89.772 °
88 kHz,180.94 m?,89.8733 °
89 kHz,183.138 m?,89.8787 °
90 kHz,185.57 m?,89.9186 °
91 kHz,187.661 m?,89.8787 °
92 kHz,189.668 m?,90.0093 °
93 kHz,191.773 m?,89.9778 °
94 kHz,193.898 m?,90.022 °
95 kHz,195.825 m?,90.067 °
96 kHz,197.955 m?,90.0503 °
97 kHz,199.985 m?,90.0395 °
98 kHz,202.18 m?,89.9792 °
99 kHz,204.301 m?,90.05 °
100 kHz,206.393 m?,89.9789 °
