Frequency,Z,?°
1 kHz,9.0818 m?,12.2186 °
2 kHz,9.6574 m?,23.3023 °
3 kHz,10.5476 m?,33.0785 °
4 kHz,11.476 m?,41.0725 °
5 kHz,13.1101 m?,48.3795 °
6 kHz,14.5927 m?,53.3743 °
7 kHz,16.1561 m?,57.3418 °
8 kHz,17.8104 m?,61.166 °
9 kHz,19.479 m?,63.6779 °
10 kHz,21.2544 m?,66.1893 °
11 kHz,22.7091 m?,68.4871 °
12 kHz,24.1092 m?,69.9007 °
13 kHz,26.0541 m?,70.8979 °
14 kHz,28.6191 m?,72.0697 °
15 kHz,31.0781 m?,73.507 °
16 kHz,32.1108 m?,75.0702 °
17 kHz,33.7363 m?,75.5301 °
18 kHz,35.6073 m?,76.1379 °
19 kHz,37.5981 m?,77.4812 °
20 kHz,39.458 m?,78.1504 °
21 kHz,41.2992 m?,78.8661 °
22 kHz,42.7302 m?,79.5667 °
23 kHz,45.1253 m?,80.4585 °
24 kHz,47.3449 m?,81.5113 °
25 kHz,49.0288 m?,81.6771 °
26 kHz,51.1431 m?,81.9413 °
27 kHz,52.7625 m?,82.3186 °
28 kHz,54.7119 m?,82.1969 °
29 kHz,57.1725 m?,82.5407 °
30 kHz,58.8629 m?,83.2894 °
31 kHz,61.0883 m?,82.8159 °
32 kHz,62.7451 m?,83.3177 °
33 kHz,64.5586 m?,83.9358 °
34 kHz,66.3901 m?,84.257 °
35 kHz,68.2535 m?,84.3917 °
36 kHz,70.2712 m?,84.6177 °
37 kHz,72.4526 m?,84.8151 °
38 kHz,74.6946 m?,85.1967 °
39 kHz,76.4225 m?,85.2306 °
40 kHz,78.707 m?,85.3399 °
41 kHz,81.6312 m?,86.0819 °
42 kHz,84.5454 m?,87.0056 °
43 kHz,87.3481 m?,87.4331 °
44 kHz,90.1566 m?,88.0659 °
45 kHz,86.2798 m?,83.8535 °
46 kHz,88.6918 m?,84.5577 °
47 kHz,90.9017 m?,84.9554 °
48 kHz,93.6664 m?,85.3677 °
49 kHz,96.137 m?,85.9205 °
50 kHz,98.4759 m?,86.3338 °
51 kHz,100.457 m?,86.6662 °
52 kHz,102.266 m?,86.7172 °
53 kHz,104.668 m?,86.9284 °
54 kHz,106.702 m?,86.9411 °
55 kHz,108.438 m?,87.051 °
56 kHz,110.451 m?,87.1174 °
57 kHz,112.316 m?,87.3434 °
58 kHz,114.84 m?,87.2348 °
59 kHz,116.316 m?,87.25 °
60 kHz,118.416 m?,87.3911 °
61 kHz,120.536 m?,87.6589 °
62 kHz,122.529 m?,87.683 °
63 kHz,124.737 m?,87.9199 °
64 kHz,126.575 m?,87.9879 °
65 kHz,128.756 m?,88.1116 °
66 kHz,130.752 m?,88.2498 °
67 kHz,132.727 m?,88.2783 °
68 kHz,134.962 m?,88.3861 °
69 kHz,137.228 m?,88.534 °
70 kHz,138.863 m?,88.5663 °
71 kHz,140.808 m?,88.6402 °
72 kHz,142.88 m?,88.6966 °
73 kHz,144.888 m?,88.8045 °
74 kHz,146.933 m?,88.6936 °
75 kHz,148.63 m?,88.9161 °
76 kHz,150.917 m?,88.9221 °
77 kHz,153.08 m?,88.7806 °
78 kHz,155.028 m?,88.894 °
79 kHz,156.862 m?,88.8883 °
80 kHz,158.722 m?,88.9347 °
81 kHz,160.692 m?,89.0569 °
82 kHz,163.041 m?,89.0983 °
83 kHz,165.301 m?,89.1176 °
84 kHz,167.061 m?,89.2725 °
85 kHz,169.358 m?,89.2768 °
86 kHz,171.531 m?,89.3259 °
87 kHz,173.612 m?,89.3356 °
88 kHz,175.638 m?,89.3684 °
89 kHz,177.679 m?,89.4112 °
90 kHz,179.852 m?,89.4221 °
91 kHz,181.809 m?,89.5118 °
92 kHz,183.885 m?,89.4837 °
93 kHz,185.857 m?,89.5333 °
94 kHz,188.149 m?,89.4847 °
95 kHz,190.103 m?,89.5242 °
96 kHz,192.122 m?,89.5659 °
97 kHz,193.953 m?,89.5729 °
98 kHz,196.106 m?,89.532 °
99 kHz,198.122 m?,89.5086 °
100 kHz,199.933 m?,89.5466 °
