Frequency,Z,?°
1 kHz,16.7868 m?,5.1203 °
2 kHz,17.0988 m?,9.4939 °
3 kHz,17.4521 m?,13.6192 °
4 kHz,17.715 m?,17.4137 °
5 kHz,18.3439 m?,21.7866 °
6 kHz,18.9202 m?,25.1282 °
7 kHz,19.53 m?,28.1974 °
8 kHz,20.1331 m?,31.4708 °
9 kHz,20.8688 m?,34.1546 °
10 kHz,21.6826 m?,36.8761 °
11 kHz,22.3542 m?,39.2747 °
12 kHz,23.1043 m?,41.8058 °
13 kHz,23.6789 m?,42.733 °
14 kHz,25.0436 m?,45.5169 °
15 kHz,26.1419 m?,47.4489 °
16 kHz,26.6551 m?,49.2251 °
17 kHz,27.6501 m?,50.3209 °
18 kHz,28.6228 m?,52.5398 °
19 kHz,29.1306 m?,53.229 °
20 kHz,30.5261 m?,55.2546 °
21 kHz,31.4823 m?,55.5963 °
22 kHz,32.4551 m?,57.525 °
23 kHz,33.3349 m?,59.31 °
24 kHz,34.5358 m?,60.7979 °
25 kHz,35.7387 m?,61.7326 °
26 kHz,36.7249 m?,62.5548 °
27 kHz,37.6854 m?,63.1897 °
28 kHz,39.1205 m?,64.0068 °
29 kHz,40.2375 m?,64.2026 °
30 kHz,41.1047 m?,65.0859 °
31 kHz,42.5834 m?,65.6465 °
32 kHz,43.5368 m?,66.0646 °
33 kHz,44.5197 m?,67.2816 °
34 kHz,45.6103 m?,67.5728 °
35 kHz,46.6228 m?,68.538 °
36 kHz,47.7778 m?,68.9368 °
37 kHz,48.9979 m?,69.7197 °
38 kHz,50.1869 m?,70.11 °
39 kHz,51.3307 m?,70.433 °
40 kHz,52.9826 m?,70.9955 °
41 kHz,55.0196 m?,72.3299 °
42 kHz,56.4475 m?,73.3855 °
43 kHz,58.1948 m?,75.0072 °
44 kHz,60.2405 m?,76.042 °
45 kHz,62.2489 m?,77.12 °
46 kHz,58.5378 m?,70.5338 °
47 kHz,59.7662 m?,71.2858 °
48 kHz,61.4845 m?,72.4417 °
49 kHz,63.2262 m?,73.307 °
50 kHz,64.6094 m?,74.1475 °
51 kHz,65.3833 m?,74.5308 °
52 kHz,66.9142 m?,74.9271 °
53 kHz,67.7604 m?,75.2654 °
54 kHz,69.1528 m?,75.5037 °
55 kHz,70.3826 m?,75.7299 °
56 kHz,71.5282 m?,76.1267 °
57 kHz,72.7183 m?,76.1587 °
58 kHz,73.9325 m?,76.3478 °
59 kHz,75.1066 m?,76.5546 °
60 kHz,76.2771 m?,76.7772 °
61 kHz,77.4509 m?,77.0918 °
62 kHz,78.7751 m?,77.4804 °
63 kHz,79.9107 m?,77.7058 °
64 kHz,81.1143 m?,78.0009 °
65 kHz,82.2683 m?,78.2846 °
66 kHz,83.5876 m?,78.5763 °
67 kHz,84.6939 m?,78.8804 °
68 kHz,85.8813 m?,79.1217 °
69 kHz,87.2086 m?,79.2466 °
70 kHz,88.3608 m?,79.5215 °
71 kHz,89.3438 m?,79.8221 °
72 kHz,90.651 m?,79.8389 °
73 kHz,91.9511 m?,80.0046 °
74 kHz,92.9804 m?,80.1347 °
75 kHz,94.2985 m?,80.1715 °
76 kHz,95.4245 m?,80.427 °
77 kHz,96.5519 m?,80.4717 °
78 kHz,97.787 m?,80.5157 °
79 kHz,99.0903 m?,80.6389 °
80 kHz,99.9746 m?,80.7701 °
81 kHz,101.385 m?,80.902 °
82 kHz,102.63 m?,81.0894 °
83 kHz,103.964 m?,81.3064 °
84 kHz,105.123 m?,81.3553 °
85 kHz,106.447 m?,81.5776 °
86 kHz,107.832 m?,81.6477 °
87 kHz,109.057 m?,81.8491 °
88 kHz,110.41 m?,81.8519 °
89 kHz,111.764 m?,81.8701 °
90 kHz,112.777 m?,82.1302 °
91 kHz,113.924 m?,82.2754 °
92 kHz,115.155 m?,82.2993 °
93 kHz,116.501 m?,82.4025 °
94 kHz,117.451 m?,82.3833 °
95 kHz,118.939 m?,82.5293 °
96 kHz,120.128 m?,82.6758 °
97 kHz,121.452 m?,82.6271 °
98 kHz,122.565 m?,82.714 °
99 kHz,123.737 m?,82.755 °
100 kHz,124.916 m?,82.8093 °
