Frequency,Z,?°
0.02 kHz,9.2937 m?,0.9739 °
0.04 kHz,9.0239 m?,0.6485 °
0.06 kHz,9.3349 m?,1.0295 °
0.08 kHz,9.0035 m?,1.7796 °
0.1 kHz,9.0572 m?,1.1801 °
0.12 kHz,8.9857 m?,1.462 °
0.14 kHz,8.6252 m?,5.0795 °
0.16 kHz,8.6058 m?,5.9324 °
0.18 kHz,8.8055 m?,4.2196 °
0.2 kHz,9.0203 m?,2.5952 °
0.22 kHz,9.015 m?,3.3796 °
0.24 kHz,9.0425 m?,4.2261 °
0.26 kHz,9.0733 m?,4.4538 °
0.28 kHz,9.0496 m?,4.1407 °
0.3 kHz,9.0312 m?,3.8818 °
0.32 kHz,9.0478 m?,3.9001 °
0.34 kHz,9.0444 m?,4.107 °
0.36 kHz,9.0565 m?,4.3846 °
0.38 kHz,9.0405 m?,4.5382 °
0.4 kHz,9.0248 m?,4.7827 °
0.42 kHz,9.0299 m?,5.0252 °
0.44 kHz,9.0563 m?,5.1705 °
0.46 kHz,9.0448 m?,5.5091 °
0.48 kHz,9.0298 m?,5.7601 °
0.5 kHz,9.0432 m?,6.1338 °
0.52 kHz,9.0417 m?,6.2143 °
0.54 kHz,9.0423 m?,6.4964 °
0.56 kHz,9.0344 m?,6.7616 °
0.58 kHz,9.0442 m?,7.0799 °
0.6 kHz,9.0493 m?,7.3493 °
0.62 kHz,9.0242 m?,7.5561 °
0.64 kHz,9.0116 m?,7.7449 °
0.66 kHz,8.9904 m?,8.076 °
0.68 kHz,8.9858 m?,8.2579 °
0.7 kHz,8.9738 m?,8.5475 °
0.72 kHz,8.9837 m?,8.8515 °
0.74 kHz,8.9855 m?,9.0497 °
0.76 kHz,8.9993 m?,9.3018 °
0.78 kHz,9.0239 m?,9.5728 °
0.8 kHz,9.047 m?,9.8152 °
0.82 kHz,9.0429 m?,10.0816 °
0.84 kHz,9.0464 m?,10.3533 °
0.86 kHz,9.0496 m?,10.5637 °
0.88 kHz,9.0572 m?,10.851 °
0.9 kHz,9.0573 m?,11.0888 °
0.92 kHz,9.0684 m?,11.2996 °
0.94 kHz,9.0748 m?,11.4859 °
0.96 kHz,9.0794 m?,11.768 °
0.98 kHz,9.0887 m?,11.9859 °
