Frequency,Z,?°
0.02 kHz,8.1003 m?,0.1551 °
0.04 kHz,8.1143 m?,0.4974 °
0.06 kHz,8.3945 m?,1.1169 °
0.08 kHz,8.0483 m?,1.8678 °
0.1 kHz,8.0961 m?,1.3577 °
0.12 kHz,8.0239 m?,1.4029 °
0.14 kHz,7.6853 m?,5.293 °
0.16 kHz,7.5917 m?,6.7725 °
0.18 kHz,7.8118 m?,4.6829 °
0.2 kHz,8.013 m?,2.8077 °
0.22 kHz,8.0226 m?,3.6227 °
0.24 kHz,8.0386 m?,4.4679 °
0.26 kHz,8.0591 m?,4.7701 °
0.28 kHz,8.0258 m?,4.4368 °
0.3 kHz,8.0082 m?,4.0549 °
0.32 kHz,8.0264 m?,4.1773 °
0.34 kHz,8.0328 m?,4.3853 °
0.36 kHz,8.0281 m?,4.6488 °
0.38 kHz,8.026 m?,4.8657 °
0.4 kHz,8.0086 m?,5.1702 °
0.42 kHz,8.0189 m?,5.3087 °
0.44 kHz,8.0288 m?,5.6439 °
0.46 kHz,8.0185 m?,5.7759 °
0.48 kHz,8.0202 m?,6.2223 °
0.5 kHz,8.0201 m?,6.604 °
0.52 kHz,8.0177 m?,6.7832 °
0.54 kHz,8.0316 m?,6.9745 °
0.56 kHz,8.0349 m?,7.2722 °
0.58 kHz,8.0277 m?,7.6056 °
0.6 kHz,8.0412 m?,7.9331 °
0.62 kHz,8.0195 m?,8.1736 °
0.64 kHz,8.0063 m?,8.3719 °
0.66 kHz,8.0004 m?,8.6744 °
0.68 kHz,8.0004 m?,8.9657 °
0.7 kHz,8.0125 m?,9.0307 °
0.72 kHz,8.0131 m?,9.4825 °
0.74 kHz,8.0303 m?,9.7824 °
0.76 kHz,8.047 m?,10.1095 °
0.78 kHz,8.0719 m?,10.301 °
0.8 kHz,8.1067 m?,10.5774 °
0.82 kHz,8.0982 m?,10.865 °
0.84 kHz,8.106 m?,11.1767 °
0.86 kHz,8.1111 m?,11.4462 °
0.88 kHz,8.1033 m?,11.7036 °
0.9 kHz,8.1256 m?,11.9755 °
0.92 kHz,8.1278 m?,12.2191 °
0.94 kHz,8.1322 m?,12.4853 °
0.96 kHz,8.1349 m?,12.7345 °
0.98 kHz,8.1564 m?,12.9572 °
