Frequency,Z,?°
4 kHz,9.2715 m?,14.6056 °
4.1 kHz,9.2865 m?,14.8349 °
4.2 kHz,9.2854 m?,14.9822 °
4.3 kHz,9.3356 m?,15.274 °
4.4 kHz,9.3595 m?,15.3124 °
4.5 kHz,9.4055 m?,15.5791 °
4.6 kHz,9.4045 m?,15.7537 °
4.7 kHz,9.4434 m?,16.1014 °
4.8 kHz,9.4125 m?,16.4288 °
4.9 kHz,9.4787 m?,16.6964 °
5 kHz,9.4389 m?,16.8314 °
5 kHz,9.4883 m?,16.9558 °
25 kHz,13.1709 m?,41.4299 °
45 kHz,16.5445 m?,58.4407 °
65 kHz,21.6266 m?,73.6278 °
85 kHz,28.153 m?,83.2001 °
105 kHz,35.3421 m?,88.1808 °
125 kHz,45.7062 m?,92.3724 °
145 kHz,50.0604 m?,97.0754 °
165 kHz,62.1161 m?,99.1018 °
185 kHz,72.683 m?,100.873 °
205 kHz,83.1183 m?,101.851 °
225 kHz,94.9607 m?,102.534 °
245 kHz,106.237 m?,102.968 °
265 kHz,118.272 m?,103.055 °
285 kHz,130.487 m?,103.129 °
305 kHz,142.666 m?,103.032 °
325 kHz,155.857 m?,102.714 °
345 kHz,168.957 m?,102.482 °
365 kHz,185.911 m?,102.858 °
385 kHz,198.512 m?,102.418 °
405 kHz,210.997 m?,102.166 °
425 kHz,224.423 m?,101.716 °
445 kHz,237.664 m?,101.337 °
465 kHz,250.563 m?,100.996 °
485 kHz,263.288 m?,100.698 °
505 kHz,276.009 m?,100.398 °
525 kHz,289.303 m?,100.026 °
545 kHz,302.308 m?,99.7164 °
565 kHz,315.369 m?,99.4089 °
585 kHz,328.27 m?,99.1169 °
605 kHz,341.145 m?,98.8653 °
625 kHz,354.925 m?,98.5861 °
645 kHz,368.473 m?,98.3437 °
665 kHz,381.851 m?,98.0869 °
685 kHz,395.109 m?,97.8234 °
705 kHz,408.059 m?,97.5377 °
725 kHz,420.839 m?,97.2763 °
745 kHz,433.214 m?,96.9627 °
765 kHz,445.364 m?,96.6665 °
785 kHz,457.069 m?,96.3887 °
805 kHz,468.876 m?,96.0937 °
825 kHz,482.5 m?,95.8565 °
845 kHz,495.589 m?,95.6116 °
865 kHz,508.465 m?,95.3812 °
885 kHz,520.884 m?,95.1733 °
905 kHz,533.024 m?,95.003 °
925 kHz,545.109 m?,94.8528 °
945 kHz,556.888 m?,94.6586 °
965 kHz,568.22 m?,94.4742 °
