Frequency,Z,?°
1 kHz,18.9795 m?,12.0029 °
2 kHz,19.2447 m?,22.2323 °
3 kHz,19.5642 m?,33.7248 °
4 kHz,20.3309 m?,45.3156 °
5 kHz,22.4592 m?,59.8056 °
6 kHz,26.0488 m?,70.6598 °
7 kHz,31.1531 m?,80.2263 °
8 kHz,37.3589 m?,87.0396 °
9 kHz,42.9828 m?,91.9619 °
10 kHz,51.2363 m?,95.1051 °
11 kHz,58.5775 m?,96.987 °
12 kHz,66.9624 m?,98.8116 °
13 kHz,75.565 m?,100.037 °
14 kHz,84.3116 m?,100.393 °
15 kHz,93.4669 m?,101.403 °
16 kHz,102.486 m?,101.135 °
17 kHz,111.166 m?,101.2 °
18 kHz,119.721 m?,101.046 °
19 kHz,128.776 m?,100.758 °
20 kHz,137.961 m?,100.837 °
21 kHz,146.949 m?,100.802 °
22 kHz,156.279 m?,100.491 °
23 kHz,164.985 m?,100.116 °
24 kHz,173.158 m?,99.9286 °
25 kHz,181.803 m?,99.7472 °
26 kHz,192.398 m?,99.482 °
27 kHz,199.666 m?,99.2869 °
28 kHz,209.274 m?,98.9829 °
29 kHz,218.165 m?,98.7632 °
30 kHz,227.497 m?,98.4232 °
31 kHz,235.882 m?,98.2341 °
32 kHz,244.436 m?,97.9942 °
33 kHz,252.748 m?,97.8085 °
34 kHz,261.502 m?,97.5949 °
35 kHz,270.756 m?,97.3919 °
36 kHz,279.532 m?,97.2013 °
37 kHz,288.306 m?,97.0411 °
38 kHz,296.554 m?,96.8223 °
39 kHz,305.452 m?,96.5128 °
40 kHz,314.498 m?,96.4137 °
41 kHz,323.146 m?,96.2587 °
42 kHz,330.921 m?,96.1542 °
43 kHz,340.051 m?,95.8205 °
44 kHz,348.4 m?,95.7243 °
45 kHz,356.885 m?,95.6216 °
46 kHz,365.57 m?,95.4456 °
47 kHz,374.006 m?,95.2155 °
48 kHz,382.713 m?,95.1317 °
49 kHz,391.287 m?,94.9336 °
50 kHz,399.929 m?,94.762 °
51 kHz,408.452 m?,94.6202 °
52 kHz,416.491 m?,94.4729 °
53 kHz,424.703 m?,94.4148 °
54 kHz,433.793 m?,94.28 °
55 kHz,441.855 m?,94.1476 °
56 kHz,450.334 m?,93.9846 °
57 kHz,458.657 m?,93.8787 °
58 kHz,466.83 m?,93.7278 °
59 kHz,474.827 m?,93.6892 °
60 kHz,483.598 m?,93.5513 °
61 kHz,491.873 m?,93.4271 °
62 kHz,500.033 m?,93.3468 °
63 kHz,508.204 m?,93.2058 °
64 kHz,516.411 m?,93.1241 °
65 kHz,524.64 m?,93.0479 °
66 kHz,532.856 m?,92.9577 °
67 kHz,541.12 m?,92.8284 °
68 kHz,549.515 m?,92.7612 °
69 kHz,557.606 m?,92.66 °
70 kHz,565.886 m?,92.5922 °
71 kHz,573.88 m?,92.4632 °
72 kHz,581.972 m?,92.3984 °
73 kHz,590.405 m?,92.3136 °
74 kHz,598.584 m?,92.2002 °
75 kHz,606.505 m?,92.1492 °
76 kHz,615.182 m?,92.0338 °
77 kHz,623.078 m?,92.0001 °
78 kHz,631.176 m?,91.8506 °
79 kHz,639.639 m?,91.8406 °
80 kHz,647.445 m?,91.7317 °
81 kHz,655.475 m?,91.6491 °
82 kHz,663.611 m?,91.6015 °
83 kHz,671.617 m?,91.5265 °
84 kHz,679.684 m?,91.485 °
85 kHz,687.578 m?,91.4023 °
86 kHz,695.585 m?,91.3581 °
87 kHz,703.732 m?,91.2623 °
88 kHz,712.038 m?,91.2169 °
89 kHz,719.931 m?,91.1702 °
90 kHz,727.697 m?,91.1052 °
91 kHz,735.784 m?,91.0309 °
92 kHz,743.746 m?,90.9921 °
93 kHz,751.729 m?,90.9084 °
94 kHz,759.74 m?,90.8449 °
95 kHz,767.837 m?,90.7971 °
96 kHz,775.936 m?,90.7413 °
97 kHz,783.557 m?,90.7124 °
98 kHz,791.297 m?,90.6328 °
99 kHz,799.385 m?,90.5646 °
100 kHz,807.405 m?,90.5161 °
