Frequency,Z,?°
0.02 kHz,18.343 m?,-0.8451 °
0.04 kHz,18.9176 m?,0.7525 °
0.06 kHz,18.7192 m?,-0.248 °
0.08 kHz,18.0277 m?,-0.3668 °
0.1 kHz,17.6158 m?,1.6914 °
0.12 kHz,17.9314 m?,1.909 °
0.14 kHz,19.0902 m?,2.3445 °
0.16 kHz,18.9062 m?,1.2436 °
0.18 kHz,18.3961 m?,1.1837 °
0.2 kHz,17.5713 m?,3.9811 °
0.22 kHz,19.0268 m?,5.9891 °
0.24 kHz,19.5866 m?,2.3888 °
0.26 kHz,17.8011 m?,2.6332 °
0.28 kHz,18.4775 m?,4.8194 °
0.3 kHz,18.6184 m?,4.851 °
0.32 kHz,18.8185 m?,4.3099 °
0.34 kHz,18.6316 m?,4.9861 °
0.36 kHz,18.7611 m?,4.5156 °
0.38 kHz,18.6712 m?,5.442 °
0.4 kHz,18.7021 m?,5.2986 °
0.42 kHz,18.5234 m?,5.3152 °
0.44 kHz,19.118 m?,5.417 °
0.46 kHz,18.5452 m?,7.4191 °
0.48 kHz,18.5643 m?,5.7362 °
0.5 kHz,18.9908 m?,5.9265 °
0.52 kHz,18.8595 m?,7.4244 °
0.54 kHz,18.5988 m?,6.4928 °
0.56 kHz,18.683 m?,6.7 °
0.58 kHz,18.8112 m?,7.0637 °
0.6 kHz,18.5784 m?,6.6578 °
0.62 kHz,18.8482 m?,7.6388 °
0.64 kHz,18.4566 m?,7.5286 °
0.66 kHz,19.084 m?,8.0175 °
0.68 kHz,18.7489 m?,8.407 °
0.7 kHz,18.7343 m?,8.3807 °
0.72 kHz,18.6729 m?,8.6136 °
0.74 kHz,18.859 m?,9.1548 °
0.76 kHz,18.654 m?,8.3677 °
0.78 kHz,18.9333 m?,10.2015 °
0.8 kHz,18.5744 m?,9.6653 °
0.82 kHz,18.7363 m?,10.0815 °
0.84 kHz,18.9085 m?,9.6762 °
0.86 kHz,18.7965 m?,10.3266 °
0.88 kHz,18.7829 m?,9.8563 °
0.9 kHz,18.9341 m?,10.5416 °
0.92 kHz,18.8338 m?,10.6896 °
0.94 kHz,18.8741 m?,11.251 °
0.96 kHz,19.1194 m?,11.6162 °
0.98 kHz,18.9095 m?,11.8814 °
