Frequency,Z,?°
1 kHz,26.5944 m?,5.0986 °
1.1 kHz,26.5178 m?,5.6682 °
1.2 kHz,26.469 m?,6.1651 °
1.3 kHz,26.3979 m?,6.7054 °
1.4 kHz,26.3222 m?,7.2889 °
1.5 kHz,26.2358 m?,7.79 °
1.6 kHz,26.1354 m?,8.3788 °
1.7 kHz,26.034 m?,8.9816 °
1.8 kHz,25.9285 m?,9.5739 °
1.9 kHz,25.8142 m?,10.1524 °
2 kHz,25.7271 m?,10.7722 °
2.1 kHz,25.5968 m?,11.4331 °
2.2 kHz,25.4705 m?,12.0968 °
2.3 kHz,25.351 m?,12.7878 °
2.4 kHz,25.2291 m?,13.481 °
2.5 kHz,25.1108 m?,14.1935 °
2.6 kHz,24.9582 m?,14.9912 °
2.7 kHz,24.8249 m?,15.7772 °
2.8 kHz,24.6909 m?,16.5525 °
2.9 kHz,24.5528 m?,17.38 °
3 kHz,24.4436 m?,18.1847 °
3.1 kHz,24.2963 m?,19.1936 °
3.2 kHz,24.2694 m?,20.2106 °
3.3 kHz,24.0312 m?,20.9958 °
3.4 kHz,23.9534 m?,21.965 °
3.5 kHz,23.8397 m?,22.9997 °
3.6 kHz,23.6993 m?,24.1703 °
3.7 kHz,23.6558 m?,25.0062 °
3.8 kHz,23.4776 m?,26.243 °
3.9 kHz,23.402 m?,27.2749 °
4 kHz,23.25 m?,28.377 °
4.1 kHz,23.1738 m?,29.5303 °
4.2 kHz,23.1106 m?,30.9194 °
4.3 kHz,23.0966 m?,31.9611 °
4.4 kHz,23.0081 m?,33.2132 °
4.5 kHz,22.9798 m?,34.4551 °
4.6 kHz,23.0028 m?,35.8712 °
4.7 kHz,22.9393 m?,36.98 °
4.8 kHz,22.9207 m?,38.272 °
4.9 kHz,23.0151 m?,39.5053 °
5 kHz,22.9171 m?,40.8547 °
