Frequency,Z,?°
5 kHz,23.0152 m?,40.8909 °
30 kHz,213.644 m?,99.4311 °
55 kHz,423.27 m?,95.7373 °
80 kHz,627.144 m?,93.6463 °
105 kHz,826.896 m?,92.3925 °
130 kHz,1.0243 ?,91.5475 °
155 kHz,1.2076 ?,91.1178 °
180 kHz,1.4019 ?,90.7276 °
205 kHz,1.5948 ?,90.4051 °
230 kHz,1.787 ?,90.1461 °
255 kHz,1.9795 ?,89.9311 °
280 kHz,2.1699 ?,89.7138 °
305 kHz,2.3608 ?,89.5464 °
330 kHz,2.5503 ?,89.3951 °
355 kHz,2.74 ?,89.2751 °
380 kHz,2.929 ?,89.1572 °
405 kHz,3.117 ?,89.0611 °
430 kHz,3.3058 ?,88.9749 °
455 kHz,3.4933 ?,88.8972 °
480 kHz,3.6803 ?,88.8285 °
505 kHz,3.8674 ?,88.7626 °
530 kHz,4.054 ?,88.7031 °
555 kHz,4.2402 ?,88.6481 °
580 kHz,4.4262 ?,88.5969 °
605 kHz,4.6123 ?,88.5499 °
630 kHz,4.7977 ?,88.5138 °
655 kHz,4.9829 ?,88.4779 °
680 kHz,5.168 ?,88.4443 °
705 kHz,5.3526 ?,88.4068 °
730 kHz,5.5373 ?,88.3667 °
755 kHz,5.7215 ?,88.3279 °
780 kHz,5.9049 ?,88.287 °
805 kHz,6.0881 ?,88.2496 °
830 kHz,6.2714 ?,88.215 °
855 kHz,6.4544 ?,88.1901 °
880 kHz,6.6366 ?,88.1656 °
905 kHz,6.8183 ?,88.1366 °
930 kHz,6.9996 ?,88.1128 °
955 kHz,7.1806 ?,88.0913 °
980 kHz,7.361 ?,88.0667 °
