Frequency,Z,?°
20 Hz,25.8706 m?,-1.5753 °
40 Hz,27.8235 m?,0.0261 °
60 Hz,28.1234 m?,0.9359 °
80 Hz,27.9776 m?,0.7781 °
100 Hz,28.0124 m?,0.92 °
120 Hz,28.0165 m?,1.1559 °
140 Hz,28.1888 m?,1.254 °
160 Hz,27.9111 m?,1.8159 °
180 Hz,28.1208 m?,1.8483 °
200 Hz,28.1218 m?,1.9147 °
220 Hz,28.1691 m?,2.2534 °
240 Hz,28.2116 m?,2.5454 °
260 Hz,28.2107 m?,2.7875 °
280 Hz,28.2272 m?,2.7482 °
300 Hz,28.1917 m?,2.787 °
320 Hz,28.2287 m?,2.8501 °
340 Hz,28.253 m?,2.9881 °
360 Hz,28.2198 m?,3.1319 °
380 Hz,28.2315 m?,3.3016 °
400 Hz,28.2279 m?,3.4504 °
420 Hz,28.223 m?,3.5723 °
440 Hz,28.2222 m?,3.6698 °
460 Hz,28.2272 m?,3.9095 °
480 Hz,28.2297 m?,4.0642 °
500 Hz,28.1987 m?,4.194 °
520 Hz,28.1824 m?,4.3394 °
540 Hz,28.1706 m?,4.4877 °
560 Hz,28.2113 m?,4.6949 °
580 Hz,28.1895 m?,4.848 °
600 Hz,28.1717 m?,5.0351 °
620 Hz,28.144 m?,5.1828 °
640 Hz,28.1497 m?,5.3886 °
660 Hz,28.1692 m?,5.5468 °
680 Hz,28.1252 m?,5.7544 °
700 Hz,28.143 m?,5.9201 °
720 Hz,28.1509 m?,6.0741 °
740 Hz,28.1733 m?,6.291 °
760 Hz,28.1436 m?,6.4286 °
780 Hz,28.1757 m?,6.67 °
800 Hz,28.1853 m?,6.819 °
820 Hz,28.1992 m?,6.9731 °
840 Hz,28.195 m?,7.1249 °
860 Hz,28.1879 m?,7.3817 °
880 Hz,28.212 m?,7.5254 °
900 Hz,28.201 m?,7.6651 °
920 Hz,28.2357 m?,7.8057 °
940 Hz,28.2215 m?,7.9751 °
960 Hz,28.2475 m?,8.1434 °
980 Hz,28.2488 m?,8.2766 °
