Frequency,Z,?°
1 kHz,29.486 m?,7.5056 °
1.1 kHz,29.0166 m?,9.0889 °
1.2 kHz,29.0398 m?,9.7997 °
1.3 kHz,29.0322 m?,10.571 °
1.4 kHz,29.0146 m?,11.3619 °
1.5 kHz,29.011 m?,12.1388 °
1.6 kHz,28.9721 m?,12.9161 °
1.7 kHz,28.9367 m?,13.7372 °
1.8 kHz,28.909 m?,14.5681 °
1.9 kHz,28.8792 m?,15.4083 °
2 kHz,28.8739 m?,16.2327 °
2.1 kHz,28.83 m?,17.1149 °
2.2 kHz,28.7895 m?,17.974 °
2.3 kHz,28.759 m?,18.8555 °
2.4 kHz,28.7236 m?,19.7581 °
2.5 kHz,28.678 m?,20.6064 °
2.6 kHz,28.6555 m?,21.6143 °
2.7 kHz,28.6321 m?,22.5408 °
2.8 kHz,28.5894 m?,23.5036 °
2.9 kHz,28.5874 m?,24.4753 °
3 kHz,28.5666 m?,25.4467 °
3.1 kHz,28.6704 m?,26.5631 °
3.2 kHz,28.6772 m?,27.4924 °
3.3 kHz,28.6249 m?,28.7576 °
3.4 kHz,28.5732 m?,29.7359 °
3.5 kHz,28.6516 m?,30.8252 °
3.6 kHz,28.5161 m?,31.9815 °
3.7 kHz,28.7265 m?,32.9653 °
3.8 kHz,28.6974 m?,34.0877 °
3.9 kHz,28.6474 m?,35.2228 °
4 kHz,28.8074 m?,36.374 °
4.1 kHz,28.8945 m?,37.6089 °
4.2 kHz,28.8928 m?,38.7507 °
4.3 kHz,29.0149 m?,39.8828 °
4.4 kHz,29.1594 m?,41.0083 °
4.5 kHz,29.2991 m?,42.3845 °
4.6 kHz,29.4001 m?,43.3822 °
4.7 kHz,29.5328 m?,44.5827 °
4.8 kHz,29.7718 m?,45.8109 °
4.9 kHz,29.9176 m?,46.9515 °
5 kHz,30.0751 m?,48.0312 °
