Frequency,Z,?°
1 kHz,19.8989 m?,9.3298 °
2 kHz,19.7585 m?,18.398 °
3 kHz,19.4505 m?,29.3497 °
4 kHz,19.735 m?,42.5653 °
5 kHz,21.2498 m?,56.9052 °
6 kHz,24.2295 m?,69.5858 °
7 kHz,28.9483 m?,79.7938 °
8 kHz,34.4572 m?,87.224 °
9 kHz,41.2372 m?,92.2218 °
10 kHz,48.3223 m?,95.7874 °
11 kHz,56.2397 m?,98.1218 °
12 kHz,64.2825 m?,99.937 °
13 kHz,72.934 m?,100.614 °
14 kHz,81.2782 m?,101.339 °
15 kHz,90.0205 m?,101.884 °
16 kHz,98.6261 m?,101.835 °
17 kHz,107.332 m?,101.79 °
18 kHz,116.182 m?,101.74 °
19 kHz,125.114 m?,101.769 °
20 kHz,134.044 m?,101.714 °
21 kHz,142.775 m?,101.415 °
22 kHz,151.617 m?,101.157 °
23 kHz,160.455 m?,100.931 °
24 kHz,169.46 m?,100.711 °
25 kHz,178.399 m?,100.491 °
26 kHz,187.11 m?,100.203 °
27 kHz,195.82 m?,99.936 °
28 kHz,204.619 m?,99.6502 °
29 kHz,213.386 m?,99.413 °
30 kHz,222.29 m?,99.175 °
31 kHz,230.721 m?,98.9469 °
32 kHz,239.229 m?,98.6846 °
33 kHz,247.796 m?,98.4495 °
34 kHz,256.353 m?,98.2229 °
35 kHz,264.995 m?,97.9955 °
36 kHz,273.541 m?,97.7796 °
37 kHz,282.307 m?,97.5777 °
38 kHz,290.944 m?,97.3467 °
39 kHz,299.631 m?,97.1482 °
40 kHz,308.273 m?,96.9797 °
41 kHz,316.784 m?,96.7959 °
42 kHz,325.157 m?,96.6066 °
43 kHz,333.477 m?,96.4369 °
44 kHz,341.993 m?,96.2515 °
45 kHz,350.47 m?,96.1024 °
46 kHz,358.862 m?,95.9224 °
47 kHz,367.272 m?,95.7565 °
48 kHz,375.781 m?,95.5987 °
49 kHz,384.268 m?,95.4452 °
50 kHz,392.714 m?,95.2876 °
51 kHz,400.963 m?,95.1366 °
52 kHz,409.319 m?,95.0051 °
53 kHz,417.535 m?,94.8724 °
54 kHz,425.789 m?,94.7457 °
55 kHz,434.047 m?,94.6129 °
56 kHz,442.383 m?,94.4748 °
57 kHz,450.671 m?,94.356 °
58 kHz,458.923 m?,94.2326 °
59 kHz,467.175 m?,94.107 °
60 kHz,475.487 m?,93.9979 °
61 kHz,483.719 m?,93.8982 °
62 kHz,491.745 m?,93.7855 °
63 kHz,499.918 m?,93.6967 °
64 kHz,507.973 m?,93.5811 °
65 kHz,516.143 m?,93.4916 °
66 kHz,524.335 m?,93.3939 °
67 kHz,532.464 m?,93.2836 °
68 kHz,540.489 m?,93.1895 °
69 kHz,548.592 m?,93.0933 °
70 kHz,556.767 m?,93.0012 °
71 kHz,564.857 m?,92.908 °
72 kHz,572.916 m?,92.8178 °
73 kHz,580.967 m?,92.7316 °
74 kHz,589.1 m?,92.6457 °
75 kHz,597.126 m?,92.5566 °
76 kHz,605.239 m?,92.4653 °
77 kHz,613.29 m?,92.3864 °
78 kHz,621.404 m?,92.3093 °
79 kHz,629.464 m?,92.2218 °
80 kHz,637.448 m?,92.1418 °
81 kHz,645.504 m?,92.0692 °
82 kHz,653.393 m?,92.0026 °
83 kHz,661.356 m?,91.9383 °
84 kHz,669.309 m?,91.8687 °
85 kHz,677.234 m?,91.8 °
86 kHz,685.172 m?,91.7374 °
87 kHz,693.118 m?,91.6765 °
88 kHz,701.017 m?,91.6095 °
89 kHz,708.909 m?,91.546 °
90 kHz,716.844 m?,91.4881 °
91 kHz,724.697 m?,91.4161 °
92 kHz,732.647 m?,91.3632 °
93 kHz,740.472 m?,91.3028 °
94 kHz,748.485 m?,91.2449 °
95 kHz,756.336 m?,91.1825 °
96 kHz,764.135 m?,91.1276 °
97 kHz,771.987 m?,91.0703 °
98 kHz,779.897 m?,91.0081 °
99 kHz,787.713 m?,90.9603 °
100 kHz,795.583 m?,90.9037 °
