Frequency,Z,?°
0.02 kHz,9.6791 m?,0.4989 °
0.04 kHz,9.7134 m?,0.7707 °
0.06 kHz,9.9979 m?,0.9666 °
0.08 kHz,9.6838 m?,1.7208 °
0.1 kHz,9.7334 m?,1.2695 °
0.12 kHz,9.6716 m?,1.4663 °
0.14 kHz,9.3189 m?,4.9294 °
0.16 kHz,9.2612 m?,5.5652 °
0.18 kHz,9.4692 m?,4.099 °
0.2 kHz,9.683 m?,2.614 °
0.22 kHz,9.6924 m?,3.3795 °
0.24 kHz,9.7171 m?,4.083 °
0.26 kHz,9.7238 m?,4.3268 °
0.28 kHz,9.7098 m?,4.0678 °
0.3 kHz,9.6774 m?,3.7605 °
0.32 kHz,9.7007 m?,3.8863 °
0.34 kHz,9.7036 m?,4.0174 °
0.36 kHz,9.7181 m?,4.3196 °
0.38 kHz,9.7001 m?,4.509 °
0.4 kHz,9.6894 m?,4.7684 °
0.42 kHz,9.6912 m?,4.9566 °
0.44 kHz,9.7127 m?,5.2474 °
0.46 kHz,9.6775 m?,5.4485 °
0.48 kHz,9.6931 m?,5.7955 °
0.5 kHz,9.6893 m?,6.082 °
0.52 kHz,9.6975 m?,6.2125 °
0.54 kHz,9.6907 m?,6.3894 °
0.56 kHz,9.7044 m?,6.6443 °
0.58 kHz,9.6943 m?,6.9787 °
0.6 kHz,9.6867 m?,7.3214 °
0.62 kHz,9.6648 m?,7.4995 °
0.64 kHz,9.6599 m?,7.7217 °
0.66 kHz,9.6396 m?,7.8829 °
0.68 kHz,9.6419 m?,8.1713 °
0.7 kHz,9.6442 m?,8.4715 °
0.72 kHz,9.6511 m?,8.6946 °
0.74 kHz,9.6538 m?,8.9559 °
0.76 kHz,9.6766 m?,9.1872 °
0.78 kHz,9.6915 m?,9.4558 °
0.8 kHz,9.7165 m?,9.674 °
0.82 kHz,9.7122 m?,9.934 °
0.84 kHz,9.7193 m?,10.1662 °
0.86 kHz,9.7212 m?,10.4902 °
0.88 kHz,9.7266 m?,10.6587 °
0.9 kHz,9.7277 m?,10.8777 °
0.92 kHz,9.7422 m?,11.1413 °
0.94 kHz,9.7431 m?,11.3613 °
0.96 kHz,9.7576 m?,11.6424 °
0.98 kHz,9.771 m?,11.8303 °
