Frequency,Z,?°
1 kHz,9.754 m?,12.0508 °
2 kHz,10.3443 m?,23.063 °
3 kHz,11.2782 m?,32.8347 °
4 kHz,12.2779 m?,40.8218 °
5 kHz,14.0066 m?,47.9832 °
6 kHz,15.5108 m?,53.0073 °
7 kHz,17.1535 m?,57.1307 °
8 kHz,18.8963 m?,60.9322 °
9 kHz,20.7553 m?,63.561 °
10 kHz,22.61 m?,66.2149 °
11 kHz,23.8215 m?,68.4858 °
12 kHz,25.8151 m?,70.5838 °
13 kHz,27.8283 m?,72.5291 °
14 kHz,30.0736 m?,72.8275 °
15 kHz,32.5982 m?,74.0141 °
16 kHz,34.3701 m?,74.5532 °
17 kHz,36.2975 m?,75.8075 °
18 kHz,38.1556 m?,76.0977 °
19 kHz,40.0779 m?,77.1992 °
20 kHz,41.8127 m?,78.0604 °
21 kHz,43.8926 m?,78.5626 °
22 kHz,45.8147 m?,79.533 °
23 kHz,47.9363 m?,80.6836 °
24 kHz,50.0216 m?,80.9296 °
25 kHz,52.2183 m?,81.563 °
26 kHz,54.0893 m?,81.9127 °
27 kHz,56.3658 m?,82.2648 °
28 kHz,58.4392 m?,82.5036 °
29 kHz,60.6901 m?,83.2102 °
30 kHz,62.9761 m?,83.4085 °
31 kHz,65.0719 m?,83.0912 °
32 kHz,66.9773 m?,83.5995 °
33 kHz,68.7972 m?,83.8854 °
34 kHz,71.262 m?,84.1839 °
35 kHz,72.9109 m?,84.4551 °
36 kHz,75.1486 m?,84.9756 °
37 kHz,77.2164 m?,85.0824 °
38 kHz,79.7126 m?,85.1581 °
39 kHz,81.8249 m?,85.2465 °
40 kHz,84.3316 m?,85.604 °
41 kHz,86.9595 m?,86.1895 °
42 kHz,89.8563 m?,86.644 °
43 kHz,93.1836 m?,87.3884 °
44 kHz,89.526 m?,83.439 °
45 kHz,92.0432 m?,84.1936 °
46 kHz,94.7608 m?,84.5765 °
47 kHz,97.4613 m?,85.1289 °
48 kHz,100.036 m?,85.5571 °
49 kHz,102.574 m?,86.1078 °
50 kHz,104.8 m?,86.3591 °
51 kHz,107.307 m?,86.7194 °
52 kHz,109.133 m?,86.7843 °
53 kHz,111.703 m?,86.8116 °
54 kHz,113.527 m?,86.9346 °
55 kHz,115.715 m?,87.0835 °
56 kHz,117.982 m?,87.174 °
57 kHz,119.884 m?,87.1994 °
58 kHz,122.283 m?,87.2851 °
59 kHz,124.428 m?,87.3792 °
60 kHz,126.369 m?,87.2576 °
61 kHz,128.459 m?,87.5304 °
62 kHz,130.684 m?,87.7634 °
63 kHz,132.979 m?,87.8188 °
64 kHz,134.998 m?,87.9119 °
65 kHz,137.435 m?,88.0704 °
66 kHz,139.781 m?,88.2065 °
67 kHz,141.611 m?,88.3257 °
68 kHz,143.823 m?,88.4167 °
69 kHz,146.012 m?,88.4085 °
70 kHz,148.202 m?,88.5578 °
71 kHz,150.424 m?,88.7673 °
72 kHz,152.397 m?,88.6859 °
73 kHz,154.586 m?,88.7149 °
74 kHz,156.699 m?,88.7979 °
75 kHz,158.848 m?,88.8409 °
76 kHz,160.968 m?,88.8407 °
77 kHz,163.096 m?,88.8066 °
78 kHz,165.272 m?,88.9043 °
79 kHz,167.175 m?,88.9414 °
80 kHz,169.533 m?,88.9297 °
81 kHz,171.819 m?,88.937 °
82 kHz,173.881 m?,89.0952 °
83 kHz,176.049 m?,89.1236 °
84 kHz,178.601 m?,89.2221 °
85 kHz,180.744 m?,89.2719 °
86 kHz,182.954 m?,89.2138 °
87 kHz,185.335 m?,89.3072 °
88 kHz,187.53 m?,89.3087 °
89 kHz,189.62 m?,89.3086 °
90 kHz,191.721 m?,89.449 °
91 kHz,193.909 m?,89.4196 °
92 kHz,196.035 m?,89.45 °
93 kHz,198.245 m?,89.4695 °
94 kHz,200.282 m?,89.4476 °
95 kHz,202.692 m?,89.4989 °
96 kHz,204.832 m?,89.4214 °
97 kHz,206.985 m?,89.5158 °
98 kHz,208.989 m?,89.5087 °
99 kHz,211.157 m?,89.502 °
100 kHz,213.124 m?,89.5463 °
