Frequency,Z,?°
1 kHz,13.3408 m?,7.3502 °
2 kHz,13.6329 m?,14.4375 °
3 kHz,14.1225 m?,21.3015 °
4 kHz,14.6431 m?,27.7315 °
5 kHz,15.7243 m?,34.0897 °
6 kHz,16.7526 m?,38.9407 °
7 kHz,17.8848 m?,43.3707 °
8 kHz,19.0373 m?,47.6325 °
9 kHz,20.3537 m?,50.7713 °
10 kHz,21.7739 m?,53.7905 °
11 kHz,22.8655 m?,57.2385 °
12 kHz,24.2974 m?,59.7482 °
13 kHz,25.7776 m?,59.9984 °
14 kHz,27.6679 m?,62.4652 °
15 kHz,29.1328 m?,64.2508 °
16 kHz,30.9833 m?,65.3119 °
17 kHz,31.9007 m?,66.0672 °
18 kHz,33.7629 m?,68.1662 °
19 kHz,35.331 m?,69.0781 °
20 kHz,37.0588 m?,70.7148 °
21 kHz,38.5778 m?,71.4713 °
22 kHz,40.1616 m?,72.7553 °
23 kHz,42.1707 m?,73.2775 °
24 kHz,43.8701 m?,74.6279 °
25 kHz,45.7274 m?,75.1414 °
26 kHz,46.9686 m?,75.4935 °
27 kHz,49.2211 m?,76.5016 °
28 kHz,50.5116 m?,76.8564 °
29 kHz,52.4416 m?,76.896 °
30 kHz,54.2403 m?,77.6082 °
31 kHz,55.2784 m?,77.4277 °
32 kHz,57.4737 m?,77.8898 °
33 kHz,59.3408 m?,78.5726 °
34 kHz,60.8281 m?,79.0007 °
35 kHz,62.5528 m?,79.5447 °
36 kHz,64.6911 m?,80.0805 °
37 kHz,66.0543 m?,80.3374 °
38 kHz,68.1322 m?,80.666 °
39 kHz,70.0125 m?,80.6257 °
40 kHz,71.9638 m?,80.9809 °
41 kHz,74.3874 m?,81.9135 °
42 kHz,77.1765 m?,82.8286 °
43 kHz,80.0101 m?,83.6619 °
44 kHz,82.4243 m?,84.3668 °
45 kHz,78.3579 m?,79.7235 °
46 kHz,80.8259 m?,80.3567 °
47 kHz,83.0847 m?,81.0316 °
48 kHz,85.2537 m?,81.668 °
49 kHz,87.3444 m?,81.9668 °
50 kHz,89.7031 m?,82.5473 °
51 kHz,91.3912 m?,83.1192 °
52 kHz,93.2714 m?,83.0753 °
53 kHz,95.104 m?,83.4043 °
54 kHz,96.9922 m?,83.5086 °
55 kHz,98.5069 m?,83.755 °
56 kHz,100.44 m?,83.8127 °
57 kHz,102.294 m?,83.949 °
58 kHz,104.067 m?,84.0272 °
59 kHz,105.877 m?,84.0441 °
60 kHz,107.504 m?,84.165 °
61 kHz,109.326 m?,84.438 °
62 kHz,111.244 m?,84.5887 °
63 kHz,113.074 m?,84.8435 °
64 kHz,115.141 m?,84.9469 °
65 kHz,116.642 m?,85.1406 °
66 kHz,118.583 m?,85.2813 °
67 kHz,120.422 m?,85.4117 °
68 kHz,122.354 m?,85.5689 °
69 kHz,123.939 m?,85.6738 °
70 kHz,125.958 m?,85.8345 °
71 kHz,127.632 m?,85.822 °
72 kHz,129.468 m?,85.9995 °
73 kHz,131.343 m?,86.0988 °
74 kHz,133.101 m?,86.07 °
75 kHz,134.968 m?,86.1521 °
76 kHz,136.702 m?,86.1689 °
77 kHz,138.446 m?,86.2086 °
78 kHz,140.173 m?,86.2168 °
79 kHz,141.875 m?,86.3414 °
80 kHz,143.79 m?,86.2931 °
81 kHz,145.626 m?,86.4928 °
82 kHz,147.651 m?,86.4941 °
83 kHz,149.348 m?,86.6761 °
84 kHz,151.459 m?,86.6643 °
85 kHz,153.088 m?,86.7285 °
86 kHz,155.137 m?,86.7915 °
87 kHz,156.946 m?,86.8236 °
88 kHz,158.877 m?,86.8944 °
89 kHz,160.632 m?,86.937 °
90 kHz,162.519 m?,86.9733 °
91 kHz,164.284 m?,87.016 °
92 kHz,166.248 m?,87.0565 °
93 kHz,168.055 m?,87.1243 °
94 kHz,169.81 m?,87.1634 °
95 kHz,171.646 m?,87.1392 °
96 kHz,173.281 m?,87.1895 °
97 kHz,175.132 m?,87.2076 °
98 kHz,177.037 m?,87.242 °
99 kHz,178.692 m?,87.1863 °
100 kHz,180.475 m?,87.2704 °
