Frequency,Z,?°
0.02 kHz,9.292 m?,0.3224 °
0.04 kHz,9.3392 m?,0.6861 °
0.06 kHz,9.5977 m?,1.1877 °
0.08 kHz,9.2894 m?,1.7397 °
0.1 kHz,9.3412 m?,1.2232 °
0.12 kHz,9.2791 m?,1.3309 °
0.14 kHz,8.9513 m?,4.7611 °
0.16 kHz,8.8336 m?,5.8128 °
0.18 kHz,9.0748 m?,4.0787 °
0.2 kHz,9.2985 m?,2.4898 °
0.22 kHz,9.3038 m?,3.2951 °
0.24 kHz,9.3365 m?,4.0874 °
0.26 kHz,9.3398 m?,4.2669 °
0.28 kHz,9.3154 m?,3.965 °
0.3 kHz,9.29 m?,3.6048 °
0.32 kHz,9.3204 m?,3.737 °
0.34 kHz,9.3239 m?,3.8921 °
0.36 kHz,9.3214 m?,4.1725 °
0.38 kHz,9.322 m?,4.4009 °
0.4 kHz,9.322 m?,4.5352 °
0.42 kHz,9.3036 m?,4.776 °
0.44 kHz,9.3179 m?,5.0476 °
0.46 kHz,9.3098 m?,5.2007 °
0.48 kHz,9.3188 m?,5.5041 °
0.5 kHz,9.3202 m?,5.8115 °
0.52 kHz,9.3221 m?,5.9634 °
0.54 kHz,9.3354 m?,6.1532 °
0.56 kHz,9.3383 m?,6.3589 °
0.58 kHz,9.3336 m?,6.6697 °
0.6 kHz,9.3349 m?,7.0418 °
0.62 kHz,9.3241 m?,7.16 °
0.64 kHz,9.3153 m?,7.3672 °
0.66 kHz,9.3084 m?,7.5897 °
0.68 kHz,9.3032 m?,7.8414 °
0.7 kHz,9.3052 m?,8.065 °
0.72 kHz,9.3088 m?,8.3097 °
0.74 kHz,9.3266 m?,8.5474 °
0.76 kHz,9.3447 m?,8.7864 °
0.78 kHz,9.362 m?,9.0663 °
0.8 kHz,9.371 m?,9.2211 °
0.82 kHz,9.3805 m?,9.5125 °
0.84 kHz,9.3833 m?,9.7365 °
0.86 kHz,9.3838 m?,9.9935 °
0.88 kHz,9.3892 m?,10.2439 °
0.9 kHz,9.4413 m?,10.5184 °
0.92 kHz,9.3988 m?,10.6807 °
0.94 kHz,9.4077 m?,10.8479 °
0.96 kHz,9.4203 m?,11.0572 °
0.98 kHz,9.4295 m?,11.3104 °
