Frequency,Z,?°
1 kHz,9.4296 m?,11.4823 °
2 kHz,9.9602 m?,21.9985 °
3 kHz,10.8093 m?,31.3272 °
4 kHz,11.6858 m?,38.7871 °
5 kHz,13.1426 m?,46.5556 °
6 kHz,14.5967 m?,51.2647 °
7 kHz,16.075 m?,55.4765 °
8 kHz,17.6293 m?,59.3036 °
9 kHz,19.2363 m?,61.9037 °
10 kHz,20.946 m?,64.6068 °
11 kHz,22.0318 m?,64.7709 °
12 kHz,23.4518 m?,68.6803 °
13 kHz,25.6163 m?,69.8756 °
14 kHz,27.5336 m?,70.7208 °
15 kHz,29.8145 m?,72.9846 °
16 kHz,31.3213 m?,73.0689 °
17 kHz,32.6741 m?,74.5168 °
18 kHz,35.405 m?,75.4419 °
19 kHz,36.5019 m?,76.629 °
20 kHz,38.6199 m?,76.9344 °
21 kHz,40.2333 m?,78.1323 °
22 kHz,41.8999 m?,79.1733 °
23 kHz,43.5227 m?,79.8658 °
24 kHz,45.6803 m?,79.6233 °
25 kHz,47.7698 m?,80.8999 °
26 kHz,49.6642 m?,81.1097 °
27 kHz,51.2075 m?,81.3523 °
28 kHz,53.0742 m?,81.8645 °
29 kHz,55.1042 m?,82.336 °
30 kHz,57.3439 m?,82.6583 °
31 kHz,59.1988 m?,82.3128 °
32 kHz,60.8284 m?,82.367 °
33 kHz,62.5476 m?,83.0044 °
34 kHz,64.2717 m?,83.3704 °
35 kHz,66.3883 m?,83.7265 °
36 kHz,68.2259 m?,84.1864 °
37 kHz,70.3678 m?,84.4867 °
38 kHz,72.083 m?,84.5827 °
39 kHz,74.3736 m?,84.7133 °
40 kHz,76.511 m?,84.9069 °
41 kHz,79.0022 m?,85.5734 °
42 kHz,81.759 m?,86.2151 °
43 kHz,84.6178 m?,87.0146 °
44 kHz,87.514 m?,87.5856 °
45 kHz,83.4363 m?,83.2971 °
46 kHz,85.8995 m?,83.9028 °
47 kHz,88.3234 m?,84.5887 °
48 kHz,90.6508 m?,84.9787 °
49 kHz,92.9299 m?,85.4097 °
50 kHz,95.3323 m?,85.9255 °
51 kHz,97.0161 m?,85.9059 °
52 kHz,99.3721 m?,86.3828 °
53 kHz,101.289 m?,86.3878 °
54 kHz,103.014 m?,86.6003 °
55 kHz,105.118 m?,86.7178 °
56 kHz,106.895 m?,86.7726 °
57 kHz,109.023 m?,86.77 °
58 kHz,110.595 m?,86.9086 °
59 kHz,112.661 m?,86.9928 °
60 kHz,114.758 m?,87.1423 °
61 kHz,116.397 m?,87.3593 °
62 kHz,118.579 m?,87.4409 °
63 kHz,120.798 m?,87.4972 °
64 kHz,122.818 m?,87.6613 °
65 kHz,124.574 m?,87.7472 °
66 kHz,126.705 m?,87.9367 °
67 kHz,128.566 m?,88.1517 °
68 kHz,130.815 m?,88.0951 °
69 kHz,132.849 m?,88.2047 °
70 kHz,134.633 m?,88.2512 °
71 kHz,136.523 m?,88.3104 °
72 kHz,138.411 m?,88.4401 °
73 kHz,140.53 m?,88.4462 °
74 kHz,142.34 m?,88.5214 °
75 kHz,144.281 m?,88.5779 °
76 kHz,146.07 m?,88.6301 °
77 kHz,148.05 m?,88.6528 °
78 kHz,150.015 m?,88.6735 °
79 kHz,151.75 m?,88.6226 °
80 kHz,153.62 m?,88.7065 °
81 kHz,155.537 m?,88.7539 °
82 kHz,157.732 m?,88.8877 °
83 kHz,159.65 m?,88.9202 °
84 kHz,162.075 m?,88.9912 °
85 kHz,163.883 m?,89.0399 °
86 kHz,165.958 m?,89.025 °
87 kHz,167.996 m?,89.1078 °
88 kHz,170.079 m?,89.1656 °
89 kHz,172.135 m?,89.1629 °
90 kHz,174.294 m?,89.1985 °
91 kHz,176.358 m?,89.2267 °
92 kHz,177.955 m?,89.2081 °
93 kHz,179.99 m?,89.3025 °
94 kHz,181.947 m?,89.3111 °
95 kHz,183.841 m?,89.3044 °
96 kHz,185.983 m?,89.3703 °
97 kHz,187.921 m?,89.3371 °
98 kHz,189.794 m?,89.3692 °
99 kHz,191.827 m?,89.3785 °
100 kHz,193.824 m?,89.3767 °
