Frequency,Z,?°
0.02 kHz,9.4969 m?,0.3944 °
0.04 kHz,9.5492 m?,0.7814 °
0.06 kHz,9.8039 m?,0.9403 °
0.08 kHz,9.5142 m?,1.7084 °
0.1 kHz,9.5679 m?,1.1214 °
0.12 kHz,9.5017 m?,1.4355 °
0.14 kHz,9.1537 m?,4.5753 °
0.16 kHz,9.083 m?,5.6543 °
0.18 kHz,9.3263 m?,4.059 °
0.2 kHz,9.549 m?,2.5325 °
0.22 kHz,9.5562 m?,3.2368 °
0.24 kHz,9.575 m?,3.9692 °
0.26 kHz,9.6013 m?,4.1556 °
0.28 kHz,9.585 m?,3.8936 °
0.3 kHz,9.5759 m?,3.588 °
0.32 kHz,9.5919 m?,3.6653 °
0.34 kHz,9.5968 m?,3.7895 °
0.36 kHz,9.6065 m?,4.087 °
0.38 kHz,9.5873 m?,4.2419 °
0.4 kHz,9.5801 m?,4.435 °
0.42 kHz,9.5805 m?,4.6853 °
0.44 kHz,9.5794 m?,4.7824 °
0.46 kHz,9.5817 m?,5.2166 °
0.48 kHz,9.5783 m?,5.4131 °
0.5 kHz,9.5836 m?,5.6147 °
0.52 kHz,9.592 m?,5.8716 °
0.54 kHz,9.601 m?,5.9716 °
0.56 kHz,9.6018 m?,6.2669 °
0.58 kHz,9.5959 m?,6.5447 °
0.6 kHz,9.5954 m?,6.8812 °
0.62 kHz,9.5794 m?,7.0353 °
0.64 kHz,9.5558 m?,7.2742 °
0.66 kHz,9.5658 m?,7.4578 °
0.68 kHz,9.5512 m?,7.6776 °
0.7 kHz,9.5622 m?,7.8697 °
0.72 kHz,9.5684 m?,8.1104 °
0.74 kHz,9.5784 m?,8.4143 °
0.76 kHz,9.598 m?,8.6781 °
0.78 kHz,9.6184 m?,8.8498 °
0.8 kHz,9.6458 m?,9.0856 °
0.82 kHz,9.6435 m?,9.3342 °
0.84 kHz,9.644 m?,9.5916 °
0.86 kHz,9.6494 m?,9.8816 °
0.88 kHz,9.6597 m?,10.062 °
0.9 kHz,9.6652 m?,10.2562 °
0.92 kHz,9.6732 m?,10.4615 °
0.94 kHz,9.6831 m?,10.7117 °
0.96 kHz,9.697 m?,10.9406 °
0.98 kHz,9.7038 m?,11.0865 °
