Frequency,Z,?°
1 kHz,9.7028 m?,11.3434 °
2 kHz,10.236 m?,21.8327 °
3 kHz,11.0542 m?,31.1703 °
4 kHz,11.9885 m?,39.0072 °
5 kHz,13.5157 m?,46.5756 °
6 kHz,14.9337 m?,51.3292 °
7 kHz,16.4132 m?,55.5871 °
8 kHz,18.0591 m?,59.529 °
9 kHz,19.7142 m?,62.1225 °
10 kHz,21.4994 m?,64.7246 °
11 kHz,22.654 m?,67.9374 °
12 kHz,24.4963 m?,69.3318 °
13 kHz,26.7103 m?,69.6283 °
14 kHz,28.4952 m?,71.3002 °
15 kHz,30.6135 m?,72.873 °
16 kHz,32.2647 m?,73.2925 °
17 kHz,34.1176 m?,74.5223 °
18 kHz,36.3947 m?,75.9505 °
19 kHz,37.5265 m?,76.8484 °
20 kHz,39.7311 m?,77.8328 °
21 kHz,41.2837 m?,78.6312 °
22 kHz,43.2507 m?,79.085 °
23 kHz,45.3845 m?,79.982 °
24 kHz,47.109 m?,80.3492 °
25 kHz,49.2806 m?,81.0717 °
26 kHz,50.7886 m?,81.9114 °
27 kHz,52.7403 m?,82.2125 °
28 kHz,54.7731 m?,82.1535 °
29 kHz,56.9642 m?,82.3163 °
30 kHz,59.4127 m?,82.5107 °
31 kHz,61.1375 m?,82.4356 °
32 kHz,62.7372 m?,83.004 °
33 kHz,64.7712 m?,83.4958 °
34 kHz,66.2832 m?,83.7812 °
35 kHz,68.3677 m?,84.4736 °
36 kHz,70.6552 m?,84.5018 °
37 kHz,72.6722 m?,84.7537 °
38 kHz,74.6332 m?,84.86 °
39 kHz,76.7586 m?,85.0387 °
40 kHz,79.1285 m?,85.1541 °
41 kHz,81.8874 m?,86.0056 °
42 kHz,84.7861 m?,86.7181 °
43 kHz,87.7593 m?,87.4775 °
44 kHz,90.4059 m?,87.8078 °
45 kHz,86.2023 m?,83.857 °
46 kHz,88.6738 m?,84.5257 °
47 kHz,91.1935 m?,85.021 °
48 kHz,93.6606 m?,85.3979 °
49 kHz,96.2951 m?,85.8218 °
50 kHz,98.7836 m?,86.3532 °
51 kHz,100.831 m?,86.5315 °
52 kHz,102.917 m?,86.4729 °
53 kHz,104.687 m?,86.8647 °
54 kHz,106.707 m?,86.9171 °
55 kHz,108.877 m?,86.9832 °
56 kHz,110.959 m?,87.0856 °
57 kHz,112.94 m?,87.2263 °
58 kHz,114.93 m?,87.4527 °
59 kHz,116.805 m?,87.3479 °
60 kHz,118.903 m?,87.3427 °
61 kHz,120.806 m?,87.4037 °
62 kHz,123.138 m?,87.6522 °
63 kHz,125.014 m?,87.8317 °
64 kHz,127.088 m?,87.8986 °
65 kHz,129.118 m?,88.065 °
66 kHz,131.504 m?,88.1307 °
67 kHz,133.335 m?,88.3442 °
68 kHz,135.211 m?,88.4801 °
69 kHz,137.408 m?,88.512 °
70 kHz,139.376 m?,88.5779 °
71 kHz,141.504 m?,88.6285 °
72 kHz,143.294 m?,88.6899 °
73 kHz,145.473 m?,88.7857 °
74 kHz,147.473 m?,88.8684 °
75 kHz,149.509 m?,88.8516 °
76 kHz,151.541 m?,88.9293 °
77 kHz,153.701 m?,88.9009 °
78 kHz,155.608 m?,88.9776 °
79 kHz,157.737 m?,88.9309 °
80 kHz,159.431 m?,88.9071 °
81 kHz,161.768 m?,89.0469 °
82 kHz,163.688 m?,89.1324 °
83 kHz,165.843 m?,89.1363 °
84 kHz,167.959 m?,89.2198 °
85 kHz,170.283 m?,89.3378 °
86 kHz,172.248 m?,89.3343 °
87 kHz,174.229 m?,89.3718 °
88 kHz,176.403 m?,89.4438 °
89 kHz,178.497 m?,89.4305 °
90 kHz,180.685 m?,89.5179 °
91 kHz,182.773 m?,89.447 °
92 kHz,184.588 m?,89.5385 °
93 kHz,186.571 m?,89.5673 °
94 kHz,188.811 m?,89.5799 °
95 kHz,190.948 m?,89.5966 °
96 kHz,193.017 m?,89.5977 °
97 kHz,194.989 m?,89.6246 °
98 kHz,197.049 m?,89.612 °
99 kHz,198.913 m?,89.6509 °
100 kHz,200.933 m?,89.5959 °
