Frequency,Z,?°
0.02 kHz,13.1616 m?,0.334 °
0.04 kHz,13.1713 m?,0.4891 °
0.06 kHz,13.438 m?,0.7776 °
0.08 kHz,13.1664 m?,1.1878 °
0.1 kHz,13.2213 m?,0.751 °
0.12 kHz,13.1552 m?,0.8691 °
0.14 kHz,12.8147 m?,3.1331 °
0.16 kHz,12.7661 m?,3.955 °
0.18 kHz,12.9736 m?,2.7346 °
0.2 kHz,13.1818 m?,1.6569 °
0.22 kHz,13.2017 m?,2.1378 °
0.24 kHz,13.2283 m?,2.7576 °
0.26 kHz,13.2491 m?,2.8536 °
0.28 kHz,13.2377 m?,2.5563 °
0.3 kHz,13.2107 m?,2.3263 °
0.32 kHz,13.2315 m?,2.34 °
0.34 kHz,13.2281 m?,2.4824 °
0.36 kHz,13.2365 m?,2.6194 °
0.38 kHz,13.2295 m?,2.7325 °
0.4 kHz,13.2249 m?,2.8707 °
0.42 kHz,13.244 m?,3.0107 °
0.44 kHz,13.2366 m?,3.1297 °
0.46 kHz,13.2344 m?,3.3407 °
0.48 kHz,13.2489 m?,3.455 °
0.5 kHz,13.2486 m?,3.646 °
0.52 kHz,13.2641 m?,3.795 °
0.54 kHz,13.2598 m?,3.8997 °
0.56 kHz,13.2626 m?,4.0481 °
0.58 kHz,13.2625 m?,4.2271 °
0.6 kHz,13.2618 m?,4.4322 °
0.62 kHz,13.2353 m?,4.5126 °
0.64 kHz,13.2324 m?,4.674 °
0.66 kHz,13.2243 m?,4.8119 °
0.68 kHz,13.2209 m?,4.9542 °
0.7 kHz,13.2234 m?,5.1017 °
0.72 kHz,13.2327 m?,5.2714 °
0.74 kHz,13.2483 m?,5.4024 °
0.76 kHz,13.2623 m?,5.5772 °
0.78 kHz,13.2834 m?,5.7309 °
0.8 kHz,13.3079 m?,5.8705 °
0.82 kHz,13.3101 m?,6.0448 °
0.84 kHz,13.2522 m?,6.124 °
0.86 kHz,13.3033 m?,6.3864 °
0.88 kHz,13.3069 m?,6.534 °
0.9 kHz,13.308 m?,6.5929 °
0.92 kHz,13.3018 m?,6.805 °
0.94 kHz,13.316 m?,6.913 °
0.96 kHz,13.3199 m?,7.0585 °
0.98 kHz,13.3275 m?,7.1758 °
