,FileName,Kap_6_F,Kap_7_F,Kap_8_F,Kap_9_F,Kap_10_F,Oil,Speed,Temperature,Load,Film
41,2018_05_02_15_27_47_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.33095E-11,FVA3,0.8059,40,20,332.7
42,2018_05_02_15_31_26_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.737841E-11,FVA3,1.1269,40,20,465
43,2018_05_02_15_31_34_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.055708E-10,FVA3,1.1269,40,20,465
44,2018_05_02_15_31_43_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.471239E-11,FVA3,1.1269,40,20,465
45,2018_05_02_15_34_21_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.432587E-11,FVA3,1.5797,40,20,552.7
46,2018_05_02_15_34_25_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,8.909048E-11,FVA3,1.5797,40,20,552.7
47,2018_05_02_15_34_31_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,8.599397E-11,FVA3,1.5797,40,20,552.7
48,2018_05_02_15_34_36_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.470049E-11,FVA3,1.5797,40,20,552.7
49,2018_05_02_15_34_42_m001,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.266546E-11,FVA3,1.5797,40,20,552.7
50,2018_05_03_11_47_47_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,,FVA3,0.1,60,20,81.6
51,2018_05_03_11_48_09_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.610641E-10,FVA3,0.1,60,20,81.6
52,2018_05_03_11_48_23_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,3.796839E-10,FVA3,0.1,60,20,81.6
53,2018_05_03_11_49_34_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,,FVA3,0.14,60,20,96.9
54,2018_05_03_11_49_50_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.549571E-10,FVA3,0.14,60,20,96.9
55,2018_05_03_11_50_01_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,,FVA3,0.14,60,20,96.9
56,2018_05_03_11_52_10_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,3.089836E-10,FVA3,0.273,60,20,144.6
57,2018_05_03_11_52_20_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.54037E-10,FVA3,0.273,60,20,144.6
58,2018_05_03_11_53_06_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.885956E-11,FVA3,0.382,60,20,178.2
59,2018_05_03_11_53_16_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.444892E-11,FVA3,0.382,60,20,178
60,2018_05_03_11_53_28_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.807382E-10,FVA3,0.382,60,20,178
61,2018_05_03_11_55_13_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.018159E-10,FVA3,0.749,60,20,259.2
62,2018_05_03_11_55_25_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.679048E-11,FVA3,0.749,60,20,259.2
63,2018_05_03_11_55_34_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.04464E-10,FVA3,0.749,60,20,259.2
64,2018_05_03_11_55_44_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.005959E-10,FVA3,0.749,60,20,259.2
65,2018_05_03_11_57_03_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.030325E-10,FVA3,1.05,60,20,289.7
66,2018_05_03_11_57_13_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.877283E-11,FVA3,1.05,60,20,289.7
67,2018_05_03_11_57_23_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.535575E-11,FVA3,1.05,60,20,289.7
68,2018_05_03_11_58_09_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.966045E-11,FVA3,1.47,60,20,337.9
69,2018_05_03_11_58_18_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.022063E-10,FVA3,1.47,60,20,337.9
70,2018_05_03_11_58_28_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,8.649541E-11,FVA3,1.47,60,20,337.9
71,2018_05_03_11_58_39_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,8.708729E-11,FVA3,1.47,60,20,337.9
72,2018_05_03_11_58_49_m002,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.977875E-11,FVA3,1.47,60,20,337.9
73,2018_05_03_13_39_10_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,,FVA3,0.1,40,20,110.6
74,2018_05_03_13_39_19_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.961633E-11,FVA3,0.1,40,20,110.6
75,2018_05_03_13_40_03_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.452157E-11,FVA3,0.139,40,20,135
76,2018_05_03_13_40_14_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.091828E-10,FVA3,0.139,40,20,135
77,2018_05_03_13_40_25_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,2.017001E-10,FVA3,0.139,40,20,135
78,2018_05_03_13_41_59_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,2.568723E-10,FVA3,0.275,40,20,214.6
79,2018_05_03_13_42_09_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.441658E-11,FVA3,0.275,40,20,214.6
80,2018_05_03_13_42_25_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,2.222601E-10,FVA3,0.275,40,20,214.6
81,2018_05_03_13_42_36_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.984447E-11,FVA3,0.275,40,20,214.6
82,2018_05_03_13_42_45_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.649901E-10,FVA3,0.275,40,20,214.6
83,2018_05_03_13_43_35_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,1.821949E-10,FVA3,0.381,40,20,273.5
84,2018_05_03_13_43_53_m003,1.008187E-10,1.008612E-10,9.383346E-11,1.000262E-10,9.952129E-11,FVA3,0.381,40,20,273.5
