Frequency,Z,?°
20 Hz,33.5687 m?,-7.576 °
40 Hz,29.0208 m?,-0.1814 °
60 Hz,28.8604 m?,-0.2579 °
80 Hz,28.7389 m?,0.4726 °
100 Hz,28.7295 m?,0.7164 °
120 Hz,28.774 m?,0.7416 °
140 Hz,28.7977 m?,1.454 °
160 Hz,28.922 m?,1.1308 °
180 Hz,28.7702 m?,1.2763 °
200 Hz,28.7915 m?,1.3559 °
220 Hz,28.8408 m?,1.679 °
240 Hz,28.8879 m?,2.0512 °
260 Hz,28.914 m?,1.9745 °
280 Hz,28.8856 m?,2.1133 °
300 Hz,28.8445 m?,2.1015 °
320 Hz,28.8649 m?,2.1516 °
340 Hz,28.8572 m?,2.346 °
360 Hz,28.8609 m?,2.2903 °
380 Hz,28.8659 m?,2.4362 °
400 Hz,28.8352 m?,2.6211 °
420 Hz,28.8449 m?,2.7089 °
440 Hz,28.8381 m?,2.7711 °
460 Hz,28.8539 m?,3.0003 °
480 Hz,28.8107 m?,3.0941 °
500 Hz,28.801 m?,3.2072 °
520 Hz,28.7982 m?,3.3372 °
540 Hz,28.807 m?,3.431 °
560 Hz,28.763 m?,3.6496 °
580 Hz,28.7463 m?,3.731 °
600 Hz,28.7471 m?,3.8962 °
620 Hz,28.7157 m?,4.0501 °
640 Hz,28.7037 m?,4.1819 °
660 Hz,28.6821 m?,4.3254 °
680 Hz,28.6619 m?,4.4954 °
700 Hz,28.6769 m?,4.6303 °
720 Hz,28.652 m?,4.7995 °
740 Hz,28.6701 m?,4.951 °
760 Hz,28.6656 m?,5.0436 °
780 Hz,28.6812 m?,5.2405 °
800 Hz,28.6956 m?,5.3681 °
820 Hz,28.6918 m?,5.4749 °
840 Hz,28.6802 m?,5.6775 °
860 Hz,28.692 m?,5.7989 °
880 Hz,28.6914 m?,5.9802 °
900 Hz,28.6934 m?,6.0702 °
920 Hz,28.682 m?,6.2366 °
940 Hz,28.7006 m?,6.3558 °
960 Hz,28.6815 m?,6.4879 °
980 Hz,28.6895 m?,6.6109 °
