Frequency,Z,?°
5 kHz,27.6119 m?,44.0663 °
30 kHz,234.767 m?,97.6223 °
55 kHz,461.756 m?,94.6194 °
80 kHz,682.758 m?,92.817 °
105 kHz,898.516 m?,91.7205 °
130 kHz,1.101 ?,91.1019 °
155 kHz,1.3114 ?,90.6265 °
180 kHz,1.5217 ?,90.2787 °
205 kHz,1.7307 ?,90.0167 °
230 kHz,1.939 ?,89.7847 °
255 kHz,2.146 ?,89.5818 °
280 kHz,2.3529 ?,89.4206 °
305 kHz,2.5595 ?,89.2725 °
330 kHz,2.765 ?,89.1477 °
355 kHz,2.9702 ?,89.0352 °
380 kHz,3.1745 ?,88.9462 °
405 kHz,3.3783 ?,88.8608 °
430 kHz,3.5818 ?,88.7859 °
455 kHz,3.7851 ?,88.7269 °
480 kHz,3.9876 ?,88.6665 °
505 kHz,4.19 ?,88.615 °
530 kHz,4.3916 ?,88.5647 °
555 kHz,4.5932 ?,88.5209 °
580 kHz,4.7947 ?,88.4857 °
605 kHz,4.9953 ?,88.4478 °
630 kHz,5.1964 ?,88.4195 °
655 kHz,5.3969 ?,88.3941 °
680 kHz,5.5971 ?,88.3678 °
705 kHz,5.797 ?,88.3375 °
730 kHz,5.9965 ?,88.3082 °
755 kHz,6.196 ?,88.2752 °
780 kHz,6.3945 ?,88.2438 °
805 kHz,6.5925 ?,88.216 °
830 kHz,6.791 ?,88.199 °
855 kHz,6.9889 ?,88.1742 °
880 kHz,7.1861 ?,88.1568 °
905 kHz,7.383 ?,88.1366 °
930 kHz,7.5793 ?,88.1197 °
955 kHz,7.7753 ?,88.1032 °
980 kHz,7.9706 ?,88.085 °
