Ladekurvenmessung
Zeit: 2018_05_03 11.57.23
Info: FVA3, v = 1.05, T = 60, F = 20, h = 289.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
36	0.008857	0.005405	0.002282	0.006556	0.003433	0.003268	-1.9e-05	0.011651	-0.001498	0.001954	0.004583	0.000474	0.006556	0.00146	0.000967
37	0.009185	0.003268	0.001954	0.00935	-0.00232	-0.002813	0.005569	0.012144	-0.000676	0.002775	0.003597	0.000639	0.004912	0.00409	0.002447
38	0.010664	0.002447	0.003268	0.00409	0.001132	0.003761	0.004748	-0.000183	-1.9e-05	-0.002484	0.002775	0.00294	0.003597	0.003597	-0.000841
39	0.006062	0.004419	0.000967	0.008035	-0.001662	0.004912	0.006227	-0.001169	-0.004621	0.002611	0.00146	0.002118	0.006391	0.003761	-0.002813
40	0.008528	0.007377	0.004583	0.006391	-0.001827	0.001625	0.000639	0.001625	0.000146	-0.000183	0.00146	-0.001169	0.004748	0.007049	-0.001498
41	0.011322	0.004912	0.002775	0.009843	-0.000512	0.000967	0.003268	0.00409	-0.00232	-0.002155	0.001789	0.003761	0.004912	0.005734	-0.003142
42	0.004912	0.005076	0.002775	0.005734	-0.000512	0.002611	0.002447	0.003433	-0.001662	0.000803	0.003761	0.001789	0.005405	-0.005771	0.000639
43	0.003597	0.004912	0.00146	0.005569	-0.000347	0.000146	0.001954	0.006391	-0.001005	-0.000347	0.002447	0.001132	0.006391	-0.00232	-0.00232
44	0.003597	0.006884	-0.000841	0.005898	0.001132	0.001132	0.000967	0.007049	-0.006264	0.000803	-0.002484	-0.001991	0.004419	0.000967	0.004912
45	0.007542	0.003926	0.001296	0.006556	-0.000676	0.004255	0.002611	0.009514	-0.000183	-0.002155	0.002447	0.001954	0.004255	-0.003635	-0.002155
46	0.013952	0.001132	0.000146	0.005405	0.00294	0.004583	0.002611	0.005898	-0.002155	0.001625	0.007049	-0.000347	0.006227	0.001132	-0.002977
47	0.009843	0.004912	0.001296	0.004912	0.000967	0.003433	0.003268	0.012637	-0.00232	-0.001005	0.000146	-1.9e-05	0.005734	-0.000841	-0.000512
48	0.008528	0.003433	0.001296	0.011815	0.000474	0.001625	0.001954	0.01313	-0.002977	-0.000512	-0.001334	0.002775	0.008035	0.000474	-0.000676
49	0.009514	0.00409	0.002282	0.006062	0.001132	0.003761	0.003104	0.012472	0.000967	-0.000183	0.00672	0.00031	0.002611	0.00409	-0.001334
50	0.011322	0.002611	0.000803	0.006556	-0.001498	0.003104	0.004419	0.014445	-0.002648	-0.000183	0.001954	-0.000841	0.006391	0.005241	-0.001498
51	0.003268	0.006391	0.003104	0.009185	-0.001169	0.001132	0.002447	0.019047	-0.000841	0.001296	0.00409	0.00146	0.004255	0.000474	-0.001169
52	0.003761	0.005076	-0.000183	0.0105	-0.002813	-1.9e-05	0.004255	0.015924	-0.001005	0.002282	0.00146	0.001789	0.003761	-0.008401	-0.001498
53	0.003268	0.007049	0.002118	0.006062	-0.002484	0.000967	0.00409	0.015595	0.002282	-1.9e-05	0.005734	0.003597	0.002282	-0.000512	0.002775
54	0.002611	0.004419	0.00031	0.003761	-0.003963	-0.001498	0.002118	0.018061	-1.9e-05	-0.000347	0.001625	0.00294	0.007542	0.005076	-0.000841
55	0.00146	0.005405	0.003597	0.00146	-0.001991	0.003268	-0.000347	0.018554	0.002118	-1.9e-05	-0.001005	0.002611	0.005405	0.003433	-0.001334
56	0.006884	0.004583	0.00294	0.006062	-0.001662	-0.000183	0.002775	0.020362	0.001296	0.00294	0.00409	0.00294	0.001296	0.000639	-1.9e-05
57	-0.000183	0.003104	0.005241	0.001296	-0.005278	0.002775	0.000967	0.017732	0.002118	0.000474	0.000803	-0.001005	0.00409	0.004583	-0.004292
58	0.010993	0.004583	0.001789	0.00409	-0.00347	0.002775	0.002775	0.023649	-1.9e-05	-0.000183	-0.000841	0.001625	0.001789	0.00031	-0.001498
59	0.012637	0.001132	0.00146	-0.003799	0.003104	0.003926	-0.001334	0.019868	-0.001005	-0.001334	-0.001169	-0.001991	0.004583	0.001954	-0.001169
60	0.017567	0.001132	0.001789	0.001789	-0.005771	0.000803	-0.001169	0.020526	0.004419	0.000474	0.005569	0.002447	0.002118	0.002447	-0.003142
61	0.017074	0.000639	0.001954	0.002447	-0.003306	0.000803	0.003597	0.023156	0.000803	-0.00347	0.001625	0.002611	0.005898	0.002775	-0.003635
62	0.005569	0.003104	0.002611	0.00409	-0.003635	0.00294	0.004419	0.020855	0.000474	-0.003142	0.002118	0.002282	0.001296	0.003761	-0.004456
63	0.003433	-0.002155	0.001954	0.003104	-0.003799	-0.001498	0.000803	0.020526	0.001296	-0.001005	-0.001005	0.001625	0.00409	0.000474	-0.004621
64	0.002447	0.002775	0.001132	0.002775	-0.004128	0.00031	0.005569	0.025457	-0.00232	0.001954	0.004255	-0.000676	0.002282	-0.001334	-0.000676
65	0.000639	0.000146	-0.000676	0.002282	-0.005443	-0.000512	0.002447	0.022334	0.006227	0.001789	0.000803	0.004419	0.003761	0.002118	-0.002648
66	0.004255	0.000474	0.000803	0.004912	-0.001991	0.00409	0.002282	0.022005	0.006884	0.000146	0.003433	0.003104	0.000639	0.00146	-0.003635
67	0.005076	-1.9e-05	-0.004292	0.003268	-0.006264	-0.001334	0.000967	0.022169	0.00409	0.002282	0.004255	0.002282	0.001789	0.002118	-0.001334
68	0.005241	0.001954	0.00146	0.00294	-0.004621	0.001789	0.002118	0.019375	0.007213	0.001296	0.005241	0.001296	0.002282	0.00146	-0.002813
69	0.000803	0.000146	-0.001169	0.002447	-0.006429	0.000639	0.003433	0.023484	0.004419	0.008199	0.002282	0.000967	-0.001662	0.002611	0.002118
70	0.00672	0.00031	-0.001498	0.001954	-0.01629	0.004255	0.001625	0.023484	0.006227	-0.000183	0.002611	0.002611	-0.004785	0.001954	-0.002977
71	0.007049	-0.000347	0.000474	0.002118	-0.009551	-0.000512	-0.001169	0.023484	0.009843	0.00146	0.00409	0.00294	0.000967	0.00409	-0.001169
72	0.007213	-0.000512	0.001954	-0.000512	-0.006922	0.000146	0.004419	0.020033	0.005898	-0.000676	0.000639	0.001132	0.001625	0.001132	-0.001169
73	0.002775	0.000474	0.001625	0.003597	-0.011688	0.001132	0.004748	0.021512	0.001625	0.00031	0.002611	0.005405	0.000967	0.006391	0.001296
74	0.005898	0.001296	0.002447	0.002775	-0.010538	0.001296	0.002282	0.017403	0.002611	0.001625	-0.001498	0.005405	0.002282	0.005241	-0.000512
75	0.003104	-0.001991	0.001789	0.000639	-0.00988	0.002775	0.00294	0.019868	0.000146	0.000474	0.003761	0.001625	-1.9e-05	0.000639	-0.001662
76	-0.000183	-0.000841	0.002447	0.001296	-0.002484	0.001296	0.000146	0.017074	0.006062	0.000639	0.00146	-0.001498	-0.001334	0.00146	0.00031
77	-0.000512	0.001789	0.003268	0.000639	-0.007086	-1.9e-05	0.003433	0.018882	0.005076	0.003433	0.001954	0.002447	-0.005443	0.00146	-0.003799
78	-0.000512	-0.002813	0.004255	0.001132	-0.004949	-0.002155	-0.001334	0.016253	0.005076	0.000146	0.000803	-0.00988	-1.9e-05	0.00146	-1.9e-05
79	-0.000676	0.000146	0.002118	0.002775	-0.004128	0.004255	0.002611	0.018882	0.006556	0.00146	0.004748	-0.001005	-0.002648	0.000474	-0.003306
80	-0.000183	-0.00232	0.001789	0.00146	-0.00988	-1.9e-05	0.002447	0.018718	0.006227	-0.006922	0.000146	0.00146	-0.001662	0.000803	0.00146
81	-1.9e-05	0.001132	0.001789	0.002775	-0.009058	0.001954	-0.001005	0.019047	0.005898	-0.001991	0.008199	0.001296	-0.003799	-0.002155	-0.001169
82	-1.9e-05	-0.002648	-0.001005	0.00031	-0.008237	0.000474	-0.000347	0.015924	-0.003963	0.002775	0.004912	0.000146	-0.004128	0.005076	-1.9e-05
83	0.00031	-0.001005	-0.001169	0.000146	-0.007908	0.005076	0.005241	0.017074	0.004912	0.001954	0.003761	0.001296	-0.001334	-0.002813	-0.000347
84	0.000639	0.001954	-0.000183	0.005898	-0.009223	0.002447	0.002775	0.016746	0.002282	0.003104	0.004748	-0.001498	-0.001005	0.002118	0.002118
85	0.000474	0.001954	0.000146	0.001789	-0.006757	0.001954	0.005241	0.010007	0.005898	0.002775	0.00672	-0.003142	-0.004456	0.00146	0.00409
86	0.000146	0.001625	0.000474	0.001954	-0.006429	0.000639	0.002447	0.011979	0.002282	0.00294	0.006556	0.000146	-0.002648	0.004419	0.003104
87	-1.9e-05	-0.001662	-0.001334	0.001789	-0.005771	-0.000512	0.00409	0.007706	0.004912	0.002447	0.004583	0.002611	-0.001005	0.002775	-0.000183
88	0.000474	0.000639	0.000639	0.003104	-0.00873	-0.002155	0.005898	0.008692	0.004583	0.002447	0.004583	0.001625	-0.005443	0.002775	-0.002155
89	0.000146	-0.001169	0.000803	0.004419	-0.005443	0.001132	0.002118	0.006884	0.001954	0.00409	0.002611	0.003433	-0.003306	0.001954	-0.000183
90	-0.000183	-0.000512	0.001789	0.005569	-0.008072	0.000803	0.003433	0.006391	0.003268	0.005569	0.003761	0.000474	-0.003635	0.003761	-1.9e-05
91	-0.000347	-0.002813	0.00294	0.003268	-0.006922	0.000474	0.005076	0.002775	0.005734	0.005734	0.001954	0.000639	-0.003799	0.002118	0.000803
92	0.001296	0.000967	-0.001498	0.007049	-0.007744	0.002447	0.002611	0.006062	0.002611	0.001789	0.003268	0.001132	-0.001991	0.001296	0.001296
93	0.000474	-1.9e-05	0.00294	0.006391	-0.003306	0.000803	0.003433	0.001296	0.003104	-0.001498	0.003433	0.000639	-0.004621	0.001789	-0.001827
94	0.000146	-0.000183	0.00146	0.007377	-0.005607	0.00294	0.005076	0.002447	0.002775	0.000146	0.003104	0.001296	-0.003142	-0.000347	0.000474
95	0.00031	-0.000183	0.000474	0.005405	-0.002484	0.000146	0.001132	-0.001005	0.003104	0.001789	-0.001991	-0.003306	-0.00232	0.000639	0.001954
96	0.00031	0.002447	0.000146	0.007706	-0.003306	0.001789	0.00146	-1.9e-05	0.003104	-0.001662	0.0105	0.00031	-0.003963	-0.001827	-0.005936
97	0.000146	-0.001991	0.00409	0.008857	-0.006757	-0.004456	0.00146	0.000639	0.003597	0.001789	0.005076	0.005569	0.000639	0.002611	-0.003306
98	-0.000183	0.00146	0.002447	0.00935	-0.004292	0.002118	0.009021	-0.001498	-0.000512	-0.001662	0.006062	-0.000183	0.000474	-0.000347	-0.002155
99	-0.000512	0.000967	0.000146	0.00672	-0.007579	0.00146	0.001625	-0.005443	0.003926	0.003433	0.006062	-0.002813	-0.001334	0.002775	-0.001169
100	-0.000512	0.00031	0.002775	0.006227	-0.002155	0.000146	0.003433	-0.005607	0.004255	0.00146	0.007706	0.00294	-0.001498	0.002611	-0.002813
101	-0.000512	0.00031	-0.001005	0.010171	-0.007908	0.00294	0.001789	-0.005443	0.002775	0.003268	0.006062	0.000146	-0.001827	0.002611	0.003104
102	-0.000347	-0.000183	0.003104	0.009021	-0.004128	0.000803	0.003597	-0.012017	0.005898	0.000474	0.000146	-0.000183	-0.001169	0.002118	-0.001662
103	0.000146	0.000803	-0.001005	0.003926	-0.004456	0.000639	0.002447	-0.004456	0.005241	0.004255	0.001789	0.003104	-0.004456	0.002282	0.000639
104	-1.9e-05	0.000639	0.000803	0.006391	-0.005936	0.001296	0.000803	-0.008237	0.00409	0.003104	0.003268	-1.9e-05	-0.002977	0.003268	0.001296
105	0.000146	0.003926	0.00146	0.008692	-0.0061	0.001954	0.000474	-0.007415	0.001954	0.003761	0.006062	0.00146	-0.000841	0.008035	-0.000183
106	0.000146	-1.9e-05	0.005405	0.00672	-0.005936	0.00031	0.001954	-0.005443	0.004748	0.00146	0.003926	0.003104	-0.00232	0.003926	0.001789
107	0.000146	0.001954	0.003926	0.008528	-0.006757	0.002611	0.002447	-0.009223	0.001954	0.002611	0.004583	0.00146	-0.00347	0.003926	-0.001005
108	-1.9e-05	0.000803	0.001789	0.00672	-0.006429	-0.000512	0.002775	-0.01251	0.003761	0.002118	-0.000841	0.003104	-0.001991	0.002118	0.000967
109	-0.000183	0.001789	0.00146	0.0105	-0.005114	0.000967	-0.006593	-0.012839	0.000639	-0.001991	0.00294	0.004912	-0.002484	0.00146	-0.004128
110	-0.000512	0.001132	0.002282	0.006391	-0.005936	-0.000183	0.000639	-0.012839	0.001132	-0.001662	0.002611	0.000803	0.00146	0.001789	-0.001005
111	-0.000676	0.002282	0.002775	0.007377	0.001296	-0.000347	0.007542	-0.011195	0.002775	-0.001991	0.008035	0.004255	-0.002484	0.001132	-0.002484
112	-0.000841	0.003433	0.00031	0.008363	-0.005443	0.000803	0.002447	-0.016454	-0.000676	-0.001005	0.004912	0.001954	-0.004785	0.002447	-1.9e-05
113	-0.000512	0.004748	0.002775	0.009021	-0.002155	0.007049	0.000967	-0.013989	0.001625	0.000146	0.004419	0.002282	0.000146	0.001789	-0.004292
114	-0.000347	-0.001991	-0.003142	0.010336	-0.003306	0.001296	0.000803	-0.011359	-0.002648	0.006062	0.001954	0.002611	-0.000347	0.000146	-1.9e-05
115	0.000146	0.00294	0.004912	0.011486	-0.000183	0.005076	0.001132	-0.012017	0.000474	-0.002648	0.003104	0.000474	0.001625	0.002118	-0.001005
116	-1.9e-05	0.000474	0.001296	0.0105	-0.005443	0.004583	-0.001169	-0.011524	0.003761	0.000967	0.003761	-0.002155	0.000803	0.00294	0.00031
117	0.00031	0.00031	-0.001169	0.008363	-0.002155	0.000803	0.004912	-0.011852	0.003926	-1.9e-05	0.000967	0.002775	-0.001827	-0.002155	0.002775
118	0.00031	0.002775	-0.000841	0.00935	-0.001991	0.002447	0.005076	-0.012181	0.001954	-1.9e-05	0.002775	0.00031	0.00031	-0.002977	0.003761
119	0.00031	0.000967	0.00409	0.008363	-0.000347	0.00146	0.002118	-0.01629	0.004748	0.001296	0.002282	0.001625	0.001296	0.003104	-0.003306
120	0.000146	0.000639	-0.001005	0.010336	-0.002484	0.001625	0.004255	-0.015304	0.00146	0.001625	0.003926	0.00146	0.00409	-0.000676	0.001296
121	-0.000512	0.006227	-0.003142	0.006062	-0.001334	-0.001334	0.001954	-0.01629	0.003597	0.001789	0.003268	-0.000512	0.000803	0.001789	0.002118
122	-0.000676	0.001625	0.002775	0.012965	-0.004621	0.001132	0.005734	-0.010866	0.000639	0.005076	0.002775	0.002611	0.001789	0.002282	-0.000841
123	-1.9e-05	0.001789	0.000146	0.00935	0.000967	0.002447	0.002282	-0.017112	-0.001498	0.001954	0.000803	0.005241	0.002611	0.001625	-0.000512
