Ladekurvenmessung
Zeit: 2018_05_02 15.06.03
Info: FVA3, v = 0.0404, T = 40, F = 20, h = 58.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1
362	8e-06
363	-2.5e-05
364	-5.8e-05
365	-0.000156
366	-9e-05
367	4.1e-05
368	7.4e-05
369	4.1e-05
370	7.4e-05
371	0.000107
372	4.1e-05
373	4.1e-05
374	-9e-05
375	-5.8e-05
376	-9e-05
377	-9e-05
378	4.1e-05
379	4.1e-05
380	0.000107
381	0.00014
382	0.00014
383	0.000107
384	8e-06
385	-2.5e-05
386	-9e-05
387	-5.8e-05
388	-0.000123
389	-2.5e-05
390	4.1e-05
391	7.4e-05
392	4.1e-05
393	0.000173
394	0.000107
395	-2.5e-05
396	-5.8e-05
397	-9e-05
398	-2.5e-05
399	-0.000123
400	8e-06
401	7.4e-05
402	7.4e-05
403	0.00014
404	7.4e-05
405	0.000107
406	4.1e-05
407	-2.5e-05
408	-9e-05
409	-5.8e-05
410	-9e-05
411	-2.5e-05
412	8e-06
413	7.4e-05
414	0.00014
415	0.00014
416	0.00014
417	8e-06
418	-2.5e-05
419	-9e-05
420	-5.8e-05
421	-9e-05
422	-5.8e-05
423	4.1e-05
424	4.1e-05
425	7.4e-05
426	0.00014
427	4.1e-05
428	0.000107
429	-9e-05
430	-2.5e-05
431	-9e-05
432	-9e-05
433	8e-06
434	7.4e-05
435	7.4e-05
436	0.000107
437	0.00014
438	7.4e-05
439	4.1e-05
440	-2.5e-05
441	-5.8e-05
442	-9e-05
443	-5.8e-05
444	-2.5e-05
445	7.4e-05
446	7.4e-05
447	0.00014
448	7.4e-05
449	7.4e-05
450	0.000107
451	8e-06
452	-5.8e-05
453	-5.8e-05
454	-9e-05
455	8e-06
456	7.4e-05
457	0.000107
458	0.000107
459	0.000107
460	0.000107
461	7.4e-05
462	-2.5e-05
463	-5.8e-05
464	-5.8e-05
465	-0.000123
466	-2.5e-05
467	8e-06
468	0.00014
469	7.4e-05
470	0.000107
471	0.00014
472	7.4e-05
473	8e-06
474	-2.5e-05
475	-5.8e-05
476	-9e-05
477	-2.5e-05
478	-2.5e-05
479	4.1e-05
480	0.00014
481	0.000107
482	0.000173
483	7.4e-05
484	-2.5e-05
485	8e-06
486	-0.000123
487	-9e-05
488	-5.8e-05
489	4.1e-05
490	0.000107
491	0.000107
492	0.000107
493	0.000107
494	8e-06
495	-2.5e-05
496	-9e-05
497	-5.8e-05
498	-9e-05
499	-9e-05
500	4.1e-05
501	0.000107
502	7.4e-05
503	0.000206
504	0.000107
505	0.00014
506	-2.5e-05
507	-2.5e-05
508	7.4e-05
509	-9e-05
510	-9e-05
511	4.1e-05
512	4.1e-05
513	4.1e-05
514	7.4e-05
515	0.00014
516	0.000107
517	-5.8e-05
518	-2.5e-05
519	-9e-05
520	-2.5e-05
521	-9e-05
522	8e-06
523	7.4e-05
524	0.00014
525	0.000107
526	0.00014
527	0.000107
528	8e-06
529	-5.8e-05
530	-9e-05
531	-0.000123
532	-9e-05
533	7.4e-05
534	8e-06
535	0.00014
536	0.000107
537	0.000173
538	0.000107
539	8e-06
540	8e-06
541	-5.8e-05
542	-0.000123
543	-9e-05
544	8e-06
545	4.1e-05
546	4.1e-05
547	7.4e-05
548	0.000107
549	0.000107
550	8e-06
551	-2.5e-05
552	-0.000123
553	-0.000123
554	-2.5e-05
555	-2.5e-05
556	4.1e-05
557	7.4e-05
558	0.00014
559	0.000107
560	0.000107
561	8e-06
562	-9e-05
563	-5.8e-05
564	-2.5e-05
565	-0.000156
566	4.1e-05
567	4.1e-05
568	0.000107
569	0.00014
570	0.000107
571	0.000107
572	8e-06
573	-2.5e-05
574	-2.5e-05
575	-5.8e-05
576	-0.000123
577	8e-06
578	4.1e-05
579	4.1e-05
580	0.000107
581	0.000173
582	7.4e-05
583	8e-06
584	8e-06
585	-2.5e-05
586	8e-06
587	-0.000123
588	8e-06
589	-2.5e-05
590	0.000107
591	0.00014
592	7.4e-05
593	0.00014
594	8e-06
595	-2.5e-05
596	-2.5e-05
597	-0.000123
598	-5.8e-05
599	-5.8e-05
600	4.1e-05
601	0.00014
602	4.1e-05
603	0.00014
604	7.4e-05
605	7.4e-05
606	-5.8e-05
607	-9e-05
608	-5.8e-05
609	-9e-05
610	-5.8e-05
611	4.1e-05
612	7.4e-05
613	0.000107
614	0.000107
615	0.00014
616	4.1e-05
617	-9e-05
618	-2.5e-05
619	-9e-05
620	-5.8e-05
621	8e-06
622	8e-06
623	0.000107
624	4.1e-05
625	0.000107
626	0.000107
627	4.1e-05
628	-2.5e-05
629	-5.8e-05
630	-5.8e-05
631	-5.8e-05
632	-2.5e-05
633	4.1e-05
634	4.1e-05
635	0.000107
636	0.000107
637	0.00014
638	0.00014
639	-5.8e-05
640	-5.8e-05
641	-9e-05
642	-9e-05
643	-2.5e-05
644	4.1e-05
645	0.00014
646	0.000107
647	7.4e-05
648	0.000173
649	7.4e-05
650	8e-06
651	-5.8e-05
652	-9e-05
653	-0.000123
654	-5.8e-05
655	8e-06
656	0.000107
657	4.1e-05
658	0.000107
659	0.000107
660	4.1e-05
661	4.1e-05
662	-9e-05
663	-9e-05
664	-0.000123
665	-5.8e-05
666	8e-06
667	4.1e-05
668	0.000107
669	0.000107
670	0.00014
671	0.000107
672	-2.5e-05
673	-5.8e-05
674	-2.5e-05
675	-9e-05
676	8e-06
677	8e-06
678	7.4e-05
679	0.000107
680	0.000107
681	0.000107
682	7.4e-05
683	8e-06
684	-9e-05
685	-9e-05
686	-9e-05
687	-0.000156
688	8e-06
689	7.4e-05
690	7.4e-05
691	7.4e-05
692	7.4e-05
693	0.000107
694	-2.5e-05
695	-5.8e-05
696	-9e-05
697	-9e-05
698	-2.5e-05
699	4.1e-05
700	0.000107
701	0.000107
702	0.000107
703	0.000173
704	4.1e-05
705	8e-06
706	-2.5e-05
707	-9e-05
708	-9e-05
709	-0.000123
710	8e-06
711	4.1e-05
712	4.1e-05
713	0.000107
714	7.4e-05
715	7.4e-05
716	8e-06
717	-5.8e-05
718	-5.8e-05
719	-9e-05
720	-9e-05
721	-5.8e-05
722	4.1e-05
723	0.00014
724	0.000107
725	7.4e-05
726	0.000107
727	-2.5e-05
728	8e-06
729	-5.8e-05
730	-5.8e-05
731	-2.5e-05
732	-5.8e-05
733	7.4e-05
734	4.1e-05
735	0.00014
736	0.000107
737	7.4e-05
738	8e-06
739	-2.5e-05
740	-9e-05
741	-5.8e-05
742	-9e-05
743	4.1e-05
744	4.1e-05
745	7.4e-05
746	0.000107
747	7.4e-05
748	0.000107
749	8e-06
750	-5.8e-05
751	-5.8e-05
752	-9e-05
753	-5.8e-05
754	-5.8e-05
755	7.4e-05
756	7.4e-05
757	7.4e-05
758	0.000107
759	0.00014
760	4.1e-05
761	8e-06
762	-9e-05
763	-5.8e-05
764	-9e-05
765	8e-06
766	4.1e-05
767	4.1e-05
768	0.00014
769	4.1e-05
770	0.00014
771	4.1e-05
772	-2.5e-05
773	-2.5e-05
774	-9e-05
775	-9e-05
776	-9e-05
777	8e-06
778	0.000107
779	0.000107
780	0.000107
781	0.000107
782	8e-06
783	-2.5e-05
784	-9e-05
785	-9e-05
786	-9e-05
787	-5.8e-05
788	7.4e-05
789	4.1e-05
790	7.4e-05
791	0.000107
792	0.000107
793	4.1e-05
794	-5.8e-05
795	-2.5e-05
796	-9e-05
797	-9e-05
798	8e-06
799	4.1e-05
800	7.4e-05
801	0.000107
802	0.000107
803	0.000173
804	4.1e-05
805	-2.5e-05
806	8e-06
807	-9e-05
808	-5.8e-05
809	-9e-05
810	4.1e-05
811	4.1e-05
812	7.4e-05
813	0.000107
814	0.000107
815	4.1e-05
816	-2.5e-05
817	-0.000123
818	-2.5e-05
819	-9e-05
820	-2.5e-05
821	4.1e-05
822	7.4e-05
823	0.000107
824	0.000107
825	0.000107
826	0.000107
827	-2.5e-05
828	-5.8e-05
829	-5.8e-05
830	-9e-05
831	-2.5e-05
832	8e-06
833	0.000107
834	0.000107
835	0.000107
836	0.00014
837	7.4e-05
838	8e-06
839	-2.5e-05
840	-9e-05
841	-9e-05
842	-9e-05
843	7.4e-05
844	7.4e-05
845	7.4e-05
846	7.4e-05
847	7.4e-05
848	0.000107
849	-2.5e-05
850	-2.5e-05
851	-5.8e-05
852	-5.8e-05
853	8e-06
854	4.1e-05
855	7.4e-05
856	0.000173
857	7.4e-05
858	0.000107
859	4.1e-05
860	8e-06
861	-2.5e-05
862	-9e-05
863	-9e-05
864	-5.8e-05
865	4.1e-05
866	0.00014
867	7.4e-05
868	0.000107
869	0.00014
870	7.4e-05
871	8e-06
872	-2.5e-05
873	-5.8e-05
874	-0.000123
875	-5.8e-05
876	8e-06
877	4.1e-05
878	0.00014
879	7.4e-05
880	0.000107
881	0.000107
882	-5.8e-05
883	-5.8e-05
884	-2.5e-05
885	-5.8e-05
886	-0.000123
887	8e-06
888	4.1e-05
889	7.4e-05
890	0.000107
891	0.000107
892	4.1e-05
893	4.1e-05
894	-5.8e-05
895	-9e-05
896	-0.000123
897	-0.000189
898	8e-06
899	7.4e-05
900	0.000107
901	0.000107
902	7.4e-05
903	0.000107
904	4.1e-05
905	8e-06
906	-2.5e-05
907	-0.000123
908	8e-06
