Ladekurvenmessung
Zeit: 2018_05_04 11.33.09
Info: FVA3, v = 0.195, T = 80, F = 20, h = 86.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2
204	-0.000347	-0.000676
205	-0.000347	-0.000512
206	-0.000183	-0.000347
207	-0.000512	-0.000347
208	-0.000183	-0.000183
209	-1.9e-05	-0.000183
210	-0.000347	-1.9e-05
211	-1.9e-05	-0.000183
212	-0.000183	-1.9e-05
213	-1.9e-05	-0.000347
214	-0.000347	-0.000183
215	-0.000183	-0.000183
216	-0.000183	-0.000347
217	-0.000183	-0.000347
218	-0.000183	-1.9e-05
219	-0.000183	-1.9e-05
220	0.000146	-1.9e-05
221	-0.000183	-0.000347
222	-0.000183	-0.000183
223	-0.000183	-0.000183
224	-0.000183	-0.000183
225	-0.000183	-0.000347
226	-0.000183	-0.000183
227	-0.000347	-0.000347
228	-0.000347	-0.000512
229	-0.000347	-0.000347
230	-1.9e-05	-1.9e-05
231	-0.000183	-1.9e-05
232	-0.000183	-0.000183
233	-0.000183	-1.9e-05
234	-1.9e-05	-0.000347
235	-1.9e-05	-0.000183
236	0.000146	-0.000183
237	-0.000841	-0.000347
238	0.001132	-0.000347
239	-0.000676	-0.000512
240	0.000803	-0.000183
241	-1.9e-05	-0.000347
242	-0.000183	-1.9e-05
243	-0.000183	-0.000183
244	0.000146	-0.000183
245	-1.9e-05	-0.000183
246	-0.000183	-0.000347
247	-0.000183	-1.9e-05
248	-0.000676	-0.000183
249	0.000639	-0.000347
250	-0.000347	-0.000676
251	0.00031	-0.000183
252	0.00031	-0.000183
253	0.000639	-0.000183
254	-1.9e-05	-1.9e-05
255	-0.000183	-0.000183
256	0.000967	-0.000183
257	-1.9e-05	-1.9e-05
258	-0.000183	-0.000183
259	-0.000183	-0.000347
260	-1.9e-05	-0.000347
261	-0.000183	-0.000183
262	-0.000183	-0.000183
263	-0.000183	-0.000347
264	-1.9e-05	-0.000347
265	-1.9e-05	-0.000183
266	-0.000183	-0.000183
267	-0.000183	0.000146
268	0.000146	-1.9e-05
269	-0.000183	-0.000347
270	-0.000183	-0.000512
271	-0.000183	-0.000347
272	-0.000183	-0.000183
273	-0.000183	-0.000183
274	-0.000183	-0.000183
275	-0.000183	-0.000183
276	-1.9e-05	-0.000183
277	-0.000183	-0.000183
278	0.000146	-1.9e-05
279	-1.9e-05	-0.000183
280	-0.000183	-0.000183
281	-0.000183	-0.000347
282	-0.000183	-0.000347
283	-1.9e-05	-0.000512
284	0.000146	-0.000183
285	0.000803	-0.000183
286	0.000474	-0.000183
287	0.000146	-1.9e-05
288	0.001132	-1.9e-05
289	-0.000347	-1.9e-05
290	0.00031	-0.000183
291	-0.000347	-0.000512
292	0.000639	-0.000512
293	-0.000183	-0.000347
294	0.000474	-0.000512
295	-1.9e-05	-0.000183
296	0.000803	-0.000183
297	-0.000183	-0.000183
298	-0.000183	-0.000183
299	-1.9e-05	-1.9e-05
300	-0.000183	-1.9e-05
301	0.001132	-1.9e-05
302	0.00031	-0.000347
303	-0.000676	-1.9e-05
304	-1.9e-05	-0.000512
305	-1.9e-05	-0.000183
306	0.000474	-0.000347
307	-0.000347	-0.000347
308	-1.9e-05	-0.000183
309	0.00031	-1.9e-05
310	-0.000512	-1.9e-05
311	0.001789	-0.000183
312	-0.000183	-0.000183
313	-0.000512	-0.000183
314	0.000639	-0.000347
315	0.001789	-0.000512
316	0.001625	-0.000347
317	0.002118	-0.000347
318	0.000967	-0.000183
319	0.001625	-0.000183
320	0.001625	-1.9e-05
321	0.000803	-1.9e-05
322	0.001789	-1.9e-05
323	-0.000676	-0.000347
324	0.001625	-0.000183
325	-0.000183	-0.000183
326	0.000967	-0.000183
327	-0.000676	-0.000347
328	-0.007579	-0.000183
329	0.000474	0.000146
330	-0.000183	-0.000183
331	-1.9e-05	0.000146
332	-1.9e-05	-0.000183
333	-0.000183	-1.9e-05
334	-1.9e-05	-0.000183
335	-0.000183	-0.000347
336	-0.000676	-0.000183
337	-0.000183	-0.000347
338	-0.000183	-0.000347
339	-0.000183	-0.000347
340	-0.000347	-1.9e-05
341	-0.000347	-0.000183
342	-0.000183	-0.000183
343	-0.000183	-1.9e-05
344	-1.9e-05	-0.000183
345	-0.000183	-1.9e-05
346	-1.9e-05	-0.000347
347	-0.000347	-0.000183
348	-0.000183	-0.000347
349	-0.000347	-0.000347
350	-0.000183	-0.000512
351	-0.000183	-1.9e-05
352	-0.000347	-0.000183
353	0.00031	-1.9e-05
354	-0.000183	-1.9e-05
355	-1.9e-05	-0.000183
356	0.000146	-0.000347
357	-0.000347	-0.000183
358	-0.000183	-0.000347
359	-0.000183	-0.000512
360	-0.000183	-0.000347
361	-0.000183	-0.000347
362	-0.000347	-0.000183
363	-0.000183	-0.000183
364	-1.9e-05	-1.9e-05
365	-0.000183	-1.9e-05
366	-1.9e-05	-1.9e-05
367	0.000146	-0.000183
368	-0.000183	-0.000347
369	-0.000183	-0.000512
370	-0.000841	-0.000183
371	0.001954	-0.000347
372	0.005076	-0.000347
373	0.000474	-0.000347
374	0.000474	-0.000183
375	0.000639	-0.000183
376	0.000146	0.000146
377	0.000146	-0.000347
378	-1.9e-05	-0.000183
379	-0.000183	-0.000183
380	-0.000183	-0.000347
381	-0.000512	-0.000347
382	-0.000183	-0.000183
383	0.00031	-0.000183
384	-0.000347	-0.000347
385	-1.9e-05	-0.000183
386	-0.000183	-0.000183
387	-0.000183	-1.9e-05
388	-1.9e-05	-0.000183
389	-0.000183	-0.000183
390	-0.000183	-0.000183
391	-0.000183	-0.000183
392	-0.000347	-0.000183
393	-1.9e-05	-0.000347
394	-0.000183	-1.9e-05
395	-1.9e-05	0.000146
396	-0.000183	0.001132
397	-0.000183	0.001296
398	-1.9e-05	0.00294
399	-0.000183	0.003268
400	-1.9e-05	0.000146
401	-0.000347	-0.000183
402	-0.000183	0.000146
403	-0.000183	-0.000347
404	-0.000183	-0.000676
405	-0.003963	-0.000676
406	0.000146	-0.000512
407	0.000146	-0.000183
408	-0.000183	-0.000183
409	-0.000183	-1.9e-05
410	-1.9e-05	-0.000183
411	-1.9e-05	-0.000183
412	-1.9e-05	-0.000183
413	-0.000183	-0.000183
414	-0.000183	-0.000183
415	-0.000183	-0.000347
416	-0.000676	-0.000347
417	-1.9e-05	-0.000183
418	-0.000183	0.000146
419	-1.9e-05	0.000803
420	-0.000183	0.001789
421	-0.000183	0.004583
422	-1.9e-05	0.002611
423	-0.000183	0.001296
424	-0.000512	0.003761
425	-0.000347	0.001789
426	-0.000183	0.001296
427	-0.000512	-0.000347
428	-0.000347	-1.9e-05
429	-0.000183	-0.000183
430	0.000146	-0.000183
431	-1.9e-05	-1.9e-05
432	-0.000183	-1.9e-05
433	0.000146	-1.9e-05
434	-0.000183	-0.000183
435	-0.000183	-0.000347
436	-0.000183	-0.000183
437	-0.000183	-0.000347
438	-0.000347	-0.000347
439	-0.000183	-0.000347
440	0.000146	-0.000183
441	-1.9e-05	-1.9e-05
442	-0.000183	-0.000183
443	-1.9e-05	-0.000183
444	-0.000183	-0.000183
445	-0.000183	-0.000347
446	-0.000183	-0.000347
447	-0.000347	-0.000512
448	-0.000347	-0.000183
449	-0.000183	-0.000347
450	-0.000512	-0.000183
451	-0.000183	-0.000183
452	-0.000183	-0.000183
453	-1.9e-05	-0.000183
454	-1.9e-05	-0.000183
455	-1.9e-05	0.000146
456	-0.000183	-0.000183
457	-0.000512	-0.000347
458	-0.000347	-0.000347
