Ladekurvenmessung
Zeit: 2018_05_03 11.58.18
Info: FVA3, v = 1.47, T = 60, F = 20, h = 337.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12
37	0.004255	-0.000512	-0.001334	0.004583	0.004255	-0.000183	0.005076	0.000146	-0.002813	-0.001662	0.001954	0.00146
38	0.008035	-0.001005	-0.000183	0.00672	0.004419	0.003433	0.00294	-0.004456	0.000639	-0.001334	-0.003635	-0.000512
39	0.008363	-0.001169	0.000474	0.001789	0.004912	-0.001334	0.005734	-0.003799	-0.002155	0.00031	-1.9e-05	-1.9e-05
40	0.011322	-0.001334	-0.003635	-0.005278	0.00787	-0.004949	0.007049	-0.006429	-0.000676	0.001296	-0.005936	0.000803
41	0.002611	-0.002977	0.001625	0.000639	0.007213	0.002775	0.003104	-0.003142	-0.004128	-0.000347	-0.002155	0.004255
42	0.004583	-0.001334	0.001789	-0.000183	0.011486	-0.004621	0.00787	-0.00347	-0.005278	0.00031	-0.002648	0.003268
43	0.0105	-0.00347	0.00294	-0.004128	0.007377	-0.003799	0.007377	-0.004785	-0.002484	-0.000183	-0.001498	0.003268
44	0.014609	-0.002813	0.000146	-0.002648	0.00787	0.000474	0.011158	-0.003963	-0.001662	-0.002977	-0.00347	0.001132
45	0.012472	0.001954	-0.001991	-0.002977	0.00787	-0.001498	0.006556	-0.005278	-0.011195	-0.001169	-0.000512	0.005076
46	0.01313	-0.002977	0.000803	-0.002484	0.008528	-0.004456	0.008363	-0.003306	-0.008401	0.000639	-0.002155	0.001132
47	0.011486	-0.00347	-0.001334	-0.001662	0.00787	0.000639	0.006391	-0.006264	-0.008565	0.000967	-0.000512	0.00146
48	0.007706	-0.001991	-1.9e-05	0.00146	0.010829	-0.002155	0.008363	0.000146	-0.010045	-0.003963	-0.00232	0.000803
49	0.009678	-0.005114	0.00294	-0.001334	0.009843	0.000146	0.006062	-0.003799	-0.009223	-0.002813	0.000146	0.003104
50	0.005898	-0.003306	-0.001169	-0.003635	0.012801	0.002282	0.0105	-0.003963	-0.010866	-0.001169	-0.002648	0.002118
51	0.000474	-1.9e-05	-0.001334	-0.001005	0.00935	-0.00347	0.007542	-0.003635	-0.009223	-0.002484	-0.006922	0.001954
52	-0.00232	-0.001827	0.000474	-0.002977	0.008035	-0.002484	0.009678	-0.001662	-0.012181	-0.000841	0.00031	0.007377
53	-0.003142	0.000967	-0.001991	-1.9e-05	0.009021	0.000146	0.009843	-0.0061	-0.00988	-0.001991	-0.001334	0.005569
54	-0.004128	-0.000183	-0.001498	0.000967	-0.006757	-0.004456	0.011322	-0.001827	-0.009387	-0.001498	-0.003635	0.008035
55	-0.001334	-0.003306	-0.002484	-0.000183	-0.000512	-0.002977	0.010664	-0.003142	-0.007744	-0.000347	-0.000841	0.005405
56	-0.002484	-0.006429	-0.001005	-0.001169	-0.004456	-0.002977	0.010336	-0.009387	-0.011031	0.000803	-0.002484	0.007706
57	0.000146	-0.003306	-0.000512	-1.9e-05	-0.005114	-0.00347	0.01313	-0.004128	-0.016783	-0.001827	0.000474	0.002611
58	0.004255	-0.004292	0.001625	-0.001662	-0.004785	-0.004292	0.013952	-0.003799	-0.012346	-0.00347	-1.9e-05	0.006227
59	-0.0061	-0.002648	0.000639	0.001296	-0.000347	-0.004292	0.012637	-0.002977	-0.009387	-0.004621	-0.002813	0.000639
60	-0.006757	0.001789	0.001132	-1.9e-05	-0.001334	-0.001498	0.016088	-0.005278	-0.012181	-0.002484	-0.000512	0.003433
61	0.003761	0.000967	0.00146	-1.9e-05	0.000639	-0.002977	0.019868	-0.001498	-0.011359	-0.002648	-0.001334	0.000146
62	0.00146	-0.00347	-0.001169	-0.000841	0.000146	-0.003142	0.016746	-0.002813	-0.01251	-0.001498	-0.000676	0.000474
63	0.008857	-0.001498	0.000967	0.002611	0.000639	-0.004292	0.016746	-0.002977	-0.011195	0.001625	-0.001498	0.004912
64	0.009514	-0.003142	-0.000841	-0.001005	-0.000183	-0.002648	0.015595	0.00409	-0.012181	-0.000841	-0.001498	0.003597
65	0.011651	-0.001498	0.000803	-0.00347	-0.004128	-0.002155	0.019211	0.000474	-0.013332	-0.001662	-0.002813	0.00294
66	0.012308	-0.003306	-0.004949	0.001132	-0.001005	0.00031	0.016746	-0.002977	-0.011031	-0.000676	0.000146	0.003597
67	0.013294	-0.003635	-0.001169	-0.000512	-0.001827	-0.001991	0.021512	-0.000183	-0.013003	-0.003306	-0.003306	0.00294
68	0.012965	-0.004292	-0.005278	0.00409	-0.003142	-0.001662	0.020033	-0.003635	-0.010373	-1.9e-05	0.000639	0.000967
69	0.01576	-0.001662	-0.001169	0.003433	-0.002813	-0.000183	0.025128	-0.001662	-0.011524	-0.004292	0.00294	0.001954
70	0.016253	0.001954	-0.002977	0.008692	-0.002813	0.00031	0.026443	-0.003142	-0.012017	-0.000512	-0.000512	0.003926
